# LMC-SN1987A-STIS-2 ocd6030b0 G750L CCD z=0.0009 a2center=553.3 extrsize=25 exptime=770.0 mode=fixed flags=extended_host,no_defringe(no_flat),center_mismatch(553vs869)
# rest_wvl obs_wvl flux error net dq mask
5253.2007 5257.9285 -2.036138e-17 1.235050e-16 -1.265904e-02 16912 0
5258.0654 5262.7976 3.538000e-17 6.907193e-17 2.610875e-02 528 0
5262.9301 5267.6667 2.355501e-17 6.640148e-17 1.963203e-02 528 0
5267.7949 5272.5359 -8.106031e-17 6.400568e-17 -8.297551e-02 16912 0
5272.6598 5277.4052 7.195527e-17 4.354968e-17 7.356352e-02 512 0
5277.5247 5282.2745 -2.082700e-17 3.798833e-17 -2.692641e-02 16896 0
5282.3897 5287.1439 -2.678271e-17 3.541750e-17 -3.824205e-02 16896 0
5287.2548 5292.0133 2.592874e-17 3.164323e-17 3.597354e-02 512 0
5292.1199 5296.8828 -4.751006e-17 3.205281e-17 -8.069073e-02 16912 0
5296.9851 5301.7524 -2.004056e-16 5.371338e-17 -3.634344e-01 16912 0
5301.8503 5306.6220 -4.668624e-17 3.048885e-17 -8.830051e-02 16400 0
5306.7156 5311.4916 -3.886546e-17 2.432686e-17 -7.586420e-02 16384 0
5311.5809 5316.3614 -3.335073e-17 2.429951e-17 -6.569419e-02 16384 0
5316.4463 5321.2311 -1.016317e-16 3.863723e-17 -2.003920e-01 16400 0
5321.3118 5326.1010 -2.541059e-17 2.483747e-17 -4.937282e-02 16384 0
5326.1773 5330.9709 -2.633466e-17 2.694078e-17 -5.032558e-02 16400 0
5331.0429 5335.8408 -6.427177e-17 3.077494e-17 -1.197764e-01 16400 0
5335.9085 5340.7108 4.024187e-17 2.679776e-17 6.021802e-02 0 0
5340.7742 5345.5809 9.707843e-17 2.974852e-17 1.485713e-01 16 0
5345.6399 5350.4510 4.713720e-17 9.289019e-17 6.789863e-02 16 0
5350.5058 5355.3212 3.887912e-16 3.624743e-17 6.019232e-01 16 0
5355.3716 5360.1914 2.081893e-16 3.441869e-17 3.095866e-01 16 0
5360.2375 5365.0617 8.762221e-15 8.656421e-17 1.433536e+01 0 0
5365.1035 5369.9321 1.807156e-15 4.758262e-17 2.837282e+00 0 0
5369.9695 5374.8025 2.119387e-17 3.260078e-17 2.648059e-02 0 0
5374.8356 5379.6730 -9.145462e-17 3.166726e-17 -1.507522e-01 16400 0
5379.7018 5384.5435 -2.328081e-16 6.998854e-17 -3.858866e-01 16400 0
5384.5680 5389.4141 4.976144e-17 3.193392e-17 6.859758e-02 16 0
5389.4342 5394.2847 -2.103086e-17 3.009029e-17 -3.551668e-02 16384 0
5394.3005 5399.1554 -9.335824e-17 7.122355e-17 -1.596868e-01 16400 0
5399.1669 5404.0262 2.329944e-17 3.401606e-17 3.124516e-02 16 0
5404.0333 5408.8970 -7.226184e-17 3.573988e-17 -1.279014e-01 16400 0
5408.8998 5413.7678 -9.704288e-17 3.249079e-17 -1.752857e-01 16400 0
5413.7664 5418.6387 -3.868271e-17 2.627362e-17 -7.134153e-02 16384 0
5418.6329 5423.5097 -1.342083e-16 5.973478e-17 -2.530315e-01 16400 0
5423.4996 5428.3807 2.284634e-17 2.640431e-17 3.418765e-02 16 0
5428.3663 5433.2518 -1.501622e-17 2.535152e-17 -2.953091e-02 0 0
5433.2331 5438.1230 -5.101521e-17 2.670550e-17 -1.023671e-01 16400 0
5438.0999 5442.9942 -3.653013e-17 2.761222e-17 -7.480963e-02 16400 0
5442.9667 5447.8654 -6.466741e-16 8.547229e-17 -1.352149e+00 16400 0
5447.8337 5452.7367 -2.634682e-17 2.347683e-17 -5.620205e-02 16400 0
5452.7006 5457.6081 -1.189673e-17 2.161910e-17 -2.648949e-02 0 0
5457.5677 5462.4795 -9.403437e-18 2.545043e-17 -2.216393e-02 16 0
5462.4348 5467.3509 -3.064557e-17 2.137550e-17 -6.905602e-02 16384 0
5467.3019 5472.2225 -1.280813e-16 4.642652e-17 -2.929445e-01 16400 0
5472.1691 5477.0940 1.615784e-17 2.099117e-17 2.830788e-02 0 0
5477.0363 5481.9657 4.358633e-16 2.697990e-17 9.357627e-01 0 0
5481.9036 5486.8374 9.123785e-17 2.404361e-17 1.865392e-01 0 0
5486.7710 5491.7091 4.486210e-16 3.744929e-17 9.822661e-01 16 0
5491.6384 5496.5809 9.944927e-15 2.390724e-16 2.350245e+01 272 0
5496.5059 5501.4527 -2.828201e-17 2.201580e-17 -6.822723e-02 16400 0
5501.3734 5506.3246 -1.567256e-17 2.540913e-17 -3.796646e-02 16400 0
5506.2410 5511.1966 -6.692052e-17 2.166065e-17 -1.627790e-01 16400 0
5511.1086 5516.0686 2.957210e-18 2.095178e-17 1.928307e-03 0 0
5515.9763 5520.9407 -5.947419e-17 2.355483e-17 -1.455015e-01 16400 0
5520.8440 5525.8128 -6.810584e-18 2.073990e-17 -1.876726e-02 16 0
5525.7118 5530.6849 -2.235347e-17 2.036624e-17 -5.497585e-02 16400 0
5530.5796 5535.5572 2.051495e-17 1.939573e-17 3.964379e-02 0 0
5535.4475 5540.4294 2.025603e-18 2.014337e-17 -5.831569e-05 16 0
5540.3155 5545.3018 -2.670590e-16 6.012123e-17 -6.598699e-01 16400 0
5545.1835 5550.1741 -3.993278e-17 1.999443e-17 -9.888807e-02 16384 0
5550.0515 5555.0466 -1.299046e-17 2.512085e-17 -3.222107e-02 16400 0
5554.9196 5559.9191 -2.775440e-17 2.193788e-17 -6.896441e-02 16400 0
5559.7878 5564.7916 -2.625325e-17 1.814253e-17 -6.545299e-02 16384 0
5564.6560 5569.6642 -1.277390e-17 1.954100e-17 -3.202490e-02 0 0
5569.5243 5574.5368 3.134321e-17 2.324501e-17 6.427403e-02 16 0
5574.3926 5579.4095 1.466927e-15 3.273268e-17 3.525119e+00 0 0
5579.2609 5584.2823 1.238829e-15 3.087693e-17 2.976918e+00 0 0
5584.1293 5589.1551 3.366856e-17 2.178179e-17 7.026766e-02 16 0
5588.9978 5594.0279 1.463468e-15 4.024600e-17 3.566968e+00 16 0
5593.8663 5598.9008 8.046398e-18 2.337962e-17 1.340077e-02 16 0
5598.7349 5603.7738 -1.964905e-17 1.897823e-17 -5.068178e-02 16400 0
5603.6035 5608.6468 -1.715010e-17 1.866679e-17 -4.450514e-02 16384 0
5608.4722 5613.5198 1.076504e-16 2.263553e-17 2.453173e-01 16 0
5613.3409 5618.3929 1.526592e-15 3.367443e-17 3.827349e+00 16 0
5618.2097 5623.2661 -5.630745e-17 4.113322e-17 -1.483534e-01 16400 0
5623.0785 5628.1393 -2.402329e-17 1.792812e-17 -6.366900e-02 16384 0
5627.9474 5633.0125 1.702943e-17 1.855764e-17 3.493438e-02 0 0
5632.8163 5637.8859 2.653263e-17 1.917277e-17 5.747622e-02 0 0
5637.6853 5642.7592 1.304081e-17 2.314127e-17 2.591958e-02 16 0
5642.5543 5647.6326 2.816513e-16 2.163009e-17 6.909009e-01 0 0
5647.4234 5652.5061 1.599089e-17 3.246974e-17 3.314972e-02 16 0
5652.2925 5657.3796 5.832113e-16 2.429886e-17 1.478351e+00 0 0
5657.1617 5662.2532 8.892705e-16 3.642793e-17 2.294353e+00 16 0
5662.0309 5667.1268 3.896378e-16 2.296089e-17 9.821255e-01 16 0
5666.9002 5672.0004 -2.810855e-17 1.801891e-17 -7.739997e-02 16400 0
5671.7695 5676.8741 -1.906926e-17 1.884063e-17 -5.269631e-02 16400 0
5676.6389 5681.7479 -3.210989e-17 2.203498e-17 -8.904228e-02 16400 0
5681.5083 5686.6217 -1.981512e-17 1.820876e-17 -5.512025e-02 16384 0
5686.3778 5691.4956 1.593606e-16 4.601691e-17 3.956382e-01 16 0
5691.2473 5696.3695 1.908500e-16 2.719192e-17 4.784353e-01 16 0
5696.1169 5701.2434 4.866641e-15 5.014472e-17 1.337353e+01 16 0
5700.9865 5706.1174 6.456709e-15 5.694460e-17 1.784824e+01 0 0
5705.8562 5710.9915 7.839594e-17 1.867705e-17 1.911950e-01 16 0
5710.7259 5715.8656 6.893478e-17 1.873797e-17 1.675548e-01 16 0
5715.5957 5720.7398 5.094416e-16 2.260787e-17 1.339703e+00 0 0
5720.4655 5725.6140 -3.563493e-17 1.678690e-17 -1.011355e-01 16384 0
5725.3354 5730.4882 -8.152016e-17 3.822061e-17 -2.318594e-01 16400 0
5730.2053 5735.3625 -2.720805e-17 1.742846e-17 -7.756245e-02 16384 0
5735.0753 5740.2369 -1.521105e-17 2.741808e-17 -4.345949e-02 16400 0
5739.9453 5745.1112 -1.060539e-17 2.066299e-17 -3.101678e-02 16 0
5744.8154 5749.9857 7.827066e-18 1.779152e-17 1.473994e-02 16 0
5749.6855 5754.8602 1.828943e-17 2.471384e-17 4.113971e-02 16 0
5754.5556 5759.7347 2.671811e-17 1.974657e-17 6.268252e-02 16 0
5759.4258 5764.6093 3.742186e-16 2.271438e-17 9.966341e-01 0 0
5764.2961 5769.4839 -6.357749e-18 1.644733e-17 -2.078748e-02 0 0
5769.1664 5774.3586 3.442938e-17 1.940309e-17 8.318713e-02 16 0
5774.0367 5779.2334 6.270894e-16 2.286077e-17 1.716900e+00 0 0
5778.9071 5784.1081 1.669065e-18 1.639707e-17 -5.972944e-04 0 0
5783.7776 5788.9830 -4.023674e-17 1.938650e-17 -1.184739e-01 16400 0
5788.6481 5793.8578 -1.100990e-17 1.829886e-17 -3.294237e-02 16 0
5793.5186 5798.7328 -3.449826e-18 1.944451e-17 -1.370191e-02 16 0
5798.3892 5803.6077 -1.062396e-17 1.631973e-17 -3.214939e-02 0 0
5803.2598 5808.4827 -8.012027e-17 2.701276e-17 -2.389782e-01 16400 0
5808.1305 5813.3578 5.062070e-18 1.667424e-17 8.272253e-03 0 0
5813.0012 5818.2329 -3.107267e-17 2.055916e-17 -9.323307e-02 16400 0
5817.8720 5823.1080 -1.877783e-17 1.577119e-17 -5.650129e-02 16384 0
5822.7428 5827.9832 -3.796450e-17 1.782616e-17 -1.145290e-01 16400 0
5827.6136 5832.8585 1.749259e-17 1.678385e-17 4.126073e-02 0 0
5832.4845 5837.7338 3.519092e-17 2.072642e-17 8.870775e-02 16 0
5837.3555 5842.6091 -1.404858e-16 2.799002e-17 -4.267557e-01 16400 0
5842.2265 5847.4845 3.266653e-17 1.743870e-17 8.226426e-02 16 0
5847.0975 5852.3599 -5.148055e-17 2.549650e-17 -1.569399e-01 16400 0
