# LMC-SN1987A-STIS-2 ocd604050 G750L CCD z=0.0009 a2center=904.7 extrsize=25 exptime=760.0 mode=fixed flags=finder_fail,extended_host,no_defringe(no_flat),center_mismatch(905vs912)
# rest_wvl obs_wvl flux error net dq mask
5241.8767 5246.5944 -3.862657e-16 1.669851e-16 -1.205545e-01 16912 0
5246.7487 5251.4708 -2.805562e-16 1.136396e-16 -1.250340e-01 16912 0
5251.6207 5256.3472 -6.499510e-17 8.548624e-17 -3.840556e-02 512 0
5256.4928 5261.2236 -2.005112e-17 6.916079e-17 -1.683018e-02 512 0
5261.3649 5266.1001 1.149557e-17 5.812863e-17 7.423237e-03 512 0
5266.2371 5270.9767 -4.272983e-17 6.491847e-17 -4.198449e-02 16912 0
5271.1092 5275.8532 4.216207e-17 4.503069e-17 4.412076e-02 512 0
5275.9815 5280.7299 8.308324e-17 4.453575e-17 9.929819e-02 528 0
5280.8537 5285.6065 -9.764527e-17 5.480097e-17 -1.355256e-01 16912 0
5285.7260 5290.4832 3.662368e-18 3.498359e-17 4.350578e-03 528 0
5290.5984 5295.3599 1.417152e-17 3.214099e-17 2.202417e-02 16 0
5295.4708 5300.2367 5.126202e-17 3.007278e-17 8.821514e-02 16 0
5300.3432 5305.1135 1.781481e-16 3.046499e-17 3.234266e-01 16 0
5305.2156 5309.9903 6.177260e-16 3.197274e-17 1.180788e+00 0 0
5310.0881 5314.8672 1.175428e-16 2.828024e-17 2.238907e-01 16 0
5314.9606 5319.7441 7.151736e-16 4.239054e-17 1.391543e+00 16 0
5319.8332 5324.6210 -3.049016e-17 3.831957e-17 -5.962354e-02 16400 0
5324.7058 5329.4980 2.404947e-15 1.260483e-16 4.587662e+00 272 0
5329.5784 5334.3750 7.886552e-17 2.720178e-17 1.429964e-01 0 0
5334.4511 5339.2521 9.554405e-17 4.509042e-17 1.695991e-01 16 0
5339.3238 5344.1292 1.516773e-15 4.394996e-17 2.689606e+00 16 0
5344.1966 5349.0063 1.874978e-15 5.252474e-17 3.254607e+00 16 0
5349.0693 5353.8835 1.370983e-17 3.147313e-17 2.209589e-02 16 0
