# obs_wvl flux error
5.294000000000000000e+03 -2.656976287220958982e-17 1.382385111866284408e-17
5.303760022482747445e+03 1.961895220805358551e-17 6.568723267633789307e-18
5.313520044965494890e+03 2.477043756584241540e-17 6.718485176960213107e-18
5.323280067448242335e+03 7.808311380923187759e-17 6.341319744871740344e-18
5.333040089930989780e+03 1.179941530622217461e-16 6.791177147976929256e-18
5.342800112413737224e+03 2.913573198213730898e-17 6.606086046979923786e-18
5.352560134896484669e+03 -1.455548781374972050e-17 6.411543658064632427e-18
5.362320157379232114e+03 -4.403259857607603793e-17 6.791213135458775340e-18
5.372080179861979559e+03 2.798455814718727338e-17 6.923921452563884881e-18
5.381840202344727004e+03 5.076570373958295646e-17 7.088578238542477517e-18
5.391600224827474449e+03 2.051281875823491142e-16 7.918666459058358869e-18
5.401360247310221894e+03 1.740000413495785380e-16 6.984100345556200511e-18
5.411120269792969339e+03 3.223156218394673667e-16 7.073820326047425205e-18
5.420880292275716783e+03 3.003569212086288561e-16 7.065266534277974492e-18
5.430640314758464228e+03 7.417769073416166098e-17 6.030762241195703555e-18
5.440400337241211673e+03 1.146048279239087273e-16 5.391044571331251958e-18
5.450160359723959118e+03 1.089890834571118019e-17 5.399804308835557620e-18
5.459920382206706563e+03 4.004938925050153211e-17 4.848151028486935344e-18
5.469680404689454008e+03 1.517019572279883698e-17 4.974780595501009756e-18
5.479440427172201453e+03 1.180362390264245061e-16 5.036480667648015087e-18
5.489200449654948898e+03 5.173831538849997384e-17 5.210351211025316191e-18
5.498960472137696343e+03 8.598965064131562238e-17 5.855946854510206017e-18
5.508720494620443787e+03 1.662957179538945582e-16 5.394438718342724066e-18
5.518480517103191232e+03 1.993853169237961024e-16 4.749614960975981758e-18
5.528240539585938677e+03 8.759887159728991428e-17 5.144163712053775474e-18
5.538000562068686122e+03 1.987967390407398304e-16 4.994868755882758156e-18
5.547760584551433567e+03 2.199859466751956003e-16 5.330148422033912407e-18
5.557520607034181012e+03 2.399474621504741700e-16 5.119241640453041318e-18
5.567280629516928457e+03 1.503202560448100292e-16 4.648191134733975366e-18
5.577040651999675902e+03 1.389492107739681865e-16 4.760303325499378499e-18
5.586800674482423346e+03 1.030848265264492878e-16 4.755185711326445754e-18
5.596560696965170791e+03 2.003884395364285002e-16 5.245926778057731271e-18
5.606320719447918236e+03 6.936306335801620943e-17 4.322994981431333803e-18
5.616080741930665681e+03 8.601245267210113045e-17 5.580435235498326174e-18
5.625840764413413126e+03 9.560697541264164370e-17 5.026705619985294561e-18
5.635600786896160571e+03 6.700178413394463331e-17 5.083672726333385496e-18
5.645360809378908016e+03 1.535269667239596185e-16 4.678544465324613603e-18
5.655120831861655461e+03 4.884742834594003518e-17 4.603258954423720650e-18
5.664880854344402906e+03 -9.532666686349718813e-19 4.496568693042211037e-18
5.674640876827150350e+03 3.717866993729843097e-18 4.283007614730202545e-18
5.684400899309897795e+03 -3.053297119165612303e-18 3.860931798760763189e-18
5.694160921792645240e+03 5.335609298589093099e-17 4.269161730821841688e-18
5.703920944275392685e+03 3.357306789570154036e-17 4.464813241947429987e-18
5.713680966758140130e+03 1.017630048059073616e-17 4.054760919205200388e-18
5.723440989240887575e+03 -1.172592982189322904e-17 3.771356736469063846e-18
5.733201011723635020e+03 -5.430697149421211525e-18 4.341797453403774312e-18
5.742961034206382465e+03 -4.783117248846764752e-18 3.749114897551013978e-18
5.752721056689129910e+03 3.181559216186965986e-17 4.777059832213064968e-18
5.762481079171877354e+03 5.120246976000959622e-17 4.864136215127022994e-18
5.772241101654624799e+03 3.281990143077073232e-17 4.953392626226604082e-18
5.782001124137372244e+03 8.392709582194645435e-17 4.394651632498935000e-18
5.791761146620119689e+03 1.218807940684463623e-18 4.348551955363174320e-18
5.801521169102867134e+03 7.270103857614538493e-19 3.808851230147692979e-18
5.811281191585614579e+03 3.765726976443784134e-17 3.987431181819505983e-18
5.821041214068362024e+03 4.197796255489640840e-17 3.844816963445601527e-18
5.830801236551109469e+03 7.350081134606765416e-17 4.036746671282432356e-18
5.840561259033856913e+03 1.956931342929552017e-17 3.934782545964745682e-18
5.850321281516604358e+03 1.472599159073618314e-16 3.964902012485969626e-18
5.860081303999351803e+03 8.938553440105332641e-17 3.949156538295678081e-18
5.869841326482099248e+03 5.902124127714774229e-17 3.865625599941755223e-18
5.879601348964846693e+03 8.073934133502033630e-17 4.229511991875895962e-18
5.889361371447594138e+03 2.726698053689964609e-17 4.324749003303701467e-18
5.899121393930341583e+03 1.224496656303162657e-17 3.741161467093866127e-18
5.908881416413089028e+03 7.770152072696925295e-17 3.898384938740315766e-18
5.918641438895836473e+03 1.423748460083103235e-16 4.086304325700265951e-18
5.928401461378583917e+03 8.209436403125049249e-17 4.187632459559270920e-18
5.938161483861331362e+03 4.932827559098026351e-17 3.939682905176149452e-18
5.947921506344078807e+03 1.433735011588896088e-16 4.161534627401506770e-18
5.957681528826826252e+03 2.387718055515028678e-16 4.580403345736496359e-18
5.967441551309573697e+03 1.711486882153239769e-16 4.073122923843512902e-18
5.977201573792321142e+03 1.153627390402047594e-16 4.304317771850862833e-18
5.986961596275068587e+03 4.182125282945132998e-17 4.046279239828973213e-18
5.996721618757816032e+03 7.889292709041878493e-17 4.006894759140622691e-18
6.006481641240563476e+03 7.833302614737303477e-17 4.114885110627505219e-18
6.016241663723310921e+03 2.063371917926207695e-17 3.690687015398663598e-18
6.026001686206058366e+03 9.452189507041516366e-17 3.927241070163546295e-18
6.035761708688805811e+03 2.055772482408151109e-17 4.138585670795832999e-18
6.045521731171553256e+03 3.755287221736045940e-18 3.945758181586149886e-18
6.055281753654300701e+03 3.778983632688095266e-17 3.692924200699411187e-18
6.065041776137048146e+03 9.806552020604708083e-17 3.811143534183862170e-18
6.074801798619795591e+03 5.067421388627048149e-17 3.756338031692301719e-18
6.084561821102543036e+03 7.291378091313304326e-17 4.181246783143194795e-18
6.094321843585290480e+03 1.187705093923545328e-16 3.880041125400587565e-18
6.104081866068037925e+03 3.256571330276184852e-17 3.603483426292298002e-18
6.113841888550785370e+03 9.064840598178569705e-17 3.998084544484378155e-18
6.123601911033532815e+03 -2.233590935898710331e-17 3.731315363827772394e-18
6.133361933516280260e+03 2.584262125406299490e-17 4.197160024916258526e-18
6.143121955999027705e+03 4.865487541890822999e-17 3.630589979439166375e-18
6.152881978481775150e+03 5.359821117364917270e-17 3.504673697899440032e-18
6.162642000964522595e+03 8.578272425519252717e-17 3.561152832624701420e-18
6.172402023447270039e+03 5.583921705023844073e-17 3.584008339375273316e-18
6.182162045930017484e+03 4.651662578716179701e-17 3.465376367549167385e-18
6.191922068412764929e+03 8.536437982374230175e-17 3.992819761795717743e-18
6.201682090895512374e+03 5.043479431013539453e-17 3.809348935956433125e-18
6.211442113378259819e+03 2.158309115706395663e-17 3.620792601467011900e-18
6.221202135861007264e+03 7.201086884209763913e-17 3.854263404084054672e-18
6.230962158343754709e+03 3.028477954346410430e-17 3.472042118251669490e-18
6.240722180826502154e+03 1.544096366611073492e-17 3.426641519808297032e-18
6.250482203309249599e+03 9.691570437356029378e-17 3.601409298258238147e-18
6.260242225791997043e+03 2.122682397334845682e-17 3.741806297161794252e-18
6.270002248274744488e+03 -5.458914208481531674e-18 3.234931198654855766e-18
6.279762270757491933e+03 3.577486793959673795e-17 3.345780917985008616e-18
6.289522293240239378e+03 1.289974743707786876e-17 3.441597743904057506e-18
6.299282315722986823e+03 4.986733963256232778e-18 3.567713280345422108e-18
6.309042338205734268e+03 4.348069266244761621e-17 3.489887550688598883e-18
6.318802360688481713e+03 1.024758074627292866e-16 3.588591658551670975e-18
6.328562383171229158e+03 2.053195483616503486e-17 3.257194131908867177e-18
6.338322405653976602e+03 6.607114073477774650e-17 4.070314786319675252e-18
6.348082428136724047e+03 1.859166372828486853e-17 3.332370447039928127e-18
6.357842450619471492e+03 1.058584675890468601e-17 3.356648921709676527e-18
6.367602473102218937e+03 4.782672340946621025e-17 3.739581193556598581e-18
6.377362495584966382e+03 1.154457767238219108e-16 3.607634379613968801e-18
6.387122518067713827e+03 1.298997237687693439e-16 3.907753228221198444e-18
6.396882540550461272e+03 6.960110289478103781e-17 3.419649802299095127e-18
6.406642563033208717e+03 8.774244165436826763e-18 3.609570025340761097e-18
6.416402585515956162e+03 9.290275361418507258e-17 3.702543456918662462e-18
6.426162607998703606e+03 1.001505773625728054e-16 3.577900088858109773e-18
6.435922630481451051e+03 6.124739099168359975e-17 3.457485490491566427e-18
6.445682652964198496e+03 2.967614941712870289e-17 3.437057122184763360e-18
6.455442675446945941e+03 2.428061975209602273e-17 3.381581047769962275e-18
6.465202697929693386e+03 1.580559813576785841e-16 3.499065755238431893e-18
6.474962720412440831e+03 9.162161629416428182e-17 3.465349084826746932e-18
6.484722742895188276e+03 3.248463514908653623e-17 3.454111738842969215e-18
6.494482765377935721e+03 1.409329073537761988e-16 3.653064060515475329e-18
6.504242787860683165e+03 8.904842192543595813e-17 3.258364558999853820e-18
6.514002810343430610e+03 -3.760203024723590550e-18 3.322898347612822517e-18
6.523762832826178055e+03 8.127561167551915294e-17 3.412598421576910555e-18
6.533522855308925500e+03 1.794373665980529441e-16 3.785552688656074108e-18
6.543282877791672945e+03 1.921532457241670968e-16 3.914105519686632722e-18
6.553042900274420390e+03 2.262148119905054112e-16 3.935384123610831467e-18
6.562802922757167835e+03 1.612307418752858866e-16 3.608928057034307873e-18
6.572562945239915280e+03 9.682640138805517683e-17 3.621798973627691964e-18
6.582322967722662725e+03 8.090662447045779868e-17 3.532919851164278877e-18
6.592082990205410169e+03 2.254683571963552037e-17 3.624320251187810147e-18
6.601843012688157614e+03 1.089688167866854785e-18 3.557402112590910545e-18
6.611603035170905059e+03 6.816615827584117056e-17 3.558416238190138681e-18
6.621363057653652504e+03 2.609102782850737643e-17 3.224948180672775126e-18
6.631123080136399949e+03 3.837796267312857659e-17 3.544129518644676385e-18
6.640883102619147394e+03 8.249607561491808747e-17 3.825209978319788899e-18
6.650643125101894839e+03 8.300565307418213325e-17 3.969544913945021151e-18
6.660403147584642284e+03 4.830800781507797040e-17 3.708967318358570207e-18
6.670163170067389729e+03 1.103418389967360052e-16 3.482280201713047805e-18
6.679923192550137173e+03 5.859908244418518023e-17 3.317366137417428635e-18
6.689683215032884618e+03 6.154184573626786741e-17 3.668423344515242630e-18
6.699443237515632063e+03 3.367148037775569457e-17 3.714753614540800035e-18
6.709203259998379508e+03 4.366101704006757808e-17 3.486720902694652773e-18
6.718963282481126953e+03 1.147255012609514493e-16 3.675934697237184154e-18
6.728723304963874398e+03 4.190405849221619057e-17 3.169137535236770487e-18
6.738483327446621843e+03 5.231068273981343799e-17 4.298559911484848965e-18
6.748243349929369288e+03 2.406341446745464127e-17 3.453125030318591489e-18
6.758003372412116732e+03 1.004061236033552901e-16 3.403039077300240656e-18
6.767763394894864177e+03 3.803099095036121744e-17 3.293931713014833235e-18
6.777523417377611622e+03 3.133509596680420096e-17 3.279398372631038644e-18
6.787283439860359067e+03 9.425904660349835985e-17 3.526600795151595021e-18
6.797043462343106512e+03 8.286570120325532696e-18 3.292716156774364927e-18
6.806803484825853957e+03 -1.526000948559200914e-18 3.414238231027237053e-18
6.816563507308601402e+03 4.633600970107211960e-17 3.518196825204290955e-18
6.826323529791348847e+03 6.583211367251460929e-17 3.188025140899303349e-18
6.836083552274096292e+03 7.722013083024095086e-17 3.706373777662377428e-18
6.845843574756843736e+03 1.515357369639132488e-17 3.335953470326179089e-18
6.855603597239591181e+03 4.982564625280254725e-17 3.471962140038272581e-18
6.865363619722338626e+03 2.254235763118613206e-17 3.238028474758649269e-18
6.875123642205086071e+03 1.597955926437702037e-17 3.482408560094726327e-18
6.884883664687833516e+03 -5.693802557929177069e-18 3.250994329232046850e-18
6.894643687170580961e+03 2.984826774899606053e-17 3.400290622927875483e-18
6.904403709653328406e+03 2.792561721247093464e-17 3.350968085381241060e-18
6.914163732136075851e+03 4.834007882789693730e-17 3.546825621128985854e-18
6.923923754618823295e+03 3.230746195075650290e-17 3.362473501743685987e-18
6.933683777101570740e+03 3.669339759880580487e-17 3.428544190837917966e-18
6.943443799584318185e+03 1.820826926029103141e-17 3.548371658619551294e-18
6.953203822067065630e+03 -7.372862716440926059e-18 3.362417661421410997e-18
6.962963844549813075e+03 4.080609606743749943e-17 3.643397523164094549e-18
6.972723867032560520e+03 7.876579126077722243e-17 3.469265078638591812e-18
6.982483889515307965e+03 2.694356675016676947e-17 3.334641190955368092e-18
6.992243911998055410e+03 3.072699977293700097e-17 3.113914606348985533e-18
7.002003934480802855e+03 8.769658544821879658e-17 3.221865117485597261e-18
7.011763956963550299e+03 7.762457297660706165e-17 3.365447079859292575e-18
7.021523979446297744e+03 4.012016840510509376e-17 3.169153267868987716e-18
7.031284001929045189e+03 8.978883501007984361e-17 3.498983007514300951e-18
7.041044024411792634e+03 -6.994756650694234033e-18 3.271104061902100354e-18
