# LMC-SN1987A-STIS-2 odad03010 G430L CCD z=0.0009 a2center=824.6 extrsize=17 exptime=800.0 mode=fixed flags=finder_fail,extended_host,center_mismatch(825vs905)
# rest_wvl obs_wvl flux error net dq mask
2883.9275 2886.5230 -2.160420e-14 1.315498e-14 -1.225773e-01 16912 0
2886.6699 2889.2679 -1.849204e-14 7.423282e-15 -1.369372e-01 16912 0
2889.4123 2892.0128 -9.249238e-15 7.112248e-15 -8.454152e-02 16912 0
2892.1548 2894.7577 1.206618e-15 4.690527e-15 5.378611e-03 512 0
2894.8972 2897.5026 -2.840848e-15 4.878000e-15 -3.842449e-02 528 0
2897.6397 2900.2476 -2.490745e-15 3.795472e-15 -3.812882e-02 528 0
2900.3823 2902.9926 -4.426601e-16 3.132112e-15 -1.219924e-02 512 0
2903.1248 2905.7376 -1.818192e-15 3.327675e-15 -3.432614e-02 528 0
2905.8674 2908.4827 -4.952424e-16 2.585151e-15 -1.432765e-02 528 0
2908.6100 2911.2277 -7.244441e-16 2.448110e-15 -2.036365e-02 528 0
2911.3526 2913.9728 1.771027e-14 4.374383e-15 3.990228e-01 528 0
2914.0952 2916.7179 2.186192e-15 2.134588e-15 4.795043e-02 528 0
2916.8379 2919.4630 1.748318e-15 1.798256e-15 4.245248e-02 528 0
2919.5805 2922.2082 2.204182e-15 1.688537e-15 6.216760e-02 528 0
2922.3233 2924.9533 -2.589283e-16 1.273683e-15 -1.509245e-02 512 0
2925.0660 2927.6985 1.121860e-15 1.251493e-15 3.783428e-02 528 0
2927.8087 2930.4438 1.100467e-15 1.163440e-15 4.313779e-02 528 0
2930.5515 2933.1890 1.949230e-15 1.004334e-15 9.319992e-02 528 0
2933.2943 2935.9343 5.882164e-16 1.725672e-15 2.793928e-02 528 0
2936.0371 2938.6795 -2.251499e-16 7.074407e-16 -2.079122e-02 512 0
2938.7799 2941.4249 -2.817399e-16 6.078852e-16 -2.686530e-02 512 0
2941.5228 2944.1702 2.242733e-16 5.443643e-16 1.253355e-02 512 0
2944.2657 2946.9155 -3.180649e-17 5.121422e-16 -9.028867e-03 528 0
2947.0086 2949.6609 -8.199343e-17 4.350471e-16 -1.447469e-02 512 0
2949.7515 2952.4063 -8.676604e-16 4.215085e-16 -1.099273e-01 16912 0
2952.4945 2955.1517 -1.880516e-16 3.671377e-16 -2.931782e-02 512 0
2955.2374 2957.8972 -3.368069e-16 3.305322e-16 -5.122863e-02 512 0
2957.9804 2960.6426 5.590131e-16 3.221907e-16 7.609642e-02 528 0
2960.7234 2963.3881 -3.042282e-16 4.222684e-16 -5.324936e-02 16912 0
2963.4665 2966.1336 -2.809186e-16 2.726246e-16 -5.225670e-02 512 0
2966.2095 2968.8791 -9.599401e-16 3.000515e-16 -1.876803e-01 16400 0
2968.9526 2971.6247 2.822497e-16 2.619538e-16 4.555911e-02 16 0
2971.6957 2974.3702 -6.160326e-16 2.914207e-16 -1.307203e-01 16400 0
2974.4388 2977.1158 3.981065e-16 4.225313e-16 7.224526e-02 16 0
2977.1820 2979.8614 2.420976e-17 2.528606e-16 -1.218140e-03 16 0
2979.9251 2982.6071 -4.906766e-16 2.627139e-16 -1.128864e-01 16400 0
2982.6683 2985.3527 -3.042412e-16 2.255877e-16 -7.144098e-02 16384 0
2985.4115 2988.0984 -9.279221e-17 2.105616e-16 -2.574531e-02 0 0
2988.1548 2990.8441 -7.205980e-17 2.163575e-16 -2.158775e-02 0 0
2990.8980 2993.5898 1.410066e-16 2.057294e-16 2.482258e-02 0 0
2993.6413 2996.3356 -3.731199e-16 2.923794e-16 -9.249143e-02 16400 0
