# LMC-SN1987A-STIS-2 odad03020 G430L CCD z=0.0009 a2center=824.6 extrsize=17 exptime=800.0 mode=fixed flags=extended_host,center_mismatch(825vs909)
# rest_wvl obs_wvl flux error net dq mask
2883.9430 2886.5385 -3.049806e-14 1.359128e-14 -1.733370e-01 16912 0
2886.6854 2889.2834 2.338173e-14 7.996351e-15 1.550974e-01 528 0
2889.4278 2892.0283 -1.181367e-15 7.110356e-15 -1.080973e-02 16912 0
2892.1703 2894.7732 7.425803e-15 4.680005e-15 7.189762e-02 512 0
2894.9127 2897.5182 7.458228e-15 4.915200e-15 8.432504e-02 528 0
2897.6552 2900.2631 2.133765e-16 3.705519e-15 3.067953e-03 16912 0
2900.3978 2903.0081 -1.471063e-15 3.074341e-15 -2.372516e-02 16896 0
2903.1403 2905.7531 2.965551e-15 3.341920e-15 4.715417e-02 528 0
2905.8829 2908.4982 7.042566e-16 2.548385e-15 1.411620e-02 16912 0
2908.6255 2911.2432 2.425903e-15 2.514602e-15 4.728005e-02 528 0
2911.3681 2913.9883 6.224703e-15 4.266345e-15 1.349782e-01 528 0
2914.1107 2916.7334 -3.076926e-15 2.061081e-15 -8.489704e-02 16912 0
2916.8534 2919.4785 4.265745e-15 1.738936e-15 1.143947e-01 528 0
2919.5961 2922.2237 4.349780e-16 1.586362e-15 8.802816e-03 528 0
2922.3388 2924.9689 -9.451329e-16 1.262380e-15 -3.710946e-02 512 0
2925.0815 2927.7141 -3.006632e-16 1.230001e-15 -1.617722e-02 528 0
2927.8242 2930.4593 -6.841812e-16 1.140064e-15 -3.471635e-02 528 0
2930.5670 2933.2045 1.250979e-15 1.015351e-15 5.876825e-02 528 0
2933.3098 2935.9498 1.125907e-15 1.736951e-15 6.063728e-02 528 0
2936.0526 2938.6951 2.102350e-15 7.556834e-16 1.345443e-01 512 0
2938.7955 2941.4404 1.895801e-15 6.820144e-16 1.372742e-01 512 0
2941.5383 2944.1857 2.194635e-16 5.712382e-16 1.365762e-02 512 0
2944.2812 2946.9310 8.297135e-16 5.577252e-16 7.257313e-02 528 0
