# LMC-SN1987A-STIS-2 odad030a0 G430L CCD z=0.0009 a2center=824.6 extrsize=17 exptime=796.0 mode=fixed flags=finder_fail,extended_host,center_mismatch(825vs893)
# rest_wvl obs_wvl flux error net dq mask
2884.0671 2886.6628 -2.216623e-14 1.338558e-14 -1.277173e-01 16912 0
2886.8095 2889.4076 1.146233e-14 7.437880e-15 7.792132e-02 528 0
2889.5519 2892.1525 -7.943698e-15 6.891000e-15 -7.331061e-02 16912 0
2892.2944 2894.8975 6.549055e-15 4.663630e-15 6.545700e-02 512 0
2895.0369 2897.6424 1.597810e-15 4.839270e-15 1.695218e-02 528 0
2897.7794 2900.3874 -7.878993e-15 3.605734e-15 -1.139081e-01 16912 0
2900.5219 2903.1324 5.324185e-15 3.174358e-15 7.451279e-02 512 0
2903.2644 2905.8774 3.275904e-15 3.354281e-15 5.002607e-02 528 0
2906.0070 2908.6224 -5.503959e-15 2.514613e-15 -1.108578e-01 16912 0
2908.7496 2911.3675 -4.417879e-15 2.452923e-15 -9.853937e-02 16912 0
2911.4922 2914.1126 9.506490e-15 4.275740e-15 2.128079e-01 528 0
2914.2349 2916.8577 2.124369e-15 2.062843e-15 5.102869e-02 528 0
2916.9775 2919.6028 5.213814e-16 1.687161e-15 1.325829e-02 528 0
2919.7202 2922.3479 1.280025e-16 1.569241e-15 2.842969e-03 528 0
2922.4629 2925.0931 3.891610e-15 1.310157e-15 1.352968e-01 512 0
2925.2056 2927.8383 1.070101e-15 1.265853e-15 4.043639e-02 528 0
2927.9484 2930.5835 -2.265630e-15 1.117643e-15 -1.138764e-01 16912 0
2930.6912 2933.3288 2.404227e-15 9.993892e-16 1.208254e-01 528 0
2933.4339 2936.0740 5.680736e-15 1.754718e-15 3.347620e-01 528 0
2936.1768 2938.8193 -9.605278e-16 6.722785e-16 -7.091782e-02 16896 0
2938.9196 2941.5646 -3.830960e-16 5.997446e-16 -3.197648e-02 16896 0
2941.6625 2944.3100 1.020119e-15 5.449125e-16 8.347523e-02 512 0
