# LMC-SN1987A-STIS-2 odad04020 G750L CCD z=0.0009 a2center=931.2 extrsize=25 exptime=796.0 mode=fixed flags=extended_host,no_defringe(no_flat)
# rest_wvl obs_wvl flux error net dq mask
5236.5261 5241.2390 -3.712288e-16 2.962962e-16 -8.278162e-02 16912 0
5241.3990 5246.1162 6.006148e-17 1.561214e-16 2.391443e-02 512 0
5246.2718 5250.9934 7.322972e-17 1.131589e-16 4.267414e-02 16912 0
5251.1447 5255.8707 -6.635301e-17 8.139074e-17 -5.063713e-02 16912 0
5256.0176 5260.7480 1.352852e-16 6.607449e-17 1.244164e-01 512 0
5260.8905 5265.6253 7.792032e-17 5.865000e-17 8.446471e-02 528 0
5265.7635 5270.5027 3.513884e-18 5.032452e-17 4.059188e-03 512 0
5270.6365 5275.3801 4.391891e-17 4.665777e-17 6.379497e-02 512 0
5275.5096 5280.2575 -3.183190e-17 7.070392e-17 -5.317309e-02 16912 0
5280.3827 5285.1350 -3.316558e-17 3.503324e-17 -6.145384e-02 16912 0
5285.2558 5290.0125 1.452717e-17 3.071560e-17 2.872176e-02 0 0
5290.1289 5294.8901 -7.098587e-17 3.256971e-17 -1.575036e-01 16400 0
5295.0021 5299.7676 1.886550e-17 2.568488e-17 4.357871e-02 0 0
5299.8754 5304.6452 -7.034825e-17 3.027725e-17 -1.767026e-01 16400 0
5304.7486 5309.5229 -2.755857e-17 2.432674e-17 -7.212982e-02 16400 0
5309.6219 5314.4006 -3.259169e-18 2.673865e-17 -8.642044e-03 16400 0
5314.4952 5319.2783 -7.125499e-18 3.748179e-17 -1.902420e-02 16400 0
5319.3686 5324.1560 -5.475623e-17 4.091738e-17 -1.445743e-01 16400 0
5324.2420 5329.0338 1.625292e-17 2.480713e-17 4.029716e-02 0 0
5329.1154 5333.9116 -8.393989e-17 2.864952e-17 -2.134207e-01 16400 0
5333.9889 5338.7895 -3.870292e-17 2.725454e-17 -9.617027e-02 16400 0
5338.8624 5343.6674 -9.460928e-17 2.707456e-17 -2.297656e-01 16384 0
5343.7359 5348.5453 -4.853941e-17 3.138289e-17 -1.152410e-01 16400 0
5348.6095 5353.4233 -4.118967e-17 2.944365e-17 -9.598157e-02 16400 0
5353.4831 5358.3012 -1.043989e-17 2.753988e-17 -2.392107e-02 16384 0
5358.3567 5363.1793 -3.013791e-17 2.822258e-17 -6.821080e-02 16400 0
5363.2304 5368.0573 -6.344635e-17 2.922266e-17 -1.422505e-01 16400 0
5368.1041 5372.9354 2.593977e-17 2.767116e-17 5.463470e-02 0 0
5372.9778 5377.8135 -6.101501e-17 2.775867e-17 -1.359731e-01 16400 0
5377.8516 5382.6917 -3.391700e-17 2.860306e-17 -7.578489e-02 16400 0
5382.7254 5387.5699 1.986593e-17 2.899934e-17 4.187499e-02 16 0
5387.5992 5392.4481 -7.239826e-17 3.027197e-17 -1.644289e-01 16400 0
5392.4731 5397.3263 -4.057778e-17 2.785065e-17 -9.336451e-02 16384 0
5397.3470 5402.2046 4.637046e-18 3.030193e-17 9.389548e-03 16 0
5402.2209 5407.0829 -6.476304e-17 4.118260e-17 -1.539310e-01 16400 0
5407.0949 5411.9613 -1.614472e-17 2.670255e-17 -3.909471e-02 16384 0
5411.9689 5416.8397 -4.381006e-17 2.544678e-17 -1.083561e-01 16384 0
5416.8429 5421.7181 -3.446967e-17 3.112026e-17 -8.708532e-02 16400 0
5421.7170 5426.5965 -3.142476e-17 2.572997e-17 -8.111997e-02 16400 0
5426.5911 5431.4750 -3.327363e-17 2.504252e-17 -8.767725e-02 16400 0
5431.4652 5436.3535 -2.193138e-17 2.622571e-17 -5.901271e-02 16400 0
5436.3393 5441.2320 3.236602e-19 2.274611e-17 -5.484466e-04 0 0
5441.2135 5446.1106 -2.309977e-17 2.284282e-17 -6.476807e-02 16400 0
5446.0877 5450.9892 -8.769609e-18 2.244463e-17 -2.541419e-02 16 0
5450.9620 5455.8678 1.232790e-17 2.142728e-17 3.279776e-02 0 0
5455.8362 5460.7465 -4.228288e-17 2.768209e-17 -1.258708e-01 16400 0
5460.7106 5465.6252 -5.115463e-17 2.019835e-17 -1.548226e-01 16384 0
5465.5849 5470.5039 -2.155227e-17 1.953948e-17 -6.627469e-02 16384 0
5470.4593 5475.3827 1.099191e-17 2.037162e-17 3.090926e-02 16 0
5475.3337 5480.2615 -9.008789e-17 2.569481e-17 -2.837908e-01 16400 0
5480.2081 5485.1403 -4.462040e-17 2.360102e-17 -1.418784e-01 16400 0
5485.0826 5490.0191 -2.085279e-16 4.139339e-17 -6.692470e-01 16400 0
5489.9570 5494.8980 2.040393e-17 1.950529e-17 6.107572e-02 0 0
5494.8316 5499.7769 -1.616418e-18 1.928656e-17 -7.053059e-03 0 0
5499.7061 5504.6559 -4.516124e-17 2.269353e-17 -1.475274e-01 16400 0
5504.5807 5509.5348 9.409647e-18 1.906857e-17 2.736050e-02 0 0
5509.4553 5514.4138 3.366893e-18 1.884795e-17 8.392353e-03 0 0
5514.3299 5519.2928 -4.530612e-17 2.014212e-17 -1.495202e-01 16400 0
5519.2046 5524.1719 -7.887082e-17 2.309159e-17 -2.609990e-01 16400 0
5524.0793 5529.0510 3.937180e-18 1.908510e-17 1.014410e-02 0 0
5528.9540 5533.9301 -2.530873e-17 1.928616e-17 -8.411168e-02 16400 0
5533.8288 5538.8093 -7.060229e-17 2.058592e-17 -2.349096e-01 16400 0
5538.7036 5543.6884 -5.178952e-17 2.604391e-17 -1.726433e-01 16400 0
5543.5784 5548.5676 -1.558775e-17 1.882304e-17 -5.220051e-02 16 0
5548.4533 5553.4469 -4.744167e-17 1.829337e-17 -1.587776e-01 16384 0
5553.3281 5558.3261 -3.610108e-17 2.104416e-17 -1.210343e-01 16400 0
5558.2030 5563.2054 3.109615e-18 1.919158e-17 7.327557e-03 16 0
5563.0780 5568.0847 -7.185963e-18 1.968335e-17 -2.585630e-02 16 0
5567.9529 5572.9641 -4.902441e-17 1.898030e-17 -1.658738e-01 16400 0
5572.8279 5577.8435 -2.000824e-17 1.875041e-17 -6.788879e-02 16400 0
5577.7029 5582.7229 -1.390848e-17 1.845425e-17 -4.805847e-02 0 0
5582.5780 5587.6023 -1.326332e-17 2.024432e-17 -4.620440e-02 16 0
5587.4530 5592.4818 -1.990890e-16 4.637799e-17 -6.844133e-01 16400 0
5592.3281 5597.3612 -1.629997e-17 1.845340e-17 -5.674293e-02 0 0
