# LMC-SN1987A-STIS-2 o48z15050 G140L MAMA z=0.0009 a2center=632.0 extrsize=11 exptime=2322.0 mode=fixed flags=low_detect,center_mismatch(632vs369)
# rest_wvl obs_wvl flux error net dq mask
1123.4718 1124.4830 0.000000e+00 0.000000e+00 -7.274687e-05 2564 0
1124.0555 1125.0671 0.000000e+00 0.000000e+00 7.887928e-04 2564 0
1124.6391 1125.6513 0.000000e+00 0.000000e+00 -7.274687e-05 2564 0
1125.2228 1126.2355 0.000000e+00 0.000000e+00 -7.274688e-05 2564 0
1125.8064 1126.8197 0.000000e+00 0.000000e+00 -4.540895e-04 2560 0
1126.3901 1127.4038 0.000000e+00 0.000000e+00 -1.424859e-04 512 0
1126.9737 1127.9880 0.000000e+00 0.000000e+00 -1.483443e-05 512 0
1127.5574 1128.5722 0.000000e+00 0.000000e+00 -7.882772e-08 512 0
1128.1410 1129.1564 0.000000e+00 0.000000e+00 -5.449037e-07 512 0
1128.7247 1129.7405 0.000000e+00 0.000000e+00 2.849764e-04 512 0
1129.3083 1130.3247 0.000000e+00 0.000000e+00 -2.070753e-03 512 0
1129.8920 1130.9089 0.000000e+00 0.000000e+00 -2.089837e-03 512 0
1130.4756 1131.4930 0.000000e+00 0.000000e+00 -2.111446e-03 512 0
1131.0593 1132.0772 0.000000e+00 0.000000e+00 -2.132360e-03 512 0
1131.6429 1132.6614 0.000000e+00 0.000000e+00 -2.147476e-03 512 0
1132.2265 1133.2455 0.000000e+00 0.000000e+00 -1.724822e-03 512 0
1132.8102 1133.8297 0.000000e+00 0.000000e+00 -2.186778e-03 512 0
1133.3938 1134.4139 0.000000e+00 0.000000e+00 -2.205721e-03 512 0
1133.9775 1134.9981 0.000000e+00 0.000000e+00 -1.794260e-03 512 0
1134.5611 1135.5822 0.000000e+00 0.000000e+00 -1.802611e-03 512 0
1135.1448 1136.1664 0.000000e+00 0.000000e+00 -2.261492e-03 512 0
1135.7284 1136.7505 0.000000e+00 0.000000e+00 -2.277141e-03 512 0
1136.3120 1137.3347 0.000000e+00 0.000000e+00 -2.297507e-03 512 0
1136.8957 1137.9189 0.000000e+00 0.000000e+00 -2.316079e-03 512 0
1137.4793 1138.5030 -4.195229e-14 8.842767e-15 -1.927228e-03 0 0
1138.0629 1139.0872 -1.933797e-14 1.175767e-18 -2.351802e-03 0 0
1138.6466 1139.6714 -9.859398e-15 2.136826e-15 -1.946133e-03 0 0
1139.2302 1140.2555 -8.727988e-15 5.172461e-19 -2.386501e-03 0 0
1139.8139 1140.8397 -6.868564e-15 4.008738e-19 -2.403585e-03 0 0
1140.3975 1141.4239 -5.460087e-15 3.221883e-19 -2.422075e-03 0 0
1140.9811 1142.0080 -3.577354e-15 7.865825e-16 -1.999907e-03 0 0
1141.5648 1142.5922 -3.534363e-15 2.027179e-19 -2.455679e-03 0 0
1142.1484 1143.1763 -2.393807e-15 4.898731e-16 -2.051620e-03 0 0
1142.7320 1143.7605 -2.397394e-15 1.370953e-19 -2.490289e-03 0 0
1143.3157 1144.3446 -2.011821e-15 1.152841e-19 -2.507644e-03 0 0
1143.8993 1144.9288 -1.720055e-15 9.415646e-20 -2.522079e-03 0 0
1144.4829 1145.5130 -1.237099e-15 2.560626e-16 -2.106257e-03 0 0
1145.0666 1146.0971 -1.314142e-15 6.956117e-20 -2.554014e-03 0 0
1145.6502 1146.6813 -1.176090e-15 6.835709e-20 -2.576278e-03 0 0
1146.2338 1147.2654 -8.919525e-16 1.690689e-16 -2.175525e-03 0 0
1146.8174 1147.8496 -8.064242e-16 1.625569e-16 -2.168657e-03 0 0
1147.4011 1148.4337 -7.282666e-16 1.571544e-16 -2.142508e-03 0 0
1147.9847 1149.0179 -8.248650e-16 4.465757e-20 -2.637859e-03 0 0
1148.5683 1149.6020 -6.467471e-16 1.190197e-16 -2.239226e-03 0 0
1149.1519 1150.1862 -5.978175e-16 1.165241e-16 -2.235280e-03 0 0
1149.7356 1150.7703 -2.506093e-16 2.077664e-16 -1.009382e-03 0 0
1150.3192 1151.3545 -5.244241e-16 9.865714e-17 -2.273201e-03 0 0
1150.9028 1151.9386 -4.903032e-16 9.401053e-17 -2.279774e-03 0 0
1151.4864 1152.5228 -4.569634e-16 9.210194e-17 -2.274448e-03 0 0
1152.0701 1153.1069 -1.914568e-16 1.631362e-16 -1.015989e-03 0 0
1152.6537 1153.6911 -1.833139e-16 1.532600e-16 -1.033506e-03 0 0
1153.2373 1154.2752 -3.189592e-16 1.035929e-16 -1.901729e-03 0 0
1153.8209 1154.8594 -2.325226e-16 1.228815e-16 -1.458749e-03 0 0
1154.4046 1155.4435 -4.583282e-17 1.555898e-16 -3.011739e-04 0 0
1154.9882 1156.0277 -1.456073e-16 1.335023e-16 -9.963770e-04 0 0
1155.5718 1156.6118 -1.465814e-16 1.257874e-16 -1.041060e-03 0 0
1156.1554 1157.1960 -9.160300e-17 1.327687e-16 -6.721462e-04 0 0
1156.7390 1157.7801 -2.095218e-16 9.763560e-17 -1.585021e-03 0 0
1157.3227 1158.3642 -1.454594e-16 1.124635e-16 -1.131102e-03 0 0
1157.9063 1158.9484 1.677447e-16 1.675915e-16 1.339492e-03 0 0
1158.4899 1159.5325 -1.891294e-16 9.565654e-17 -1.548954e-03 0 0
1159.0735 1160.1167 -9.183736e-17 1.144375e-16 -7.713011e-04 0 0
1159.6571 1160.7008 1.629988e-17 1.349578e-16 1.404150e-04 0 0
1160.2407 1161.2849 -4.716348e-17 1.169121e-16 -4.166360e-04 0 0
1160.8243 1161.8691 1.299843e-17 1.285838e-16 1.177597e-04 0 0
1161.4080 1162.4532 4.142992e-17 1.277948e-16 3.847042e-04 0 0
1161.9916 1163.0374 6.109815e-17 1.327428e-16 5.811474e-04 0 0
1162.5752 1163.6215 2.503914e-18 1.175657e-16 2.437504e-05 0 0
1163.1588 1164.2056 -4.920249e-17 1.036607e-16 -4.895653e-04 0 0
1163.7424 1164.7898 2.400663e-16 1.491959e-16 2.438798e-03 0 0
1164.3260 1165.3739 2.752596e-16 1.521168e-16 2.849399e-03 0 0
1164.9096 1165.9580 2.371549e-16 1.460991e-16 2.499370e-03 0 0
1165.4932 1166.5422 3.675803e-16 1.636703e-16 3.937484e-03 0 0
1166.0768 1167.1263 2.354397e-16 1.437070e-16 2.562349e-03 0 0
1166.6605 1167.7104 4.865082e-16 1.712141e-16 5.375739e-03 0 0
1167.2441 1168.2946 3.314870e-16 1.568390e-16 3.718902e-03 0 0
1167.8277 1168.8787 3.687760e-16 1.515724e-16 4.201916e-03 0 0
1168.4113 1169.4628 3.449784e-16 1.538638e-16 3.993848e-03 0 0
1168.9949 1170.0470 8.758796e-17 1.116803e-16 1.031668e-03 0 0
1169.5785 1170.6311 1.612497e-16 1.224282e-16 1.933217e-03 0 0
1170.1621 1171.2152 1.388479e-16 1.191124e-16 1.696978e-03 0 0
1170.7457 1171.7994 2.940250e-16 1.374771e-16 3.663529e-03 0 0
1171.3293 1172.3835 6.306644e-17 1.026789e-16 8.016364e-04 0 0
1171.9129 1172.9676 2.370116e-16 1.282290e-16 3.072365e-03 0 0
1172.4965 1173.5517 8.469132e-17 1.029300e-16 1.119236e-03 0 0
1173.0801 1174.1359 3.216143e-16 1.324299e-16 4.330257e-03 0 0
1173.6637 1174.7200 3.842938e-16 1.387205e-16 5.264340e-03 0 0
1174.2473 1175.3041 1.791153e-16 1.137043e-16 2.494437e-03 0 0
1174.8309 1175.8883 -2.181315e-17 7.880024e-17 -3.082121e-04 0 0
1175.4145 1176.4724 3.553225e-16 1.312424e-16 5.090894e-03 0 0
1175.9981 1177.0565 3.600865e-16 1.310515e-16 5.223365e-03 0 0
1176.5817 1177.6406 1.542989e-16 1.056171e-16 2.265357e-03 0 0
1177.1653 1178.2247 3.857349e-16 1.323896e-16 5.726904e-03 0 0
