# LMC-SN1987A-STIS-2 o5i220020 G140L MAMA z=0.0009 a2center=326.6 extrsize=11 exptime=2845.0 mode=fixed flags=low_detect
# rest_wvl obs_wvl flux error net dq mask
1118.7695 1119.7764 0.000000e+00 0.000000e+00 2.835452e-04 2564 0
1119.3525 1120.3599 0.000000e+00 0.000000e+00 -7.078973e-05 2564 0
1119.9354 1120.9434 0.000000e+00 0.000000e+00 -7.078973e-05 2564 0
1120.5184 1121.5268 0.000000e+00 0.000000e+00 -7.078973e-05 2564 0
1121.1013 1122.1103 0.000000e+00 0.000000e+00 1.364970e-08 2560 0
1121.6843 1122.6938 0.000000e+00 0.000000e+00 3.618542e-04 512 0
1122.2672 1123.2773 0.000000e+00 0.000000e+00 9.447540e-07 512 0
1122.8502 1123.8607 0.000000e+00 0.000000e+00 3.666437e-04 512 0
1123.4331 1124.4442 0.000000e+00 0.000000e+00 -1.473309e-07 512 0
1124.0160 1125.0277 0.000000e+00 0.000000e+00 -1.106775e-06 512 0
1124.5990 1125.6111 0.000000e+00 0.000000e+00 -1.275220e-03 512 0
1125.1819 1126.1946 0.000000e+00 0.000000e+00 -9.036749e-04 512 0
1125.7648 1126.7780 0.000000e+00 0.000000e+00 -1.290680e-03 512 0
1126.3478 1127.3615 0.000000e+00 0.000000e+00 -1.297920e-03 512 0
1126.9307 1127.9450 0.000000e+00 0.000000e+00 -1.301195e-03 512 0
1127.5136 1128.5284 0.000000e+00 0.000000e+00 -1.309666e-03 512 0
1128.0966 1129.1119 0.000000e+00 0.000000e+00 -9.485813e-04 512 0
1128.6795 1129.6953 0.000000e+00 0.000000e+00 -1.321162e-03 512 0
1129.2624 1130.2788 0.000000e+00 0.000000e+00 -1.329073e-03 512 0
1129.8453 1130.8622 0.000000e+00 0.000000e+00 -1.334641e-03 512 0
1130.4283 1131.4457 0.000000e+00 0.000000e+00 -1.340477e-03 512 0
1131.0112 1132.0291 0.000000e+00 0.000000e+00 -1.345982e-03 512 0
1131.5941 1132.6125 0.000000e+00 0.000000e+00 -9.845431e-04 512 0
1132.1770 1133.1960 0.000000e+00 0.000000e+00 -1.359781e-03 512 0
1132.7599 1133.7794 0.000000e+00 0.000000e+00 -1.363286e-03 512 0
1133.3428 1134.3629 0.000000e+00 0.000000e+00 -1.369735e-03 512 0
