# obs_wvl flux error
1.138000000000000000e+03 -4.082486764076169640e-14 2.705429752405187196e-18
1.139165838815382585e+03 -2.662554628790449632e-14 1.057114865607709101e-15
1.140331677630765171e+03 -1.487588323565668180e-14 3.468310728760006907e-19
1.141497516446147756e+03 -7.134330839363939829e-15 2.097310150624620782e-16
1.142663355261530342e+03 -3.602707512780906048e-15 1.313676302074528771e-19
1.143829194076912927e+03 -2.719628968676359407e-15 6.877003368525011209e-17
1.144995032892295512e+03 -2.028777761984181813e-15 8.125187584134273317e-17
1.146160871707678098e+03 -1.679735900519705415e-15 5.878822676344981816e-17
1.147326710523060683e+03 -1.484988745903344863e-15 4.272121782987690809e-17
1.148492549338443268e+03 -1.336846005235695811e-15 2.514382871406478310e-17
1.149658388153825854e+03 -8.357630355220086297e-16 2.949407707203315853e-17
1.150824226969208439e+03 -7.685781819956893970e-16 3.731502048405516341e-17
1.151990065784591025e+03 -7.509477333779760750e-16 2.299707717023749873e-17
1.153155904599973610e+03 -8.217046201735670273e-16 1.257295751457758022e-17
1.154321743415356195e+03 -5.452201233990375483e-16 1.748248686014553504e-17
1.155487582230738781e+03 -4.766837027290877816e-16 2.703903791572850619e-17
1.156653421046121366e+03 -4.109938698700633598e-16 3.124586198235664933e-17
1.157819259861503951e+03 -4.133613346378937954e-16 2.623779851979972067e-17
1.158985098676886537e+03 -3.398330838661940137e-16 2.995406118757574251e-17
1.160150937492269122e+03 -3.140359344691048575e-16 2.598453545582084292e-17
1.161316776307651708e+03 -3.257323848186627532e-16 2.568107652014760415e-17
1.162482615123034293e+03 -2.936530415800845415e-16 2.150775089685723755e-17
1.163648453938416878e+03 -1.494021219096201563e-16 3.354664986644887799e-17
1.164814292753799464e+03 -2.057646297759468573e-16 2.648704850475399584e-17
1.165980131569182049e+03 -1.094276860357322709e-16 3.251680792607148286e-17
1.167145970384564635e+03 -1.435923460216856619e-16 2.929010571876953231e-17
1.168311809199947220e+03 -1.236351193558493805e-16 2.915521314568065524e-17
1.169477648015329805e+03 -9.299581719117027026e-17 2.969213714282006345e-17
1.170643486830712391e+03 -5.299856129624747452e-17 3.101128758728803225e-17
1.171809325646094976e+03 1.982609058502757105e-18 3.354632808115273769e-17
1.172975164461477561e+03 -3.211981391338786125e-17 2.965574020715508381e-17
1.174141003276860147e+03 -4.325088951610506653e-17 2.755606894775240083e-17
1.175306842092242732e+03 -3.195145510830201439e-17 2.851011841483429778e-17
1.176472680907625318e+03 -8.080096360930349030e-17 2.420742229954552143e-17
1.177638519723007903e+03 -4.792932722285413358e-17 2.463195881249799294e-17
1.178804358538390488e+03 -1.010731365368889265e-17 2.655363401909264543e-17
1.179970197353773074e+03 8.049309539637946269e-18 2.729749939982259757e-17
1.181136036169155659e+03 5.147069228344548472e-17 2.951540423877252712e-17
1.182301874984538244e+03 4.914550455060256694e-17 2.843223561941109162e-17
1.183467713799920830e+03 3.668026486414628278e-17 2.751392422262062759e-17
1.184633552615303415e+03 1.406544299547841386e-17 2.527889205950625524e-17
1.185799391430686001e+03 1.534948577527069006e-16 3.129738578437119039e-17
1.186965230246068586e+03 1.015278288408697175e-16 2.902944947310789532e-17
1.188131069061451171e+03 1.028474287196350594e-16 2.937755926808902605e-17
1.189296907876833757e+03 1.312724041377279456e-17 2.435136249156648403e-17
1.190462746692216342e+03 -2.238963297660876802e-17 2.161161726956650636e-17
1.191628585507598928e+03 8.805885604634727818e-17 2.661236107012820684e-17
1.192794424322981513e+03 2.251040170265900911e-17 2.312458046387028657e-17
1.193960263138364098e+03 8.876320332067844694e-18 2.174413034833473890e-17
1.195126101953746684e+03 5.839546320692220732e-17 2.394501075905559379e-17
1.196291940769129269e+03 3.079481157135058166e-17 2.221415957436217714e-17
