# LMC-SN1987A-STIS-2 o6mi50070 G230L MAMA z=0.0009 a2center=570.8 extrsize=11 exptime=900.0 mode=fixed flags=low_detect
# rest_wvl obs_wvl flux error net dq mask
1581.7591 1583.1827 4.724212e-15 3.530934e-14 9.134316e-04 2580 0
1583.3017 1584.7267 2.577526e-14 1.982491e-14 7.088717e-03 2564 0
1584.8443 1586.2707 -1.863623e-15 6.978408e-15 -6.650437e-04 2564 0
1586.3869 1587.8146 6.045580e-15 8.785975e-15 2.653137e-03 2564 0
1587.9295 1589.3586 1.206700e-14 9.086714e-15 6.287165e-03 2048 0
1589.4721 1590.9026 2.859694e-15 6.710541e-15 1.725586e-03 0 0
1591.0148 1592.4467 1.116460e-15 5.869146e-15 7.659403e-04 0 0
1592.5574 1593.9907 3.736843e-15 4.723555e-15 2.913948e-03 0 0
1594.1000 1595.5347 -3.405060e-15 3.717814e-15 -3.003706e-03 0 0
1595.6427 1597.0788 -3.241011e-15 3.365941e-15 -3.226041e-03 0 0
1597.1854 1598.6228 4.671164e-15 4.170511e-15 5.222093e-03 0 0
1598.7280 1600.1669 3.300866e-15 3.539766e-15 4.126391e-03 0 0
1600.2707 1601.7110 6.173883e-15 3.524666e-15 8.589479e-03 0 0
1601.8134 1603.2550 5.627163e-15 3.242343e-15 8.671869e-03 0 0
1603.3561 1604.7991 -2.943584e-16 2.192760e-15 -5.003579e-04 0 0
1604.8988 1606.3432 4.916386e-15 2.710073e-15 9.177975e-03 0 0
1606.4415 1607.8873 9.128362e-16 2.008015e-15 1.865067e-03 0 0
1607.9843 1609.4314 -2.563528e-15 1.345052e-15 -5.710240e-03 0 0
1609.5270 1610.9756 1.089886e-15 1.751315e-15 2.639493e-03 0 0
1611.0697 1612.5197 7.405935e-16 1.563810e-15 1.942957e-03 0 0
1612.6125 1614.0639 1.529646e-15 1.571042e-15 4.337084e-03 0 0
1614.1553 1615.6080 -6.495504e-16 1.167010e-15 -1.983411e-03 0 0
1615.6980 1617.1522 9.355121e-16 1.299362e-15 3.069574e-03 0 0
1617.2408 1618.6963 -4.619359e-16 1.048078e-15 -1.623230e-03 0 0
1618.7836 1620.2405 -2.386356e-16 9.930304e-16 -8.961270e-04 0 0
1620.3264 1621.7847 7.432570e-16 1.071742e-15 2.973318e-03 0 0
1621.8692 1623.3289 1.630678e-15 1.127186e-15 6.934585e-03 0 0
1623.4121 1624.8731 2.070574e-16 8.998735e-16 9.333203e-04 0 0
1624.9549 1626.4173 -6.119299e-16 7.412188e-16 -2.917541e-03 0 0
1626.4977 1627.9616 7.361939e-16 8.607926e-16 3.702917e-03 0 0
1628.0406 1629.5058 7.619215e-16 8.411942e-16 4.034646e-03 0 0
1629.5834 1631.0501 -1.010530e-15 5.343489e-16 -5.620516e-03 0 0
1631.1263 1632.5943 8.133938e-16 7.939017e-16 4.742360e-03 0 0
1632.6692 1634.1386 7.904322e-16 7.378986e-16 4.821011e-03 0 0
1634.2121 1635.6829 1.745942e-15 8.393218e-16 1.111867e-02 0 0
1635.7550 1637.2271 2.165113e-15 8.490296e-16 1.437088e-02 0 0
1637.2979 1638.7714 2.373180e-16 6.123715e-16 1.638788e-03 0 0
1638.8408 1640.3157 4.822762e-16 6.067112e-16 3.459532e-03 0 0
1640.3837 1641.8600 -8.001203e-17 5.240556e-16 -5.952078e-04 0 0
1641.9266 1643.4044 1.797487e-16 5.440366e-16 1.384870e-03 0 0
1643.4696 1644.9487 9.953289e-16 6.210270e-16 7.929811e-03 0 0
1645.0125 1646.4930 5.288923e-16 5.538798e-16 4.352530e-03 0 0
1646.5555 1648.0374 -1.516001e-16 4.463352e-16 -1.286917e-03 0 0
1648.0985 1649.5817 3.701642e-16 5.020465e-16 3.238325e-03 0 0
1649.6414 1651.1261 2.833356e-16 4.790171e-16 2.550917e-03 0 0
1651.1844 1652.6705 4.437249e-16 4.893724e-16 4.107736e-03 0 0
1652.7274 1654.2149 6.710564e-16 5.033686e-16 6.380527e-03 0 0
1654.2704 1655.7593 6.458681e-17 4.188787e-16 6.303047e-04 0 0
1655.8134 1657.3037 -5.891826e-16 3.047128e-16 -5.895209e-03 0 0
1657.3565 1658.8481 9.925026e-17 4.090254e-16 1.017574e-03 0 0
1658.8995 1660.3925 7.067054e-16 4.607788e-16 7.416793e-03 0 0
1660.4425 1661.9369 -2.158484e-16 3.418860e-16 -2.317658e-03 0 0
1661.9856 1663.4814 1.005817e-16 3.792341e-16 1.103896e-03 0 0
1663.5287 1665.0258 1.173527e-16 3.792609e-16 1.315899e-03 0 0
1665.0717 1666.5703 2.549323e-16 3.834501e-16 2.918069e-03 0 0
