# obs_wvl flux error
1.138000000000000000e+03 -6.415812462412035431e-13 1.269063886051486152e-17
1.138582538700243731e+03 -1.443449400466168712e-13 1.453504466358326936e-18
1.139165077400487462e+03 -7.758945936940063147e-14 5.111165235281388185e-19
1.139747616100731193e+03 -4.640091942383703043e-14 3.184845320019256829e-19
1.140330154800974924e+03 -3.335825310822905449e-14 2.282183963568414478e-19
1.140912693501218655e+03 -2.609978423220789535e-14 2.348710485096725231e-19
1.141495232201462386e+03 -2.035562806461160133e-14 2.197085966332125732e-19
1.142077770901706117e+03 -1.652860142550272700e-14 2.655703869648203519e-19
1.142660309601949848e+03 -1.319334713633784284e-14 1.947473568227791624e-19
1.143242848302193579e+03 -1.041983631809282542e-14 1.244961406985542966e-19
1.143825387002437310e+03 -8.813840756953880193e-15 1.347568883751849744e-19
1.144407925702681041e+03 -7.358699766937617003e-15 7.993087936587969925e-20
1.144990464402924772e+03 -6.162953326821372428e-15 5.899132418085912288e-20
1.145573003103168503e+03 -5.320346927038589660e-15 4.389229274531107263e-20
1.146155541803412234e+03 -4.667467035022525759e-15 4.183863986055635510e-20
1.146738080503655965e+03 -4.171459614222461038e-15 4.456314204467469590e-20
1.147320619203899696e+03 -3.743499983920449562e-15 4.143684846972694697e-20
1.147903157904143427e+03 -3.382140935329417269e-15 3.204521040959459908e-20
1.148485696604387158e+03 -3.103764339515151275e-15 3.498604806035384136e-20
1.149068235304630889e+03 -2.828765759999081359e-15 2.612233984090057389e-20
1.149650774004874620e+03 -2.608208514013878218e-15 1.880025846055996941e-20
1.150233312705118351e+03 -2.438443999214004936e-15 3.986984862802299538e-20
1.150815851405362082e+03 -2.083748351405076731e-15 6.042686620542694295e-17
1.151398390105605813e+03 -2.088730694080967771e-15 3.323879852135172299e-20
1.151980928805849544e+03 -1.927695215630623907e-15 1.750360625482043479e-20
1.152563467506093275e+03 -1.809430231832084347e-15 1.948574068466745830e-20
1.153146006206337006e+03 -1.698149729223010902e-15 1.501325547747085892e-20
1.153728544906580737e+03 -1.586025865803694067e-15 1.485209915891932717e-20
1.154311083606824468e+03 -1.507393347601142829e-15 1.623729386544291246e-20
1.154893622307068199e+03 -1.428686355173864761e-15 1.333486800445818660e-20
1.155476161007311930e+03 -1.360238389555938053e-15 2.438997164062640444e-20
1.156058699707555661e+03 -1.304457499367476098e-15 2.363553338917646756e-20
1.156641238407799392e+03 -1.251625629954391992e-15 1.018507012350861358e-20
1.157223777108043123e+03 -1.202140285651722953e-15 1.395915015424308263e-20
1.157806315808286854e+03 -1.163209817185238637e-15 1.089681237516875275e-20
1.158388854508530585e+03 -1.133686409031532963e-15 1.356824115425931588e-20
1.158971393208774316e+03 -1.099261931699098795e-15 1.284618776369125397e-20
1.159553931909018047e+03 -1.060339561920285319e-15 1.821009457258078568e-20
1.160136470609261778e+03 -1.043540961096202708e-15 1.183779880440558116e-20
1.160719009309505509e+03 -1.020501879065631702e-15 1.543067172224274199e-20
1.161301548009749240e+03 -9.933527439044338777e-16 1.500489830514580845e-20
1.161884086709992971e+03 -9.085544330449758124e-16 2.352815686227338346e-17
1.162466625410236702e+03 -8.421397552539473990e-16 2.749022096492639295e-17
1.163049164110480433e+03 -9.213376763990753079e-16 1.061780401508377131e-20
1.163631702810724164e+03 -8.130460924542055216e-16 2.628084327173019716e-17
1.164214241510967895e+03 -7.490567018286646669e-16 3.520296559389684136e-17
1.164796780211211626e+03 -6.869145581405250994e-16 4.030320701428307961e-17
1.165379318911455357e+03 -6.289212909422479429e-16 4.431543632290573635e-17
1.165961857611699088e+03 -6.064875659554885083e-16 4.408067874058429868e-17
1.166544396311942819e+03 -5.963358507609709258e-16 4.460107113501307496e-17
1.167126935012186550e+03 -4.719125690160067978e-16 5.403373909040085617e-17
1.167709473712430281e+03 -4.072860071759555992e-16 5.745483654203066793e-17
1.168292012412674012e+03 -4.352192913809545383e-16 5.348552002718425198e-17
1.168874551112917743e+03 -3.124553397154200099e-16 6.280634543427230046e-17
1.169457089813161474e+03 -1.806101584506626977e-16 6.911266881023880227e-17
1.170039628513405205e+03 -9.443734073953092861e-17 7.253110153930854062e-17
1.170622167213648936e+03 -9.673946207333852076e-17 7.170911613395516830e-17
1.171204705913892667e+03 -5.677040573441640970e-17 7.090708180064755257e-17
1.171787244614136398e+03 8.774245931084595868e-17 7.825726369455572550e-17
1.172369783314380129e+03 1.520491086210349123e-16 7.928810205051872795e-17
1.172952322014623860e+03 3.321806015811050834e-16 8.717865674817426661e-17
1.173534860714867591e+03 4.093766258398829734e-16 8.770081118448925771e-17
1.174117399415111322e+03 6.583130243249873920e-16 9.788436336889592572e-17
1.174699938115355053e+03 7.275374997700851495e-16 9.710202350544469641e-17
1.175282476815598784e+03 8.034372479963836232e-16 9.754532206494595358e-17
1.175865015515842515e+03 7.870172860671935278e-16 9.601726003323759971e-17
1.176447554216086246e+03 8.836487344714552087e-16 1.002543893298101652e-16
1.177030092916329977e+03 1.206227483929724147e-15 1.098559758417640097e-16
1.177612631616573708e+03 1.088641881083556396e-15 1.024080179055051807e-16
1.178195170316817439e+03 1.185675558173081350e-15 1.070674578891889123e-16
1.178777709017061170e+03 1.206744921847257500e-15 1.040101598680058052e-16
1.179360247717304901e+03 1.247876032267794059e-15 1.065283070036528713e-16
1.179942786417548632e+03 1.231539862426241028e-15 1.032783202957474349e-16
1.180525325117792363e+03 1.380911166301415170e-15 1.078986278228010947e-16
1.181107863818036094e+03 1.436314809446198724e-15 1.076084413899988706e-16
1.181690402518279825e+03 1.623217974745186436e-15 1.144410624888980625e-16
1.182272941218523556e+03 1.974512978444061861e-15 1.193937900705905391e-16
1.182855479918767287e+03 2.058744522208954873e-15 1.216047379444360040e-16
1.183438018619011018e+03 2.017334479091592714e-15 1.182775123177108851e-16
1.184020557319254749e+03 2.167573278995316255e-15 1.203491887052468326e-16
1.184603096019498480e+03 2.230708993638079863e-15 1.214026960103394158e-16
1.185185634719742211e+03 2.486769148905763280e-15 1.274673565064757998e-16
1.185768173419985942e+03 2.474963233336955090e-15 1.231263085208594397e-16
1.186350712120229673e+03 2.470364076715372742e-15 1.245579954243281455e-16
1.186933250820473404e+03 2.632689607702307187e-15 1.258319369902636587e-16
1.187515789520717135e+03 2.631154198998747566e-15 1.252415157485862657e-16
1.188098328220960866e+03 2.607357958761411665e-15 1.238987862822795950e-16
1.188680866921204597e+03 2.113691689678195956e-15 1.105504973208751917e-16
1.189263405621448328e+03 1.906121845942323107e-15 1.054319750327414217e-16
1.189845944321692059e+03 1.755206703866358147e-15 1.015157358843746795e-16
1.190428483021935790e+03 1.629271645911069902e-15 9.797923940839349824e-17
1.191011021722179521e+03 1.541272618957522501e-15 9.646639473502046421e-17
1.191593560422423252e+03 1.206357576526043913e-15 8.470005083723578285e-17
1.192176099122666983e+03 9.483799506077988379e-16 7.792537314099610086e-17
1.192758637822910714e+03 9.202243431855353115e-16 7.666780497983725484e-17
1.193341176523154445e+03 1.072736341056876025e-15 8.106183139609448365e-17
1.193923715223398176e+03 1.270330511111968454e-15 8.544217236852002763e-17
1.194506253923641907e+03 1.306873956715116286e-15 8.487394891645126874e-17
1.195088792623885638e+03 1.381045890144415759e-15 8.733394834768216858e-17
1.195671331324129369e+03 1.503544592004212097e-15 8.939040329474596589e-17
1.196253870024373100e+03 1.591271890756999972e-15 8.940782745811624773e-17
1.196836408724616831e+03 1.669696334767403340e-15 9.298430042763050107e-17
1.197418947424860562e+03 1.693383754734211098e-15 9.089385813147138773e-17
1.198001486125104293e+03 1.764967957673146622e-15 9.337579656668323646e-17
1.198584024825348024e+03 1.586871269202035103e-15 8.886900683307616843e-17
1.199166563525591755e+03 1.321667998330068635e-15 8.048465454291190665e-17
1.199749102225835486e+03 1.129387576477347385e-15 7.497204229653692432e-17
1.200331640926079217e+03 9.906043932538159192e-16 7.120609795910962907e-17
1.200914179626322948e+03 9.309288570033307397e-16 6.917807890161319665e-17
1.201496718326566679e+03 9.385542072787687593e-16 6.933683350009200760e-17
1.202079257026810410e+03 9.791852296302442417e-16 7.105435759112367270e-17
1.202661795727054141e+03 1.063118438092142358e-15 7.138395835848298619e-17
1.203244334427297872e+03 9.468923882071974856e-16 6.864429008343060364e-17
1.203826873127541603e+03 9.287439607852217493e-16 6.714663485714670063e-17
1.204409411827785334e+03 1.080786150513174785e-15 7.110163767375425663e-17
1.204991950528029065e+03 1.110426716757431208e-15 7.105599631737847952e-17
1.205574489228272796e+03 7.861737583172299478e-16 6.012747398391942206e-17
1.206157027928516527e+03 6.552815427119565602e-16 5.883753735713423098e-17
1.206739566628760258e+03 6.049030930613700487e-16 5.604602199342608677e-17
1.207322105329003989e+03 5.111420679484864376e-16 5.202085153900387630e-17
1.207904644029247720e+03 3.590046467517053965e-16 4.606176721794255437e-17
1.208487182729491451e+03 1.924095934864869842e-16 3.951210311684348992e-17
1.209069721429735182e+03 1.175993925755767341e-16 3.702456635589810473e-17
1.209652260129978913e+03 1.422393355704953974e-16 3.998546323426006501e-17
1.210234798830222644e+03 1.280197931454369903e-16 4.201145488015118592e-17
1.210817337530466375e+03 1.068513602428917296e-16 4.122733735279171300e-17
1.211399876230710106e+03 5.020902672275012541e-17 4.144753687026575632e-17
1.211982414930953837e+03 4.504837960137633447e-17 5.117711659707260137e-17
1.212564953631197568e+03 4.069099039713266681e-17 6.766288413426348747e-17
1.213147492331441299e+03 1.819909733256560623e-16 1.124448502278668835e-16
1.213730031031685030e+03 -7.197214960460659122e-17 1.684010344415495841e-16
1.214312569731928761e+03 -2.012458108781981764e-16 1.886183576608479212e-16
1.214895108432172492e+03 2.538917611659633486e-17 1.922962240013274392e-16
1.215477647132416223e+03 -3.305975058005838648e-16 1.924371669081442566e-16
1.216060185832659954e+03 -2.022562961787553174e-16 1.888825521746641815e-16
1.216642724532903685e+03 -2.709370995224929787e-16 1.885639162597511946e-16
1.217225263233147416e+03 1.922495849399154231e-17 1.840750746153832972e-16
1.217807801933391147e+03 5.652276984875200544e-17 1.609716946717386293e-16
1.218390340633634878e+03 -5.096603234734668666e-17 1.047075225193092879e-16
1.218972879333878609e+03 -3.257090321614347518e-17 5.921462009244205990e-17
1.219555418034122340e+03 -5.108320556032985322e-17 4.316269798730558263e-17
1.220137956734366071e+03 -6.617886990164393870e-17 3.463329869610176803e-17
1.220720495434609802e+03 -2.941881496868122654e-17 3.043833623629044070e-17
1.221303034134853533e+03 1.270509146878489474e-17 2.832940444908115610e-17
1.221885572835097264e+03 -1.004280141946458800e-17 2.403730586809352739e-17
1.222468111535340995e+03 -1.936401293887941545e-17 2.214600321791650411e-17
1.223050650235584726e+03 -3.914348372251969254e-18 2.129037063372740649e-17
1.223633188935828457e+03 -3.035491390088087937e-18 1.928163884730672285e-17
1.224215727636072188e+03 -1.503626778633837129e-17 1.817648177587112130e-17
1.224798266336315919e+03 -9.343421028846147588e-17 1.153695047140667475e-17
1.225380805036559650e+03 -1.555508151365694335e-16 1.100301730997565439e-17
1.225963343736803381e+03 -9.146366730168371273e-17 1.775452639210612190e-17
1.226545882437047112e+03 -7.541075169897189081e-17 1.849702269884739345e-17
1.227128421137290843e+03 -7.255097570989105988e-17 1.834605879089784910e-17
1.227710959837534574e+03 -7.469666745822412731e-17 1.795101999863083532e-17
1.228293498537778305e+03 -7.673823174057711658e-17 1.770257135526536409e-17
1.228876037238022036e+03 -6.272236405051406458e-17 1.867920387098032554e-17
1.229458575938265767e+03 -9.855451509720765091e-17 1.533686140270398515e-17
1.230041114638509498e+03 -8.727554673686658351e-17 1.648967454039817122e-17
1.230623653338753229e+03 -8.421723951067706952e-17 1.610029810447495869e-17
1.231206192038996960e+03 -6.995795469914910189e-17 1.744353284818065167e-17
1.231788730739240691e+03 -6.925323961027211940e-17 1.718361961121092693e-17
1.232371269439484422e+03 -6.621739415770373507e-17 1.672727216285565942e-17
1.232953808139728153e+03 -8.219770457428957668e-17 1.560729105988266080e-17
1.233536346839971884e+03 -7.066562091562110017e-17 1.648955494668335745e-17
1.234118885540215615e+03 -7.128313818184154375e-17 1.603122765148055572e-17
1.234701424240459346e+03 -3.139306705355183688e-17 1.880033226861254913e-17
1.235283962940703077e+03 -2.705616372311706222e-17 1.837978281864792723e-17
1.235866501640946808e+03 -2.496682456697071853e-18 2.012879783179512861e-17
1.236449040341190539e+03 3.248704084784849892e-17 2.183155019731098044e-17
1.237031579041434270e+03 3.458427956258016844e-16 3.475854676056927269e-17
1.237614117741678001e+03 7.730025671781262808e-16 4.638746509348415958e-17
1.238196656441921732e+03 9.090219354171563266e-16 4.988997225346858018e-17
1.238779195142165463e+03 7.389505366649094879e-16 4.427983747589405635e-17
1.239361733842409194e+03 5.363684493020325947e-16 3.891211905633521920e-17
1.239944272542652925e+03 4.849422502701697104e-16 3.780401637139896664e-17
1.240526811242896656e+03 4.344172264341879509e-16 3.597307758224104455e-17
1.241109349943140387e+03 5.126936337980799787e-16 3.889365496276650189e-17
1.241691888643384118e+03 6.284735592296599558e-16 4.138250334601496197e-17
1.242274427343627849e+03 6.662769400695655118e-16 4.202107023890857256e-17
1.242856966043871580e+03 5.189688479745623916e-16 3.803324868000045767e-17
1.243439504744115311e+03 2.976785136268226817e-16 3.113126198148668274e-17
1.244022043444359042e+03 2.105143119135393121e-16 2.774043235847271858e-17
1.244604582144602773e+03 2.053679325952261606e-16 2.762919664907921763e-17
1.245187120844846504e+03 1.993804491669063478e-16 2.710697200466559812e-17
1.245769659545090235e+03 1.794259350275536847e-16 2.629388478467095996e-17
1.246352198245333966e+03 8.341595823181984809e-17 2.223752064191061542e-17
1.246934736945577697e+03 1.895843290319096511e-17 1.897338720631302940e-17
1.247517275645821428e+03 -3.184689594354478878e-17 1.573066693320216876e-17
1.248099814346065159e+03 -1.129463440000889053e-17 1.702576504890534948e-17
1.248682353046308890e+03 -2.941399363297270850e-17 1.551757883725210114e-17
1.249264891746552621e+03 -6.605213028551927911e-19 1.766643794909551161e-17
1.249847430446796352e+03 -2.396716841423034988e-17 1.586890296652811145e-17
1.250429969147040083e+03 -4.062386937212375238e-17 1.472592496221240216e-17
1.251012507847283814e+03 -3.361367709512848905e-17 1.547519298374815365e-17
1.251595046547527545e+03 -1.602097138462628129e-17 1.570252144975146059e-17
1.252177585247771276e+03 -5.686366075544207784e-17 1.315829287551081337e-17
1.252760123948015007e+03 -4.906193448204781398e-17 1.404978607790999037e-17
1.253342662648258738e+03 -3.344294357940366548e-17 1.558689409976840781e-17
1.253925201348502469e+03 -2.834198711818140700e-17 1.565947669443410225e-17
