# LMC-SN1987A-STIS-2 o91o76030 G140L MAMA z=0.0009 a2center=309.1 extrsize=11 exptime=1500.0 mode=fixed flags=low_detect
# rest_wvl obs_wvl flux error net dq mask
1119.0576 1120.0648 0.000000e+00 0.000000e+00 6.016749e-04 2564 0
1119.6405 1120.6482 0.000000e+00 0.000000e+00 -7.004847e-05 2564 0
1120.2234 1121.2316 0.000000e+00 0.000000e+00 -7.004846e-05 2564 0
1120.8062 1121.8150 0.000000e+00 0.000000e+00 -7.004845e-05 2564 0
1121.3891 1122.3984 0.000000e+00 0.000000e+00 -2.062974e-06 2560 0
1121.9720 1122.9817 0.000000e+00 0.000000e+00 2.866582e-07 512 0
1122.5548 1123.5651 0.000000e+00 0.000000e+00 -6.172340e-07 512 0
1123.1377 1124.1485 0.000000e+00 0.000000e+00 1.414031e-06 512 0
1123.7206 1124.7319 0.000000e+00 0.000000e+00 -1.571534e-07 512 0
1124.3034 1125.3153 0.000000e+00 0.000000e+00 6.784090e-04 512 0
1124.8863 1125.8987 0.000000e+00 0.000000e+00 -7.051010e-03 512 0
1125.4691 1126.4820 0.000000e+00 0.000000e+00 -7.042816e-03 512 0
1126.0520 1127.0654 0.000000e+00 0.000000e+00 -7.033189e-03 512 0
1126.6348 1127.6488 0.000000e+00 0.000000e+00 -7.027221e-03 512 0
1127.2177 1128.2322 0.000000e+00 0.000000e+00 -7.011150e-03 512 0
1127.8005 1128.8155 0.000000e+00 0.000000e+00 -7.006967e-03 512 0
1128.3834 1129.3989 0.000000e+00 0.000000e+00 -6.993068e-03 512 0
1128.9662 1129.9823 0.000000e+00 0.000000e+00 -6.985465e-03 512 0
1129.5491 1130.5657 0.000000e+00 0.000000e+00 -4.970388e-03 512 0
1130.1319 1131.1490 0.000000e+00 0.000000e+00 -6.967191e-03 512 0
1130.7147 1131.7324 0.000000e+00 0.000000e+00 -6.956541e-03 512 0
1131.2976 1132.3157 0.000000e+00 0.000000e+00 -6.702680e-03 512 0
1131.8804 1132.8991 0.000000e+00 0.000000e+00 -6.937583e-03 512 0
1132.4632 1133.4825 0.000000e+00 0.000000e+00 -6.927805e-03 512 0
1133.0461 1134.0658 0.000000e+00 0.000000e+00 -6.245574e-03 512 0
1133.6289 1134.6492 0.000000e+00 0.000000e+00 -6.906752e-03 512 0
1134.2117 1135.2325 0.000000e+00 0.000000e+00 -6.896130e-03 512 0
1134.7946 1135.8159 0.000000e+00 0.000000e+00 -6.888115e-03 512 0
1135.3774 1136.3992 0.000000e+00 0.000000e+00 -6.877199e-03 512 0
1135.9602 1136.9826 0.000000e+00 0.000000e+00 -6.194779e-03 512 0
1136.5430 1137.5659 0.000000e+00 0.000000e+00 -6.858536e-03 512 0
1137.1259 1138.1493 0.000000e+00 0.000000e+00 -6.847917e-03 512 0
1137.7087 1138.7326 -1.263344e-13 2.444505e-18 -6.836314e-03 0 0
1138.2915 1139.3160 -6.272408e-14 1.259472e-18 -6.828209e-03 0 0
1138.8743 1139.8993 -4.165444e-14 8.437458e-19 -6.818539e-03 0 0
1139.4571 1140.4826 -3.110508e-14 6.207636e-19 -6.807459e-03 0 0
1140.0399 1141.0660 -2.478955e-14 5.145124e-19 -6.799451e-03 0 0
1140.6228 1141.6493 -1.924884e-14 3.730148e-19 -6.785332e-03 0 0
1141.2056 1142.2327 -1.554689e-14 3.354086e-19 -6.781033e-03 0 0
1141.7884 1142.8160 -1.116000e-14 1.213509e-15 -6.102844e-03 0 0
1142.3712 1143.3993 -9.154606e-15 1.016251e-15 -6.082727e-03 0 0
1142.9540 1143.9826 -8.353140e-15 1.750838e-19 -6.748399e-03 0 0
1143.5368 1144.5660 -7.029615e-15 1.462366e-19 -6.737559e-03 0 0
1144.1196 1145.1493 -5.978169e-15 1.196117e-19 -6.724940e-03 0 0
1144.7024 1145.7326 -5.182071e-15 1.089639e-19 -6.717240e-03 0 0
1145.2852 1146.3159 -4.550597e-15 9.121182e-20 -6.704106e-03 0 0
1145.8680 1146.8993 -4.051639e-15 8.333221e-20 -6.694977e-03 0 0
1146.4508 1147.4826 -3.648314e-15 7.861389e-20 -6.687098e-03 0 0
1147.0336 1148.0659 -3.313500e-15 6.919270e-20 -6.674715e-03 0 0
1147.6164 1148.6492 -3.031443e-15 6.457197e-20 -6.665207e-03 0 0
1148.1992 1149.2325 -2.790264e-15 5.794911e-20 -6.653212e-03 0 0
1148.7819 1149.8158 -2.573935e-15 5.423596e-20 -6.643418e-03 0 0
1149.3647 1150.3992 -2.384695e-15 5.136183e-20 -6.633973e-03 0 0
1149.9475 1150.9825 -2.104336e-15 1.506294e-16 -6.309748e-03 0 0
1150.5303 1151.5658 -2.053195e-15 4.523138e-20 -6.613841e-03 0 0
1151.1131 1152.1491 -1.714361e-15 1.960591e-16 -5.922228e-03 0 0
1151.6959 1152.7324 -1.784870e-15 3.792143e-20 -6.590260e-03 0 0
1152.2786 1153.3157 -1.673033e-15 3.440160e-20 -6.577710e-03 0 0
1152.8614 1153.8990 -1.574548e-15 3.378801e-20 -6.569262e-03 0 0
1153.4442 1154.4823 -1.489053e-15 2.996866e-20 -6.554926e-03 0 0
1154.0270 1155.0656 -1.414434e-15 2.962151e-20 -6.546249e-03 0 0
1154.6097 1155.6489 -8.010283e-16 2.754025e-16 -3.872151e-03 0 0
1155.1925 1156.2322 -1.296539e-15 2.668801e-20 -6.523473e-03 0 0
1155.7753 1156.8155 -1.249987e-15 2.599458e-20 -6.513072e-03 0 0
1156.3580 1157.3988 -1.086362e-15 1.220054e-16 -5.846363e-03 0 0
1156.9408 1157.9820 -1.051519e-15 1.199526e-16 -5.826020e-03 0 0
1157.5236 1158.5653 -1.017686e-15 1.207605e-16 -5.794834e-03 0 0
1158.1063 1159.1486 -8.720657e-16 1.663170e-16 -5.096649e-03 0 0
1158.6891 1159.7319 -1.077512e-15 2.228550e-20 -6.457754e-03 0 0
1159.2718 1160.3152 -9.411648e-16 1.075409e-16 -5.785603e-03 0 0
1159.8546 1160.8985 -9.160994e-16 1.050786e-16 -5.775446e-03 0 0
1160.4374 1161.4817 -8.915446e-16 1.020609e-16 -5.764625e-03 0 0
1161.0201 1162.0650 -9.678190e-16 2.129732e-20 -6.416732e-03 0 0
1161.6029 1162.6483 -7.450272e-16 1.396790e-16 -5.061944e-03 0 0
1162.1856 1163.2316 -9.184966e-16 1.924853e-20 -6.391663e-03 0 0
1162.7684 1163.8148 -7.001938e-16 1.390357e-16 -4.984174e-03 0 0
1163.3511 1164.3981 -7.001286e-16 1.237716e-16 -5.093429e-03 0 0
1163.9338 1164.9814 -5.786549e-16 1.607851e-16 -4.294506e-03 0 0
1164.5166 1165.5647 -4.980120e-16 1.706090e-16 -3.765970e-03 0 0
1165.0993 1166.1479 -5.678062e-16 1.477054e-16 -4.368476e-03 0 0
1165.6821 1166.7312 -5.097084e-16 1.612821e-16 -3.985744e-03 0 0
1166.2648 1167.3145 -5.865431e-16 1.334752e-16 -4.658786e-03 0 0
1166.8475 1167.8977 -4.195582e-16 1.718288e-16 -3.383366e-03 0 0
1167.4303 1168.4810 -5.660885e-16 1.296224e-16 -4.635815e-03 0 0
1168.0130 1169.0642 -7.789618e-18 2.416052e-16 -6.478699e-05 0 0
1168.5957 1169.6475 -1.714356e-17 2.358108e-16 -1.449641e-04 0 0
1169.1785 1170.2307 -1.138949e-16 2.169071e-16 -9.798184e-04 0 0
1169.7612 1170.8140 2.621882e-16 2.736679e-16 2.297454e-03 0 0
1170.3439 1171.3972 -5.592847e-17 2.158779e-16 -4.995726e-04 0 0
1170.9267 1171.9805 -1.182974e-16 2.017328e-16 -1.077616e-03 0 0
1171.5094 1172.5637 5.595385e-16 2.956991e-16 5.199434e-03 0 0
1172.0921 1173.1470 3.445146e-16 2.695154e-16 3.264579e-03 16 0
1172.6748 1173.7302 2.858443e-16 2.508008e-16 2.761249e-03 0 0
1173.2575 1174.3135 9.861250e-16 3.304353e-16 9.700557e-03 0 0
1173.8403 1174.8967 8.943847e-16 3.188850e-16 8.951143e-03 0 0
1174.4230 1175.4800 1.321831e-15 3.528616e-16 1.345655e-02 0 0
1175.0057 1176.0632 6.596734e-16 2.830558e-16 6.824173e-03 0 0
1175.5884 1176.6464 8.826856e-16 3.059460e-16 9.268527e-03 0 0
1176.1711 1177.2297 1.539270e-15 3.680745e-16 1.638961e-02 0 0
1176.7538 1177.8129 1.143650e-15 3.255522e-16 1.234050e-02 0 0
1177.3365 1178.3961 1.415932e-15 3.479840e-16 1.547454e-02 0 0
1177.9192 1178.9794 1.110894e-15 3.127899e-16 1.229495e-02 0 0
1178.5019 1179.5626 7.143174e-16 2.756369e-16 8.005129e-03 0 0
1179.0846 1180.1458 1.240345e-15 3.178306e-16 1.407841e-02 0 0
1179.6673 1180.7290 1.531424e-15 3.450805e-16 1.760983e-02 0 0
1180.2500 1181.3123 1.748422e-15 3.555241e-16 2.037283e-02 0 0
1180.8327 1181.8955 1.750851e-15 3.649972e-16 2.067784e-02 16 0
1181.4154 1182.4787 1.893909e-15 3.579592e-16 2.267189e-02 0 0
1181.9981 1183.0619 1.792381e-15 3.602086e-16 2.175008e-02 0 0
1182.5808 1183.6451 2.088378e-15 3.691979e-16 2.568568e-02 0 0
1183.1635 1184.2284 2.191233e-15 3.710748e-16 2.731315e-02 0 0
1183.7462 1184.8116 2.403999e-15 3.878276e-16 3.036020e-02 0 0
1184.3289 1185.3948 2.486447e-15 3.966382e-16 3.180595e-02 0 0
1184.9116 1185.9780 1.890785e-15 3.395729e-16 2.449191e-02 0 0
1185.4942 1186.5612 3.219764e-15 4.368216e-16 4.222126e-02 0 0
1186.0769 1187.1444 2.757029e-15 3.974089e-16 3.659506e-02 0 0
1186.6596 1187.7276 2.286219e-15 3.707578e-16 3.071246e-02 0 0
1187.2423 1188.3108 2.768194e-15 3.948958e-16 3.763651e-02 0 0
1187.8250 1188.8940 1.972022e-15 3.423893e-16 2.713645e-02 16 0
1188.4076 1189.4772 1.902383e-15 3.291374e-16 2.649826e-02 0 0
1188.9903 1190.0604 1.593828e-15 3.087531e-16 2.247622e-02 0 0
1189.5730 1190.6436 1.715784e-15 3.129983e-16 2.449947e-02 0 0
1190.1557 1191.2268 1.808754e-15 3.232154e-16 2.615633e-02 0 0
1190.7383 1191.8100 7.742606e-16 2.293634e-16 1.133889e-02 0 0
1191.3210 1192.3932 1.044684e-15 2.550594e-16 1.549346e-02 0 0
1191.9037 1192.9764 7.694183e-16 2.240164e-16 1.155370e-02 0 0
1192.4863 1193.5596 1.007348e-15 2.464357e-16 1.531151e-02 0 0
1193.0690 1194.1427 9.079043e-16 2.338697e-16 1.396399e-02 0 0
1193.6516 1194.7259 1.292152e-15 2.680846e-16 2.009949e-02 0 0
1194.2343 1195.3091 1.436812e-15 2.741322e-16 2.259393e-02 0 0
1194.8170 1195.8923 1.292213e-15 2.635610e-16 2.052788e-02 0 0
1195.3996 1196.4755 1.394143e-15 2.655032e-16 2.236678e-02 0 0
1195.9823 1197.0587 1.753678e-15 2.964794e-16 2.839898e-02 0 0
1196.5649 1197.6418 1.711232e-15 2.871674e-16 2.796702e-02 0 0
1197.1476 1198.2250 1.165577e-15 2.455417e-16 1.921926e-02 0 0
1197.7302 1198.8082 1.673594e-15 2.893841e-16 2.784121e-02 0 0
1198.3129 1199.3914 1.280601e-15 2.517907e-16 2.149202e-02 0 0
1198.8955 1199.9745 1.085460e-15 2.353834e-16 1.837952e-02 0 0
1199.4782 1200.5577 9.985157e-16 2.264884e-16 1.706087e-02 0 0
1200.0608 1201.1409 8.916271e-16 2.183588e-16 1.537386e-02 0 0
1200.6434 1201.7240 9.839192e-16 2.229021e-16 1.712362e-02 0 0
1201.2261 1202.3072 9.699918e-16 2.239913e-16 1.703916e-02 0 0
1201.8087 1202.8903 9.129681e-16 2.118686e-16 1.618904e-02 0 0
1202.3914 1203.4735 5.773805e-16 1.839043e-16 1.033477e-02 0 0
1202.9740 1204.0567 1.078494e-15 2.221709e-16 1.948621e-02 0 0
1203.5566 1204.6398 1.194034e-15 2.359670e-16 2.177555e-02 0 0
1204.1393 1205.2230 1.029235e-15 2.181411e-16 1.894375e-02 0 0
1204.7219 1205.8061 3.974429e-16 1.563853e-16 7.382309e-03 16 0
1205.3045 1206.3893 5.532345e-16 1.760549e-16 1.036893e-02 0 0
1205.8871 1206.9724 5.429016e-16 1.716989e-16 1.026657e-02 0 0
1206.4698 1207.5556 4.815007e-16 1.625759e-16 9.186111e-03 0 0
1207.0524 1208.1387 4.841054e-16 1.639236e-16 9.317148e-03 0 0
1207.6350 1208.7219 2.681831e-16 1.357231e-16 5.206509e-03 0 0
1208.2176 1209.3050 2.882666e-16 1.201042e-16 5.644997e-03 0 0
1208.8002 1209.8882 2.244932e-16 1.339726e-16 4.434057e-03 0 0
1209.3829 1210.4713 7.925614e-17 1.390969e-16 1.578863e-03 0 0
1209.9655 1211.0544 1.721823e-16 1.247328e-16 3.459360e-03 0 0
1210.5481 1211.6376 2.746295e-16 1.510229e-16 5.564598e-03 0 0
1211.1307 1212.2207 1.564682e-16 1.496826e-16 3.197211e-03 0 0
1211.7133 1212.8038 2.569941e-16 2.153140e-16 5.295537e-03 0 0
1212.2959 1213.3870 3.887851e-16 3.810805e-16 8.078203e-03 0 0
1212.8785 1213.9701 -2.791663e-16 5.403327e-16 -5.848825e-03 0 0
1213.4611 1214.5532 1.114907e-16 5.586577e-16 2.355129e-03 16 0
1214.0437 1215.1364 -5.858492e-16 5.517695e-16 -1.247714e-02 16 0
1214.6263 1215.7195 -7.654670e-16 5.532540e-16 -1.643534e-02 0 0
1215.2089 1216.3026 -4.093315e-16 5.523231e-16 -8.860022e-03 0 0
1215.7915 1216.8857 -7.167702e-16 5.410393e-16 -1.563951e-02 0 0
1216.3741 1217.4689 7.736651e-16 5.363850e-16 1.701637e-02 0 0
1216.9567 1218.0520 -1.748632e-16 4.375934e-16 -3.876761e-03 0 0
1217.5393 1218.6351 -1.900849e-16 2.407895e-16 -4.247800e-03 0 0
1218.1219 1219.2182 4.539421e-17 1.502741e-16 1.022492e-03 0 0
1218.7045 1219.8013 -1.986251e-16 1.027005e-16 -4.509479e-03 0 0
1219.2871 1220.3844 -1.532785e-16 8.936354e-17 -3.507607e-03 0 0
1219.8697 1220.9675 3.592358e-17 9.943227e-17 8.285791e-04 0 0
1220.4522 1221.5506 1.960177e-17 7.592824e-17 4.556808e-04 0 0
1221.0348 1222.1338 -3.891688e-18 6.300158e-17 -9.117951e-05 0 0
1221.6174 1222.7169 -9.075077e-18 5.720090e-17 -2.142680e-04 0 0
1222.2000 1223.3000 4.732609e-17 7.107420e-17 1.125992e-03 0 0
1222.7826 1223.8831 8.005823e-17 7.218532e-17 1.919067e-03 0 0
1223.3651 1224.4662 -3.602785e-17 5.004950e-17 -8.700623e-04 0 0
1223.9477 1225.0493 5.667119e-17 8.651597e-17 1.378282e-03 0 0
1224.5303 1225.6324 -1.047314e-16 5.176494e-17 -2.561487e-03 0 0
