# LMC-SN1987A-STIS-2 ob7ia3060 G230L MAMA z=0.0009 a2center=461.4 extrsize=11 exptime=312.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1582.0945 1583.5184 3.067294e-14 9.549708e-14 6.268324e-03 2564 0
1583.6364 1585.0617 -7.259182e-15 7.455960e-14 -2.057404e-03 2564 0
1585.1783 1586.6049 5.080857e-14 4.072570e-14 1.842533e-02 2564 0
1586.7201 1588.1482 5.704790e-14 4.179800e-14 2.521650e-02 2564 0
1588.2620 1589.6914 -8.387936e-14 3.072883e-14 -4.374849e-02 2048 0
1589.8039 1591.2347 9.965250e-15 3.182658e-14 5.992621e-03 0 0
1591.3458 1592.7780 5.286778e-14 2.717905e-14 3.602122e-02 0 0
1592.8877 1594.3213 3.447935e-14 2.405240e-14 2.675954e-02 0 0
1594.4296 1595.8646 3.562417e-14 2.443681e-14 3.117763e-02 0 0
1595.9715 1597.4079 -1.163809e-14 1.389276e-14 -1.150880e-02 0 0
1597.5135 1598.9512 2.137264e-15 1.661961e-14 2.367115e-03 0 0
1599.0554 1600.4946 2.909960e-14 1.673785e-14 3.605967e-02 0 0
1600.5974 1602.0379 1.550488e-14 1.404147e-14 2.133233e-02 0 0
1602.1393 1603.5812 -1.028649e-14 1.066182e-14 -1.568008e-02 0 0
1603.6813 1605.1246 7.929792e-15 1.127423e-14 1.330641e-02 0 0
1605.2233 1606.6680 1.445351e-14 1.089406e-14 2.663947e-02 0 0
1606.7652 1608.2113 1.511586e-14 9.981684e-15 3.044082e-02 0 0
1608.3072 1609.7547 1.149875e-14 9.201241e-15 2.524848e-02 0 0
1609.8492 1611.2981 1.315488e-15 7.700659e-15 3.135957e-03 0 0
1611.3912 1612.8415 1.092424e-14 7.719363e-15 2.821177e-02 0 0
1612.9333 1614.3849 1.891574e-14 7.899592e-15 5.272898e-02 0 0
1614.4753 1615.9283 1.254277e-14 6.991210e-15 3.765021e-02 0 0
1616.0173 1617.4717 -7.871709e-16 5.367017e-15 -2.536372e-03 0 0
1617.5594 1619.0152 1.934131e-14 6.701692e-15 6.672769e-02 0 0
1619.1014 1620.5586 1.019775e-14 5.639788e-15 3.756388e-02 0 0
1620.6435 1622.1021 1.980278e-14 6.073815e-15 7.768340e-02 0 0
1622.1856 1623.6455 8.216668e-15 4.973004e-15 3.423875e-02 0 0
1623.7276 1625.1890 1.809300e-14 5.455714e-15 7.988373e-02 0 0
1625.2697 1626.7325 1.475897e-14 4.976960e-15 6.888144e-02 0 0
1626.8118 1628.2760 1.259076e-14 4.546051e-15 6.196635e-02 0 0
1628.3539 1629.8194 1.220168e-14 4.438350e-15 6.318809e-02 0 0
1629.8960 1631.3629 1.780731e-14 4.591686e-15 9.681895e-02 0 0
1631.4382 1632.9065 7.952191e-15 3.840611e-15 4.530242e-02 0 0
1632.9803 1634.4500 1.377958e-14 3.968646e-15 8.208533e-02 0 0
1634.5224 1635.9935 2.109730e-14 4.428021e-15 1.311727e-01 0 0
1636.0646 1637.5370 1.485608e-14 3.880879e-15 9.623234e-02 0 0
1637.6067 1639.0806 1.777043e-14 3.965024e-15 1.197204e-01 0 0
1639.1489 1640.6241 1.426167e-14 3.545967e-15 9.977025e-02 0 0
1640.6911 1642.1677 1.183208e-14 3.431812e-15 8.581623e-02 0 0
1642.2333 1643.7113 1.947968e-14 3.739573e-15 1.462735e-01 0 0
1643.7754 1645.2548 1.219506e-14 3.206954e-15 9.467252e-02 0 0
1645.3176 1646.7984 1.790554e-14 3.522245e-15 1.435389e-01 0 0
1646.8599 1648.3420 1.386046e-14 3.158928e-15 1.145918e-01 0 0
1648.4021 1649.8856 1.482246e-14 3.151168e-15 1.262567e-01 0 0
1649.9443 1651.4292 1.704142e-14 3.240959e-15 1.493745e-01 0 0
1651.4865 1652.9729 2.127855e-14 3.408030e-15 1.917630e-01 0 0
1653.0288 1654.5165 2.208244e-14 3.390762e-15 2.044006e-01 0 0
1654.5710 1656.0601 1.657694e-14 3.061630e-15 1.574754e-01 0 0
1656.1133 1657.6038 2.203636e-14 3.283535e-15 2.146359e-01 0 0
1657.6556 1659.1474 2.497861e-14 3.351738e-15 2.492796e-01 0 0
1659.1978 1660.6911 2.028533e-14 3.063629e-15 2.072347e-01 0 0
1660.7401 1662.2348 2.175897e-14 3.132293e-15 2.274154e-01 0 0
1662.2824 1663.7785 1.541167e-14 2.738926e-15 1.646510e-01 0 0
1663.8247 1665.3222 1.978352e-14 2.948606e-15 2.159363e-01 0 0
1665.3670 1666.8659 1.636413e-14 2.701811e-15 1.823415e-01 0 0
1666.9094 1668.4096 2.108909e-14 2.905356e-15 2.397872e-01 0 0
1668.4517 1669.9533 1.337853e-14 2.473589e-15 1.551133e-01 0 0
1669.9940 1671.4970 1.426234e-14 2.489169e-15 1.685530e-01 0 0
1671.5364 1673.0407 9.826682e-15 2.189868e-15 1.183021e-01 0 0
1673.0787 1674.5845 1.867393e-14 2.712303e-15 2.289372e-01 0 0
1674.6211 1676.1282 1.334518e-14 2.361297e-15 1.665225e-01 0 0
1676.1635 1677.6720 1.567501e-14 2.449076e-15 1.990195e-01 0 0
1677.7058 1679.2158 1.920420e-14 2.602901e-15 2.479777e-01 0 0
1679.2482 1680.7596 1.474949e-14 2.368590e-15 1.936452e-01 0 0
1680.7906 1682.3033 1.863438e-14 2.516296e-15 2.486291e-01 0 0
1682.3330 1683.8471 1.573115e-14 2.331568e-15 2.132565e-01 0 0
1683.8755 1685.3909 1.800605e-14 2.432310e-15 2.478944e-01 0 0
1685.4179 1686.9348 1.319134e-14 2.180848e-15 1.843963e-01 0 0
1686.9603 1688.4786 1.498884e-14 2.230546e-15 2.126450e-01 0 0
1688.5028 1690.0224 1.933661e-14 2.436007e-15 2.783619e-01 0 0
1690.0452 1691.5662 1.680166e-14 2.314397e-15 2.453253e-01 0 0
1691.5877 1693.1101 1.729090e-14 2.268402e-15 2.560316e-01 0 0
1693.1301 1694.6539 1.914554e-14 2.369293e-15 2.873836e-01 0 0
1694.6726 1696.1978 1.800946e-14 2.261914e-15 2.739948e-01 0 0
1696.2151 1697.7417 1.686094e-14 2.225903e-15 2.599072e-01 0 0
1697.7576 1699.2856 1.675180e-14 2.182988e-15 2.615924e-01 0 0
1699.3001 1700.8295 2.028126e-14 2.352272e-15 3.207414e-01 0 0
1700.8426 1702.3734 1.523355e-14 2.057360e-15 2.439393e-01 0 0
1702.3851 1703.9173 1.431229e-14 2.061376e-15 2.320033e-01 0 0
1703.9276 1705.4612 1.849962e-14 2.199194e-15 3.035225e-01 0 0
1705.4702 1707.0051 1.350113e-14 1.937768e-15 2.241497e-01 0 0
1707.0127 1708.5490 2.131853e-14 2.303926e-15 3.581018e-01 0 0
1708.5553 1710.0930 1.401506e-14 1.970721e-15 2.381432e-01 0 0
1710.0978 1711.6369 1.258352e-14 1.852254e-15 2.162641e-01 0 0
1711.6404 1713.1809 1.618395e-14 2.013296e-15 2.812777e-01 0 0
1713.1830 1714.7249 1.203167e-14 1.804203e-15 2.114436e-01 0 0
1714.7256 1716.2688 1.429475e-14 1.903807e-15 2.539843e-01 0 0
1716.2682 1717.8128 1.555293e-14 1.953655e-15 2.793559e-01 0 0
1717.8108 1719.3568 1.808428e-14 2.058919e-15 3.283385e-01 0 0
1719.3534 1720.9008 1.490508e-14 1.910213e-15 2.735199e-01 0 0
1720.8960 1722.4448 1.443172e-14 1.850494e-15 2.676581e-01 0 0
1722.4387 1723.9889 1.633522e-14 1.951253e-15 3.061675e-01 0 0
1723.9813 1725.5329 1.583788e-14 1.899367e-15 2.999779e-01 0 0
1725.5239 1727.0769 1.575376e-14 1.862053e-15 3.015122e-01 0 0
1727.0666 1728.6210 1.571066e-14 1.872276e-15 3.038278e-01 0 0
1728.6093 1730.1650 1.507172e-14 1.854675e-15 2.944959e-01 0 0
1730.1519 1731.7091 1.457285e-14 1.797793e-15 2.876883e-01 0 0
1731.6946 1733.2532 1.635824e-14 1.860530e-15 3.262461e-01 0 0
1733.2373 1734.7972 1.501943e-14 1.812615e-15 3.025970e-01 0 0
1734.7800 1736.3413 1.956757e-14 1.950186e-15 3.982156e-01 0 0
1736.3227 1737.8854 1.973952e-14 1.981211e-15 4.057460e-01 0 0
1737.8655 1739.4295 1.829286e-14 1.882371e-15 3.797530e-01 0 0
1739.4082 1740.9736 1.631810e-14 1.823621e-15 3.420977e-01 0 0
1740.9509 1742.5178 1.825414e-14 1.882794e-15 3.864248e-01 0 0
1742.4937 1744.0619 1.490229e-14 1.715048e-15 3.185193e-01 0 0
1744.0364 1745.6060 1.512019e-14 1.705897e-15 3.262714e-01 0 0
1745.5792 1747.1502 1.589743e-14 1.772402e-15 3.462887e-01 0 0
1747.1219 1748.6944 1.344464e-14 1.626980e-15 2.956001e-01 0 0
1748.6647 1750.2385 1.469641e-14 1.671372e-15 3.261335e-01 0 0
1750.2075 1751.7827 1.213233e-14 1.568973e-15 2.718318e-01 0 0
1751.7503 1753.3269 1.616503e-14 1.704639e-15 3.656403e-01 0 0
1753.2931 1754.8711 1.551469e-14 1.676336e-15 3.542367e-01 0 0
1754.8359 1756.4153 1.592132e-14 1.710835e-15 3.669063e-01 0 0
1756.3788 1757.9595 1.704875e-14 1.724663e-15 3.965026e-01 0 0
1757.9216 1759.5037 1.661779e-14 1.715196e-15 3.899959e-01 0 0
1759.4644 1761.0479 1.834642e-14 1.778755e-15 4.344345e-01 0 0
1761.0073 1762.5922 1.961615e-14 1.789698e-15 4.686325e-01 0 0
1762.5501 1764.1364 1.700289e-14 1.701740e-15 4.097714e-01 0 0
1764.0930 1765.6807 1.519311e-14 1.616387e-15 3.693416e-01 0 0
1765.6359 1767.2249 1.604468e-14 1.619494e-15 3.933977e-01 0 0
1767.1787 1768.7692 1.438847e-14 1.564212e-15 3.557949e-01 0 0
1768.7216 1770.3135 1.696936e-14 1.658239e-15 4.231492e-01 0 0
1770.2645 1771.8578 1.664451e-14 1.606883e-15 4.185140e-01 0 0
1771.8074 1773.4021 1.839983e-14 1.715777e-15 4.664705e-01 0 0
1773.3504 1774.9464 1.602945e-14 1.595352e-15 4.097051e-01 0 0
1774.8933 1776.4907 1.508162e-14 1.536013e-15 3.886027e-01 0 0
1776.4362 1778.0350 1.728482e-14 1.628178e-15 4.489547e-01 0 0
1777.9792 1779.5794 1.677625e-14 1.597959e-15 4.392184e-01 0 0
1779.5221 1781.1237 1.301793e-14 1.440024e-15 3.435221e-01 0 0
1781.0651 1782.6680 1.653344e-14 1.577684e-15 4.397238e-01 0 0
1782.6081 1784.2124 1.617141e-14 1.540105e-15 4.334617e-01 0 0
1784.1510 1785.7568 1.498170e-14 1.518616e-15 4.047007e-01 0 0
1785.6940 1787.3011 1.653051e-14 1.537410e-15 4.500026e-01 0 0
1787.2370 1788.8455 1.757898e-14 1.581991e-15 4.822491e-01 0 0
1788.7800 1790.3899 1.611491e-14 1.551149e-15 4.454945e-01 0 0
1790.3230 1791.9343 1.524942e-14 1.456756e-15 4.248218e-01 0 0
1791.8661 1793.4787 1.733123e-14 1.570990e-15 4.865321e-01 0 0
