# LMC-SN1987A-STIS-2 odad02020 G230L MAMA z=0.0009 a2center=541.7 extrsize=11 exptime=2396.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1574.1980 1575.6147 0.000000e+00 0.000000e+00 -1.805251e-03 2564 0
1575.7403 1577.1585 0.000000e+00 0.000000e+00 -1.629188e-03 2564 0
1577.2827 1578.7023 0.000000e+00 0.000000e+00 -2.432212e-03 2564 0
1578.8251 1580.2460 3.353812e-14 8.305902e-14 1.110947e-03 2564 0
1580.3675 1581.7898 1.664980e-15 2.846344e-14 1.733764e-04 2048 0
1581.9099 1583.3336 1.947345e-16 1.466304e-14 3.414135e-05 0 0
1583.4523 1584.8774 -5.305985e-15 1.189115e-14 -1.308981e-03 0 0
1584.9947 1586.4212 2.467352e-14 9.185740e-15 7.852611e-03 0 0
1586.5371 1587.9650 8.753067e-16 7.117715e-15 3.413764e-04 0 0
1588.0796 1589.5088 5.671300e-15 6.478509e-15 2.619802e-03 0 0
1589.6220 1591.0527 -6.514461e-15 4.947834e-15 -3.479313e-03 0 0
1591.1645 1592.5965 -4.005259e-15 4.508625e-15 -2.429001e-03 0 0
1592.7069 1594.1404 -4.146258e-15 3.856148e-15 -2.861320e-03 0 0
1594.2494 1595.6842 2.119482e-15 3.838553e-15 1.652696e-03 0 0
1595.7919 1597.2281 -6.527868e-15 2.713370e-15 -5.748251e-03 0 0
1597.3344 1598.7720 2.897561e-15 3.095459e-15 2.862808e-03 0 0
1598.8769 1600.3159 -8.776005e-16 2.467350e-15 -9.700100e-04 0 0
1600.4194 1601.8598 -1.007112e-15 2.266054e-15 -1.237849e-03 0 0
1601.9619 1603.4037 -1.922273e-15 1.983973e-15 -2.617881e-03 0 0
1603.5044 1604.9476 -2.276646e-15 1.710959e-15 -3.417650e-03 0 0
1605.0470 1606.4915 -7.372338e-16 1.683812e-15 -1.215755e-03 0 0
1606.5895 1608.0354 1.244355e-15 1.677051e-15 2.244703e-03 0 0
1608.1321 1609.5794 -1.062301e-15 1.382394e-15 -2.089703e-03 0 0
1609.6746 1611.1233 4.778690e-16 1.342546e-15 1.021613e-03 0 0
1611.2172 1612.6673 5.853780e-16 1.282338e-15 1.355971e-03 0 0
1612.7598 1614.2113 -2.372084e-15 9.597198e-16 -5.936391e-03 0 0
1614.3024 1615.7552 1.390038e-15 1.167470e-15 3.746965e-03 0 0
1615.8450 1617.2992 -9.367279e-16 9.196482e-16 -2.712584e-03 0 0
1617.3876 1618.8432 1.227671e-15 1.008263e-15 3.807739e-03 0 0
1618.9302 1620.3872 -8.696592e-16 7.890770e-16 -2.881958e-03 0 0
1620.4728 1621.9312 -2.399571e-16 7.921393e-16 -8.471671e-04 0 0
1622.0155 1623.4753 1.086260e-16 7.655184e-16 4.076259e-04 0 0
1623.5581 1625.0193 -1.310457e-15 6.226726e-16 -5.212594e-03 0 0
1625.1008 1626.5633 -1.096535e-15 5.873557e-16 -4.613114e-03 0 0
1626.6434 1628.1074 5.396283e-16 6.978037e-16 2.395030e-03 0 0
