# LSQ15ABL lclb04010 G140L FUV z=0.087  cos default calcos x1dsum
# segment rest_wvl obs_wvl flux error gross dq mask
FUVA 946.4559 1028.7975 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 946.5294 1028.8775 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 946.6029 1028.9574 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 946.6765 1029.0373 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 946.7500 1029.1173 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 946.8236 1029.1972 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 946.8971 1029.2772 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 946.9707 1029.3571 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 947.0442 1029.4371 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 947.1178 1029.5170 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 947.1913 1029.5969 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 947.2648 1029.6769 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 947.3384 1029.7568 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 947.4119 1029.8368 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 947.4855 1029.9167 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 947.5590 1029.9967 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 947.6326 1030.0766 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 947.7061 1030.1565 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 947.7797 1030.2365 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 947.8532 1030.3164 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 947.9267 1030.3964 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 948.0003 1030.4763 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 948.0738 1030.5562 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 948.1474 1030.6362 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 948.2209 1030.7161 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 948.2945 1030.7961 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 948.3680 1030.8760 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 948.4415 1030.9560 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 948.5151 1031.0359 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 948.5886 1031.1158 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 948.6622 1031.1958 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 948.7357 1031.2757 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 948.8093 1031.3557 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 948.8828 1031.4356 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 948.9564 1031.5156 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 949.0299 1031.5955 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 949.1034 1031.6754 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 949.1770 1031.7554 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 949.2505 1031.8353 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 949.3241 1031.9153 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 949.3976 1031.9952 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 949.4712 1032.0752 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 949.5447 1032.1551 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 949.6182 1032.2350 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 949.6918 1032.3150 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 949.7653 1032.3949 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 949.8389 1032.4749 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 949.9124 1032.5548 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 949.9860 1032.6347 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 950.0595 1032.7147 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 950.1331 1032.7946 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 950.2066 1032.8746 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 950.2801 1032.9545 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 950.3537 1033.0345 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 950.4272 1033.1144 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 950.5008 1033.1943 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 950.5743 1033.2743 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 950.6479 1033.3542 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 950.7214 1033.4342 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 950.7950 1033.5141 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 950.8685 1033.5941 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 950.9420 1033.6740 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 951.0156 1033.7539 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 951.0891 1033.8339 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 951.1627 1033.9138 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 951.2362 1033.9938 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 951.3098 1034.0737 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 951.3833 1034.1537 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 951.4568 1034.2336 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 951.5304 1034.3135 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 951.6039 1034.3935 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 951.6775 1034.4734 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 951.7510 1034.5534 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 951.8246 1034.6333 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 951.8981 1034.7132 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 951.9717 1034.7932 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 952.0452 1034.8731 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 952.1187 1034.9531 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 952.1923 1035.0330 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 952.2658 1035.1130 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 952.3394 1035.1929 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 952.4129 1035.2728 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 952.4865 1035.3528 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 952.5600 1035.4327 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 952.6335 1035.5127 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 952.7071 1035.5926 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 952.7806 1035.6726 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 952.8542 1035.7525 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 952.9277 1035.8324 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 953.0013 1035.9124 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 953.0748 1035.9923 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 953.1484 1036.0723 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 953.2219 1036.1522 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 953.2954 1036.2321 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 953.3690 1036.3121 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 953.4425 1036.3920 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 953.5161 1036.4720 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 953.5896 1036.5519 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 953.6632 1036.6319 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 953.7367 1036.7118 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 953.8103 1036.7917 0.000000e+00 0.000000e+00 0.0000e+00 128 4
FUVA 953.8838 1036.8717 0.000000e+00 0.000000e+00 0.0000e+00 128 4
