# obs_wvl flux error
1.130000000000000000e+03 7.124499469078734906e-16 1.624005470100592351e-15
1.130079942249424676e+03 6.026566233473404774e-16 1.491748277013679032e-15
1.130159884498849351e+03 3.617696615474904632e-16 1.373144577328685866e-15
1.130239826748274027e+03 2.793478576174748828e-16 1.344667019949649533e-15
1.130319768997698702e+03 -1.150248274185799306e-17 1.340268836720456919e-15
1.130399711247123378e+03 3.360734072282801980e-16 1.369716996200838038e-15
1.130479653496548053e+03 6.356810739126014999e-16 3.120729904830905442e-15
1.130559595745972729e+03 6.519222430465020698e-16 3.301738028287288158e-15
1.130639537995397404e+03 4.940306293746709938e-16 5.792049670552892469e-16
1.130719480244822080e+03 4.848179950253975971e-16 5.819412809168582335e-16
1.130799422494246755e+03 4.149887805638342273e-16 3.600232472907884059e-16
1.130879364743671431e+03 2.232312711285076784e-16 3.019234892452570292e-16
1.130959306993096106e+03 4.005821512198349454e-16 3.584499901022986328e-16
1.131039249242520782e+03 4.506237315691150743e-16 3.685548628697553326e-16
1.131119191491945458e+03 4.341229682750459293e-16 3.631592222590945609e-16
1.131199133741370133e+03 4.041243968275214643e-16 3.549238036574158449e-16
1.131279075990794809e+03 2.856481011087256752e-16 3.201887408306456963e-16
1.131359018240219484e+03 3.249181360444570182e-16 2.370344802875375911e-16
1.131438960489644160e+03 2.986306571187122787e-16 1.921999045979233302e-16
1.131518902739068835e+03 2.684765529095725447e-16 1.813634970552746002e-16
1.131598844988493511e+03 4.036966163021158495e-16 2.106233239063415344e-16
1.131678787237918186e+03 5.871026705076555866e-16 2.409293744226717682e-16
1.131758729487342862e+03 4.767234058190576744e-16 2.200953286392416559e-16
1.131838671736767537e+03 4.150765629318472195e-16 2.093856812117133262e-16
1.131918613986192213e+03 3.234190613661546495e-16 1.914917966914476261e-16
1.131998556235616888e+03 4.434829954965614767e-16 2.167099266817206606e-16
1.132078498485041564e+03 4.978503696249247688e-16 2.244107892363889919e-16
1.132158440734466240e+03 4.571541196188185561e-16 2.086831140435305845e-16
1.132238382983890915e+03 3.762600783867983418e-16 1.907917725914110238e-16
1.132318325233315591e+03 3.750299327910652335e-16 1.905084473046317651e-16
1.132398267482740266e+03 4.904447991248278130e-16 2.109163878551697509e-16
1.132478209732164942e+03 5.041576064178892522e-16 2.118258717862837524e-16
1.132558151981589617e+03 7.958791377214773185e-16 2.554138842512507820e-16
1.132638094231014293e+03 6.926179055579178166e-16 2.396017164010179293e-16
1.132718036480438968e+03 4.890764267076619968e-16 2.084339804731886145e-16
1.132797978729863644e+03 3.001553586483211321e-16 1.740099527558088070e-16
1.132877920979288319e+03 2.040696742589853725e-16 1.534549543565624265e-16
1.132957863228712995e+03 3.610793965863780331e-16 1.885225206018803795e-16
1.133037805478137670e+03 5.002044425204863347e-16 2.116027918571157020e-16
1.133117747727562346e+03 6.025889263956941211e-16 2.261688286548907866e-16
1.133197689976987022e+03 6.296580932825701421e-16 2.292553307497615120e-16
1.133277632226411697e+03 3.436454764823390598e-16 1.804930120257140949e-16
1.133357574475836373e+03 4.905235579798334036e-16 2.092835507831200661e-16
1.133437516725261048e+03 4.659941569200277328e-16 2.038162652405208636e-16
1.133517458974685724e+03 5.768518650049017404e-16 2.215424020102354438e-16
1.133597401224110399e+03 5.869228481526340536e-16 2.217647029769876501e-16
1.133677343473535075e+03 3.558618252624875941e-16 1.817153867354067387e-16
1.133757285722959750e+03 3.581588308809678112e-16 1.848622110524112298e-16
