# LSQ15ABL oclb06010 G230L MAMA z=0.087 a2center=524.4 extrsize=11 exptime=2300.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1441.9681 1567.4193 0.000000e+00 0.000000e+00 2.053356e-03 2564 0
1443.3880 1568.9628 0.000000e+00 0.000000e+00 -4.974620e-03 2564 0
1444.8079 1570.5062 0.000000e+00 0.000000e+00 1.249209e-04 2564 0
1446.2279 1572.0497 0.000000e+00 0.000000e+00 -2.782622e-03 2564 0
1447.6478 1573.5932 0.000000e+00 0.000000e+00 -3.749985e-03 2560 0
1449.0678 1575.1367 0.000000e+00 0.000000e+00 -5.277208e-03 512 0
1450.4877 1576.6802 0.000000e+00 0.000000e+00 -7.232840e-04 512 0
1451.9077 1578.2237 0.000000e+00 0.000000e+00 -3.278025e-03 512 0
1453.3277 1579.7672 -2.659708e-13 1.484932e-13 -4.686528e-03 0 0
1454.7477 1581.3107 -1.247843e-14 2.955912e-14 -1.110080e-03 0 0
1456.1677 1582.8542 -1.297188e-14 1.669592e-14 -2.081795e-03 0 0
1457.5877 1584.3978 -2.837118e-16 1.203386e-14 -6.587688e-05 0 0
1459.0077 1585.9413 -6.552977e-15 8.630288e-15 -1.992721e-03 0 0
1460.4277 1587.4849 -8.198905e-15 6.878155e-15 -3.084246e-03 0 0
1461.8477 1589.0285 -4.326442e-15 5.855637e-15 -1.940185e-03 0 0
1463.2678 1590.5721 -5.385281e-15 4.891656e-15 -2.805334e-03 0 0
1464.6878 1592.1156 -4.163857e-15 4.290339e-15 -2.471771e-03 0 0
1466.1079 1593.6592 -7.540774e-16 4.046430e-15 -5.081892e-04 0 0
1467.5279 1595.2029 -6.514211e-16 3.640468e-15 -4.976898e-04 0 0
1468.9480 1596.7465 -1.252579e-15 3.131453e-15 -1.079048e-03 0 0
1470.3681 1598.2901 1.442528e-15 3.025444e-15 1.398382e-03 0 0
1471.7882 1599.8337 2.526743e-16 2.656688e-15 2.738333e-04 0 0
1473.2083 1601.3774 -1.387116e-15 2.211899e-15 -1.675812e-03 0 0
1474.6284 1602.9210 3.530824e-15 2.363631e-15 4.725022e-03 0 0
1476.0485 1604.4647 -2.698036e-15 1.659872e-15 -3.988182e-03 0 0
1477.4686 1606.0084 2.984833e-15 1.887702e-15 4.845863e-03 0 0
1478.8887 1607.5520 1.102543e-15 1.680751e-15 1.961479e-03 0 0
1480.3089 1609.0957 4.521056e-16 1.478267e-15 8.769554e-04 0 0
1481.7290 1610.6394 -1.058912e-15 1.262122e-15 -2.235589e-03 0 0
1483.1492 1612.1831 1.443844e-15 1.315103e-15 3.302592e-03 0 0
1484.5693 1613.7269 -3.089340e-16 1.107680e-15 -7.644360e-04 0 0
1485.9895 1615.2706 -8.525606e-17 1.065125e-15 -2.272430e-04 0 0
1487.4097 1616.8143 -2.110945e-16 9.674267e-16 -6.051183e-04 0 0
1488.8299 1618.3581 3.395453e-16 9.149505e-16 1.042703e-03 0 0
