# M82-SN ocb152040 G750L CCD z=0.00068 a2center=904.4 extrsize=25 exptime=100.0 mode=adaptive_clamphi flags=no_defringe(no_flat)
# rest_wvl obs_wvl flux error net dq mask
5237.2152 5240.7765 2.011351e-13 9.724082e-15 4.137658e+01 528 0
5242.0882 5245.6528 1.067151e-13 1.988021e-15 4.089103e+01 512 0
5246.9612 5250.5291 1.009587e-13 1.531440e-15 5.681935e+01 512 0
5251.8343 5255.4055 9.720509e-14 1.273315e-15 7.222754e+01 512 0
5256.7073 5260.2819 9.755334e-14 1.121762e-15 9.014627e+01 512 0
5261.5805 5265.1583 1.038306e-13 1.049839e-15 1.148375e+02 528 0
5266.4536 5270.0348 1.166262e-13 1.005972e-15 1.503108e+02 528 0
5271.3268 5274.9113 1.220917e-13 9.556647e-16 1.796520e+02 528 0
5276.2000 5279.7879 1.284260e-13 9.257153e-16 2.124971e+02 528 0
5281.0733 5284.6645 1.391903e-13 9.045992e-16 2.558809e+02 512 0
5285.9466 5289.5411 1.443835e-13 8.906234e-16 2.920906e+02 16 0
5290.8200 5294.4177 1.459330e-13 8.592440e-16 3.220454e+02 16 0
5295.6934 5299.2944 1.476471e-13 8.120975e-16 3.530114e+02 16 0
5300.5668 5304.1712 1.531998e-13 8.043749e-16 3.842081e+02 0 0
5305.4402 5309.0479 1.540879e-13 7.899127e-16 4.027632e+02 16 0
5310.3137 5313.9248 1.587339e-13 8.006461e-16 4.214846e+02 16 0
5315.1873 5318.8016 1.616866e-13 8.016579e-16 4.324458e+02 16 0
5320.0608 5323.6785 1.696715e-13 8.469723e-16 4.495939e+02 16 0
5324.9345 5328.5554 1.670969e-13 8.253730e-16 4.362459e+02 16 0
5329.8081 5333.4324 1.682576e-13 8.879190e-16 4.296926e+02 16 0
5334.6818 5338.3094 1.674502e-13 8.893720e-16 4.177712e+02 16 0
5339.5555 5343.1864 1.691649e-13 9.069625e-16 4.125378e+02 16 0
5344.4292 5348.0635 1.719883e-13 8.755655e-16 4.099882e+02 16 0
5349.3030 5352.9406 1.705279e-13 8.793843e-16 3.987633e+02 16 0
5354.1769 5357.8177 1.680991e-13 1.037399e-15 3.865005e+02 16 0
5359.0507 5362.6949 1.711083e-13 9.104989e-16 3.883474e+02 16 0
5363.9246 5367.5721 1.671763e-13 8.901213e-16 3.758530e+02 16 0
5368.7985 5372.4493 1.673216e-13 8.939128e-16 3.740070e+02 0 0
5373.6725 5377.3266 1.647489e-13 8.978353e-16 3.678657e+02 16 0
5378.5465 5382.2039 1.641505e-13 8.863300e-16 3.672547e+02 0 0
5383.4206 5387.0813 1.604656e-13 8.728626e-16 3.614262e+02 0 0
5388.2946 5391.9587 1.582291e-13 8.637173e-16 3.595996e+02 0 0
5393.1687 5396.8361 1.558331e-13 8.471106e-16 3.587999e+02 0 0
5398.0429 5401.7135 1.540217e-13 8.406519e-16 3.597475e+02 16 0
5402.9171 5406.5910 1.516583e-13 8.260008e-16 3.605764e+02 16 0
5407.7913 5411.4686 1.488471e-13 9.170393e-16 3.603988e+02 16 0
5412.6655 5416.3461 1.481592e-13 8.024264e-16 3.664565e+02 16 0
5417.5398 5421.2237 1.454463e-13 7.838758e-16 3.673945e+02 16 0
5422.4141 5426.1014 1.448130e-13 7.707756e-16 3.738518e+02 16 0
5427.2885 5430.9790 1.480519e-13 7.718949e-16 3.901818e+02 16 0
5432.1629 5435.8567 1.509043e-13 7.726844e-16 4.061570e+02 16 0
5437.0373 5440.7345 1.478214e-13 7.589295e-16 4.061326e+02 0 0
5441.9117 5445.6122 1.522655e-13 7.616893e-16 4.270872e+02 16 0
5446.7862 5450.4900 1.550899e-13 7.684800e-16 4.440784e+02 16 0
5451.6607 5455.3679 1.598103e-13 7.619944e-16 4.667639e+02 0 0
5456.5353 5460.2457 1.660498e-13 7.736504e-16 4.947088e+02 0 0
5461.4099 5465.1236 1.725820e-13 7.808354e-16 5.229584e+02 16 0
5466.2845 5470.0016 1.798060e-13 7.925528e-16 5.536530e+02 16 0
5471.1592 5474.8795 1.851471e-13 7.911281e-16 5.774230e+02 16 0
5476.0338 5479.7575 1.901829e-13 7.944392e-16 6.002103e+02 16 0
5480.9086 5484.6356 1.970667e-13 8.010702e-16 6.279464e+02 16 0
5485.7833 5489.5136 1.999818e-13 8.059865e-16 6.432203e+02 16 0
5490.6581 5494.3917 2.035809e-13 8.121375e-16 6.593987e+02 16 0
5495.5329 5499.2699 2.098932e-13 8.209835e-16 6.842263e+02 16 0
5500.4078 5504.1480 2.170344e-13 8.300685e-16 7.109750e+02 16 0
5505.2827 5509.0262 2.199759e-13 8.455054e-16 7.236248e+02 16 0
5510.1576 5513.9045 2.243160e-13 8.425718e-16 7.403974e+02 16 0
5515.0325 5518.7827 2.290008e-13 8.512686e-16 7.580427e+02 16 0
5519.9075 5523.6610 2.309904e-13 8.567900e-16 7.667367e+02 16 0
5524.7825 5528.5394 2.314326e-13 8.536011e-16 7.702277e+02 16 0
5529.6576 5533.4177 2.291247e-13 9.633325e-16 7.639137e+02 16 0
5534.5326 5538.2961 2.307493e-13 8.549791e-16 7.702189e+02 0 0
5539.4077 5543.1745 2.297285e-13 8.479994e-16 7.681908e+02 16 0
5544.2829 5548.0530 2.295405e-13 8.454878e-16 7.692869e+02 0 0
5549.1581 5552.9315 2.308357e-13 8.479550e-16 7.750042e+02 16 0
5554.0333 5557.8100 2.320202e-13 8.507635e-16 7.803517e+02 16 0
5558.9085 5562.6885 2.350458e-13 8.566588e-16 7.926243e+02 0 0
5563.7838 5567.5671 2.369097e-13 8.578808e-16 8.017243e+02 16 0
5568.6591 5572.4457 2.404084e-13 8.656000e-16 8.159755e+02 16 0
5573.5344 5577.3244 2.403936e-13 8.580074e-16 8.182316e+02 16 0
5578.4097 5582.2031 2.425356e-13 8.635340e-16 8.285487e+02 16 0
5583.2851 5587.0818 2.457623e-13 8.678935e-16 8.433743e+02 16 0
5588.1605 5591.9605 2.479097e-13 8.797800e-16 8.547828e+02 16 0
5593.0360 5596.8393 2.505956e-13 8.719598e-16 8.686407e+02 16 0
5597.9115 5601.7181 2.493656e-13 8.667062e-16 8.691324e+02 16 0
5602.7870 5606.5969 2.485881e-13 8.588706e-16 8.717263e+02 16 0
5607.6625 5611.4757 2.502514e-13 8.616411e-16 8.820361e+02 16 0
5612.5381 5616.3546 2.507611e-13 8.624317e-16 8.880631e+02 16 0
5617.4137 5621.2335 2.520468e-13 8.608222e-16 8.974429e+02 16 0
5622.2893 5626.1125 2.544470e-13 8.604757e-16 9.113903e+02 16 0
5627.1650 5630.9915 2.553136e-13 8.576614e-16 9.195287e+02 16 0
5632.0407 5635.8705 2.509501e-13 9.774094e-16 9.084219e+02 0 0
5636.9164 5640.7495 2.522826e-13 8.503738e-16 9.177661e+02 0 0
5641.7921 5645.6286 2.548848e-13 8.574544e-16 9.314453e+02 16 0
5646.6679 5650.5076 2.533560e-13 8.489366e-16 9.295948e+02 16 0
5651.5437 5655.3868 2.537902e-13 8.942854e-16 9.342921e+02 16 0
5656.4196 5660.2659 2.510264e-13 8.420488e-16 9.277037e+02 0 0
5661.2954 5665.1451 2.540668e-13 8.448470e-16 9.426589e+02 16 0
