# obs_wvl flux error
2.967000000000000000e+03 3.018741634573842669e-15 1.050612184094636692e-15
2.972493586534794304e+03 2.840815993505716612e-15 7.006171445050633971e-16
2.977987173069588607e+03 3.887598509139645987e-15 7.045209623016035353e-16
2.983480759604382911e+03 3.713673893878685049e-15 7.944512535878164029e-16
2.988974346139177214e+03 2.239256260365519398e-15 6.144298854590115644e-16
2.994467932673971518e+03 3.022327818311287772e-15 6.062248785627420985e-16
2.999961519208765822e+03 2.957964728496047318e-15 6.163048357694433831e-16
3.005455105743560125e+03 3.462765855259736414e-15 7.535554659494510846e-16
3.010948692278354429e+03 1.974596391930643229e-15 5.523642382500108788e-16
3.016442278813148732e+03 2.088517978487909280e-15 6.105186411580431319e-16
3.021935865347943036e+03 2.697172185456642790e-15 5.273823927122701099e-16
3.027429451882737339e+03 2.352452406925191922e-15 5.172054457841813909e-16
3.032923038417531643e+03 2.902578867745152065e-15 4.999003670825260631e-16
3.038416624952325947e+03 2.768819778180637408e-15 4.792865739642197835e-16
3.043910211487120250e+03 3.255102716528436034e-15 4.526019852621882124e-16
3.049403798021914554e+03 2.999588395595304207e-15 4.399774349634692031e-16
3.054897384556708857e+03 3.004609795387584485e-15 4.412738799404394350e-16
3.060390971091503161e+03 3.033362581559071540e-15 4.204744650873080599e-16
3.065884557626297465e+03 3.090445705722582332e-15 4.178460429936228565e-16
3.071378144161091768e+03 3.383524392679978421e-15 4.034093595523576239e-16
3.076871730695886072e+03 2.400224727176677980e-15 4.005570367896996674e-16
3.082365317230680375e+03 4.229277670783133372e-15 4.692361081677656476e-16
3.087858903765474679e+03 4.101057998568652109e-15 4.000583546800562956e-16
3.093352490300268983e+03 4.037553949033706511e-15 3.853961280771436229e-16
3.098846076835063286e+03 4.312292150520780050e-15 3.823175197065165976e-16
3.104339663369857590e+03 3.623566777886985990e-15 3.861277937172344432e-16
3.109833249904651893e+03 4.641637424769852883e-15 3.816229367876332016e-16
3.115326836439446197e+03 5.625873084217860468e-15 4.352442904552105238e-16
3.120820422974240500e+03 5.362294598473832390e-15 3.764597363014970921e-16
3.126314009509034804e+03 6.047960108672277427e-15 3.836110689891303549e-16
3.131807596043829108e+03 5.570337723564015317e-15 3.927952891085868841e-16
3.137301182578623411e+03 4.849070878261500808e-15 4.350287922667274319e-16
3.142794769113417715e+03 5.632253152084815985e-15 3.657774362823181696e-16
3.148288355648212018e+03 6.601789561578958366e-15 3.778120253242264667e-16
3.153781942183006322e+03 6.275609636479370868e-15 3.656648048029977980e-16
3.159275528717800626e+03 7.139483212893840006e-15 4.274983385668332998e-16
3.164769115252594929e+03 6.207839597270186662e-15 3.525103153589341528e-16
3.170262701787389233e+03 6.815909149291191227e-15 3.570892738028090440e-16
3.175756288322183536e+03 6.859169113485518753e-15 3.549300986500476381e-16
3.181249874856977840e+03 6.707235095611323616e-15 3.546221763046636573e-16
3.186743461391772144e+03 6.374571330160737036e-15 3.456879309477162224e-16
3.192237047926566447e+03 6.751803895113812779e-15 3.521523741056022550e-16
3.197730634461360751e+03 6.223665619770275437e-15 3.404983062367946364e-16
3.203224220996155054e+03 7.890417019658281900e-15 4.451280137439520597e-16
3.208717807530949358e+03 5.771627648838506349e-15 3.687671210405364760e-16
3.214211394065743661e+03 6.343902874485079598e-15 3.283730928840454779e-16
3.219704980600537965e+03 5.389163902241472018e-15 3.067922429618886525e-16
3.225198567135332269e+03 5.806768622378408272e-15 3.193146194267356305e-16
3.230692153670126572e+03 4.868365417721067520e-15 3.169109228074222875e-16
3.236185740204920876e+03 5.339093793109740033e-15 3.124259348120813739e-16
3.241679326739715179e+03 5.288963145308109432e-15 2.939947012637048433e-16
3.247172913274509483e+03 5.291326199310813081e-15 2.953056774828968049e-16
3.252666499809303787e+03 5.572546827750102412e-15 3.021002182449445044e-16
3.258160086344098090e+03 5.245412757365713065e-15 2.885128515287097423e-16
3.263653672878892394e+03 4.792366082025369733e-15 2.971337923310472597e-16
3.269147259413686697e+03 5.636802020822580803e-15 3.013955015083766951e-16
3.274640845948481001e+03 5.703670144574805373e-15 2.868619286185102868e-16
3.280134432483275305e+03 5.697322843992500313e-15 2.849327669325197161e-16
3.285628019018069608e+03 6.216772706426046488e-15 2.880686206744952206e-16
3.291121605552863912e+03 5.611062920214987054e-15 2.821787300509209851e-16
3.296615192087658215e+03 6.009878479091969058e-15 2.811710829762615026e-16
3.302108778622452519e+03 6.018723042856914549e-15 2.794445947363175447e-16
3.307602365157246822e+03 6.362110655042464614e-15 2.864830771721104686e-16
3.313095951692041126e+03 6.451872997131074515e-15 2.884589565682118440e-16
3.318589538226835430e+03 6.797861754980538865e-15 3.200580324708503347e-16
3.324083124761629733e+03 7.189469827032951828e-15 3.340815531493891275e-16
3.329576711296424037e+03 8.371424220511125747e-15 2.891276878578557044e-16
3.335070297831218340e+03 8.105884626228035393e-15 2.849553351492262059e-16
3.340563884366012644e+03 8.667350614269403380e-15 2.853583867763119338e-16
3.346057470900806948e+03 1.007833032492146551e-14 4.164789661796824218e-16
3.351551057435601251e+03 9.074045122599550785e-15 2.846172796181506214e-16
3.357044643970395555e+03 9.112741404656980783e-15 2.864159760429403443e-16
3.362538230505189858e+03 9.618862422125059371e-15 2.885485703279335568e-16
3.368031817039984162e+03 1.054236437009063104e-14 2.891507642250079451e-16
3.373525403574778466e+03 9.862953698321002633e-15 2.817853336732489532e-16
3.379018990109572769e+03 1.095037988435367549e-14 2.887193054710448827e-16
3.384512576644367073e+03 1.070656165473794738e-14 2.865136844137764308e-16
3.390006163179161376e+03 1.105218002023854331e-14 3.247185727233224691e-16
3.395499749713955680e+03 1.251811370483439711e-14 3.131993985256730551e-16
3.400993336248749983e+03 1.164811952437078691e-14 3.043921644448884977e-16
3.406486922783544287e+03 1.215820935662730184e-14 2.953233831865796328e-16
3.411980509318338591e+03 1.222587674385861488e-14 3.088920655093383964e-16
3.417474095853132894e+03 1.259618242503596245e-14 3.266937998982162313e-16
3.422967682387927198e+03 1.374973559241560417e-14 3.175710438411338075e-16
3.428461268922721501e+03 1.295003250349432393e-14 2.940429432363020161e-16
3.433954855457515805e+03 1.387833273331850151e-14 3.239528979949409849e-16
3.439448441992310109e+03 1.389208792886779455e-14 2.994454881500150144e-16
3.444942028527104412e+03 1.432430930958187332e-14 3.025447672530869913e-16
3.450435615061898716e+03 1.504028539273015819e-14 2.965404133831606548e-16
3.455929201596693019e+03 1.489881902115711337e-14 3.002272545955839988e-16
3.461422788131487323e+03 1.576166793947216998e-14 3.035193062245249463e-16
3.466916374666281627e+03 1.660993954428206908e-14 2.986621932958546554e-16
