# M82-SN ocb157030 G430L CCD z=0.00068 a2center=894.0 extrsize=17 exptime=160.0 mode=adaptive_es17@0.98 flags=none
# rest_wvl obs_wvl flux error net dq mask
2883.4798 2885.4406 -2.390438e-14 4.382931e-14 -1.369993e-01 528 0
2886.2227 2888.1853 1.552517e-14 3.278145e-14 5.790967e-02 528 0
2888.9655 2890.9300 -3.675210e-14 2.546197e-14 -3.167866e-01 16896 0
2891.7084 2893.6748 -3.426463e-14 2.082249e-14 -3.556992e-01 16896 0
2894.4513 2896.4195 -8.329836e-15 1.803687e-14 -1.152092e-01 512 0
2897.1942 2899.1643 -9.957550e-17 1.598860e-14 -3.044720e-02 528 0
2899.9372 2901.9092 -9.142065e-15 1.396385e-14 -1.434167e-01 16896 0
2902.6802 2904.6540 -1.454522e-14 1.282105e-14 -2.540131e-01 16896 0
2905.4232 2907.3989 2.710561e-15 1.290794e-14 3.564333e-02 528 0
2908.1662 2910.1438 -7.632891e-15 9.989392e-15 -1.655433e-01 16896 0
2910.9092 2912.8887 -8.866472e-15 9.076486e-15 -2.146016e-01 16896 0
2913.6523 2915.6336 -2.487463e-14 8.295321e-15 -6.702723e-01 16912 0
2916.3954 2918.3785 -8.307155e-15 7.330162e-15 -2.501866e-01 16912 0
2919.1385 2921.1235 -2.848093e-15 6.514459e-15 -9.587184e-02 16896 0
2921.8816 2923.8685 -5.109412e-15 5.870123e-15 -1.930806e-01 16912 0
2924.6248 2926.6135 4.655805e-15 5.774466e-15 1.564621e-01 528 0
2927.3680 2929.3586 8.557431e-15 5.176119e-15 3.457466e-01 528 0
2930.1112 2932.1036 1.483245e-13 1.051701e-14 7.793517e+00 528 0
2932.8544 2934.8487 -3.367624e-15 5.808245e-15 -2.098666e-01 16912 0
2935.5976 2937.5938 9.450785e-16 3.098156e-15 4.331274e-02 512 0
2938.3409 2940.3390 4.814155e-16 2.724738e-15 1.898536e-02 512 0
2941.0842 2943.0841 -1.855093e-15 2.526619e-15 -1.679341e-01 16912 0
2943.8275 2945.8293 -4.781939e-15 2.300273e-15 -4.827824e-01 16912 0
2946.5708 2948.5745 -1.906018e-15 2.019372e-15 -2.140326e-01 16912 0
2949.3141 2951.3197 4.170512e-16 1.779776e-15 3.020801e-02 512 0
2952.0575 2954.0649 2.807380e-15 1.675672e-15 3.198812e-01 528 0
2954.8009 2956.8102 -2.822045e-15 1.582075e-15 -4.201097e-01 16912 0
2957.5443 2959.5554 -8.331577e-16 1.347926e-15 -1.343069e-01 16912 0
2960.2878 2962.3007 7.004140e-16 1.300311e-15 9.034090e-02 512 0
2963.0312 2965.0461 -1.549021e-15 1.226456e-15 -2.853447e-01 16912 0
2965.7747 2967.7914 -2.142628e-18 1.127060e-15 -1.371343e-02 0 0
2968.5182 2970.5368 8.276609e-16 1.082290e-15 1.312349e-01 0 0
2971.2617 2973.2821 2.327553e-16 1.020106e-15 2.865844e-02 0 0
2974.0052 2976.0275 -2.831340e-16 1.124692e-15 -6.528693e-02 16 0
2976.7488 2978.7730 2.733061e-15 1.015755e-15 5.320791e-01 16 0
2979.4924 2981.5184 -2.914702e-15 1.439428e-15 -6.744342e-01 16400 0
2982.2360 2984.2639 -9.747356e-17 1.005488e-15 -3.250804e-02 16 0
2984.9796 2987.0094 -1.780116e-16 9.484982e-16 -4.900918e-02 0 0
2987.7232 2989.7549 1.250104e-15 9.250907e-16 2.512388e-01 16 0
2990.4669 2992.5004 -9.423929e-16 8.962182e-16 -2.330556e-01 16400 0
2993.2106 2995.2459 1.175942e-15 8.881272e-16 2.416074e-01 0 0
2995.9543 2997.9915 1.993983e-16 8.670544e-16 2.982599e-02 0 0
2998.6980 3000.7371 9.392224e-16 9.479729e-16 1.941385e-01 16 0
3001.4417 3003.4827 1.477672e-15 1.525218e-15 3.199472e-01 16 0
3004.1855 3006.2283 1.321030e-16 8.452283e-16 1.643868e-02 16 0
3006.9293 3008.9740 4.430130e-16 8.363876e-16 8.747490e-02 0 0
3009.6731 3011.7196 6.774839e-16 8.253412e-16 1.436022e-01 0 0
3012.4169 3014.4653 8.878879e-16 1.113447e-15 1.962856e-01 16 0
3015.1607 3017.2110 4.258751e-16 7.946230e-16 8.809880e-02 0 0
3017.9046 3019.9567 1.131244e-15 7.954132e-16 2.640487e-01 16 0
3020.6484 3022.7025 4.743540e-16 7.708890e-16 1.037696e-01 0 0
3023.3923 3025.4483 -2.656317e-16 8.170274e-16 -7.777687e-02 16400 0
3026.1363 3028.1940 9.836382e-16 7.640661e-16 2.411725e-01 0 0
3028.8802 3030.9398 2.190531e-15 8.090945e-16 5.761303e-01 0 0
3031.6242 3033.6857 3.495555e-16 8.045271e-16 7.974827e-02 16 0
3034.3681 3036.4315 -1.524988e-16 7.366648e-16 -5.293794e-02 16 0
3037.1121 3039.1774 1.989212e-16 6.929652e-16 4.178968e-02 16 0
3039.8561 3041.9232 1.677610e-15 6.897553e-16 4.705719e-01 0 0
3042.6002 3044.6691 -1.624909e-16 6.530984e-16 -5.788519e-02 0 0
3045.3442 3047.4151 9.584196e-16 6.578876e-16 2.692730e-01 0 0
3048.0883 3050.1610 9.091757e-16 6.523102e-16 2.589583e-01 16 0
3050.8324 3052.9070 4.870285e-16 6.343179e-16 1.336193e-01 0 0
3053.5765 3055.6529 7.602535e-16 6.642041e-16 2.208326e-01 16 0
3056.3206 3058.3989 9.059289e-16 6.161013e-16 2.708027e-01 0 0
3059.0648 3061.1449 1.879675e-15 6.363410e-16 5.958041e-01 16 0
3061.8089 3063.8910 9.713619e-16 6.112171e-16 3.006234e-01 16 0
3064.5531 3066.6370 3.991515e-16 5.922963e-16 1.158939e-01 16 0
3067.2973 3069.3831 1.818798e-15 5.955537e-16 6.006860e-01 0 0
3070.0415 3072.1292 8.893236e-16 5.835122e-16 2.851986e-01 0 0
3072.7858 3074.8753 1.945475e-15 5.891693e-16 6.616392e-01 0 0
3075.5300 3077.6214 -1.831952e-16 5.997075e-16 -7.271639e-02 16 0
3078.2743 3080.3675 1.493877e-15 5.892539e-16 5.123262e-01 16 0
3081.0186 3083.1137 2.380345e-15 7.614289e-16 8.447917e-01 16 0
3083.7629 3085.8599 1.317729e-15 6.052310e-16 4.573605e-01 16 0
3086.5073 3088.6061 1.278790e-15 5.504361e-16 4.466787e-01 0 0
3089.2516 3091.3523 7.998341e-16 5.640152e-16 2.733210e-01 16 0
3091.9960 3094.0985 1.159024e-15 5.516645e-16 4.080877e-01 16 0
3094.7404 3096.8448 -2.213391e-16 5.402088e-16 -9.228183e-02 16400 0
3097.4848 3099.5910 1.557447e-15 5.436721e-16 5.635728e-01 0 0
3100.2292 3102.3373 1.280803e-15 5.450555e-16 4.605955e-01 16 0
3102.9736 3105.0836 6.660570e-16 5.403212e-16 2.306800e-01 16 0
3105.7181 3107.8300 1.706656e-15 5.760648e-16 6.287907e-01 0 0
3108.4625 3110.5763 8.714973e-16 5.601279e-16 3.101300e-01 0 0
3111.2070 3113.3226 5.665439e-16 7.502064e-16 1.962316e-01 16 0
3113.9515 3116.0690 1.978276e-15 5.379247e-16 7.438515e-01 0 0
3116.6961 3118.8154 1.276748e-15 5.223455e-16 4.710804e-01 0 0
3119.4406 3121.5618 1.095130e-15 5.256661e-16 4.024244e-01 16 0
3122.1852 3124.3082 9.644507e-16 5.198505e-16 3.534977e-01 16 0
3124.9297 3127.0547 1.126772e-15 5.335616e-16 4.190530e-01 16 0
3127.6743 3129.8012 1.262567e-15 5.165126e-16 4.752617e-01 0 0
3130.4189 3132.5476 1.381091e-15 5.448278e-16 5.254202e-01 16 0
