# obs_wvl flux error
5.289000000000000000e+03 1.673350179124191706e-13 9.447714437632636145e-16
5.293879123066973079e+03 1.710416311271317750e-13 8.432304826677407297e-16
5.298758246133946159e+03 1.733933875214601902e-13 8.123006933521017928e-16
5.303637369200919238e+03 1.756207225425215778e-13 7.967068565012753285e-16
5.308516492267892318e+03 1.757791919896775627e-13 7.820109352942481645e-16
5.313395615334865397e+03 1.809763683550169927e-13 7.914452036148352392e-16
5.318274738401838476e+03 1.798043968967093915e-13 7.821320201136927850e-16
5.323153861468811556e+03 1.836470140915537577e-13 8.191959694754453784e-16
5.328032984535784635e+03 1.789025783899167323e-13 8.228010757990629302e-16
5.332912107602757715e+03 1.791942991065678448e-13 8.041618804184530346e-16
5.337791230669730794e+03 1.795038366642665817e-13 8.125014497632566540e-16
5.342670353736703873e+03 1.787089409622013553e-13 8.211082918705502888e-16
5.347549476803676953e+03 1.768897146902885624e-13 8.255108727873090760e-16
5.352428599870650032e+03 1.758033496622136815e-13 8.314014377646285163e-16
5.357307722937623112e+03 1.735615203801855922e-13 8.360270736819238017e-16
5.362186846004596191e+03 1.720380494855969831e-13 8.485468692940752214e-16
5.367065969071569270e+03 1.669727161197985225e-13 8.291730571124616905e-16
5.371945092138542350e+03 1.672984799397473090e-13 8.339110903164574457e-16
5.376824215205515429e+03 1.651494624610338819e-13 8.373502259144652589e-16
5.381703338272488509e+03 1.646762521378754473e-13 8.269360051639811202e-16
5.386582461339461588e+03 1.639745788010379927e-13 8.237235087020522071e-16
5.391461584406434667e+03 1.610947354813933026e-13 8.134357571248839538e-16
5.396340707473407747e+03 1.618703998324663906e-13 8.075258930180693905e-16
5.401219830540380826e+03 1.603048408174033272e-13 7.990327036723118888e-16
5.406098953607353906e+03 1.578067293846175410e-13 7.880002373691255520e-16
5.410978076674326985e+03 1.580874480484738652e-13 7.898400988537831457e-16
5.415857199741300064e+03 1.574328608492507260e-13 7.961249847194302762e-16
5.420736322808273144e+03 1.578445615896532484e-13 7.630597785892651125e-16
5.425615445875246223e+03 1.595897286740210116e-13 7.566634836844172763e-16
5.430494568942219303e+03 1.585671359446012501e-13 7.482932982102685420e-16
5.435373692009192382e+03 1.583488497396072331e-13 7.410924472439344992e-16
5.440252815076165462e+03 1.577452280861419803e-13 7.352801519583953780e-16
5.445131938143138541e+03 1.596286024398502455e-13 7.327431699801819128e-16
5.450011061210111620e+03 1.592864937078761063e-13 7.302561708464849827e-16
5.454890184277084700e+03 1.563513194063158791e-13 7.056779881881952804e-16
5.459769307344057779e+03 1.599948540773380348e-13 7.089334412734118494e-16
5.464648430411030859e+03 1.589207054860023215e-13 6.984945817982019254e-16
5.469527553478003938e+03 1.607526597781334862e-13 7.008015552834060548e-16
5.474406676544977017e+03 1.601497864414561348e-13 8.287927656495819890e-16
5.479285799611950097e+03 1.611005695031951182e-13 6.897130757465730877e-16
5.484164922678923176e+03 1.617724814576775110e-13 6.834003655392967262e-16
5.489044045745896256e+03 1.596391543721096297e-13 6.805142980543766390e-16
5.493923168812869335e+03 1.608717309491936194e-13 6.807198733944722905e-16
5.498802291879842414e+03 1.608907819278165838e-13 6.767677676699927783e-16
5.503681414946815494e+03 1.623815222911289044e-13 6.781786721647349534e-16
5.508560538013788573e+03 1.623611351995497807e-13 6.779396646318774559e-16
5.513439661080761653e+03 1.612326757185091183e-13 6.755426433768427056e-16
5.518318784147734732e+03 1.604592729992092491e-13 6.735015114954473876e-16
5.523197907214707811e+03 1.598199141628959120e-13 7.236608080259354998e-16
