# obs_wvl flux error
1.584000000000000000e+03 -8.828262787883341725e-15 7.835986557434316268e-15
1.587096498709577872e+03 8.564148489192600284e-16 4.323662144645227302e-15
1.590192997419155745e+03 -4.055327807472272692e-15 3.007269193602404915e-15
1.593289496128733617e+03 -1.329016172557698615e-15 2.290181734367836605e-15
1.596385994838311490e+03 -2.646324023074341662e-15 1.752383327999246482e-15
1.599482493547889362e+03 1.348937842973330327e-15 1.539560358917279383e-15
1.602578992257467235e+03 -5.428308273953403802e-16 1.156181052752711386e-15
1.605675490967045107e+03 -1.321305410424448391e-15 9.180404373226533640e-16
1.608771989676622979e+03 1.504220768044621360e-16 8.194696397838184351e-16
1.611868488386200852e+03 -1.216078999977382977e-15 6.399535908518663581e-16
1.614964987095778724e+03 1.344706558044835799e-16 5.891411615978349360e-16
1.618061485805356597e+03 7.973329322114102712e-16 5.383787595378084765e-16
1.621157984514934469e+03 8.341922266634621124e-17 4.546058057093190458e-16
1.624254483224512342e+03 6.023283753385204432e-17 3.918703767603906163e-16
1.627350981934090214e+03 -1.141392741136545477e-16 3.490789116932554139e-16
1.630447480643668086e+03 -4.671146691690387309e-16 2.936918931577720430e-16
1.633543979353245959e+03 -3.345073414829210152e-16 2.720981624717544501e-16
1.636640478062823831e+03 -3.250158153305822381e-16 2.456750803139072576e-16
1.639736976772401704e+03 2.726322397368387587e-16 2.491093363199296500e-16
1.642833475481979576e+03 1.880100974624549830e-16 2.295593127221135031e-16
1.645929974191557449e+03 -2.146784805989911545e-16 1.987937424669070025e-16
1.649026472901135321e+03 1.714045537408255507e-16 2.026446733546984447e-16
1.652122971610713194e+03 1.021791710695366587e-16 1.896898320502650114e-16
1.655219470320291066e+03 -1.673915176184363147e-16 1.646115138884955762e-16
1.658315969029868938e+03 -4.530313531248774212e-17 1.631894693696343822e-16
1.661412467739446811e+03 1.204710230676758953e-16 1.604280641760082630e-16
1.664508966449024683e+03 -2.839489650870901435e-16 1.379535411042537882e-16
1.667605465158602556e+03 -8.293321427456020730e-17 1.392795070924560484e-16
1.670701963868180428e+03 -3.074407965666261634e-16 1.267863994069701588e-16
1.673798462577758301e+03 -1.171660067883412067e-16 1.255265354474963351e-16
1.676894961287336173e+03 1.324973848973913074e-17 1.262352352502554245e-16
1.679991459996914045e+03 -3.781999106436114017e-17 1.205824491282840791e-16
1.683087958706491918e+03 -1.077210615468671526e-16 1.155777880845436141e-16
1.686184457416069790e+03 -1.890909060886578206e-16 1.044831545234147601e-16
1.689280956125647663e+03 3.402011346587847520e-16 1.232153305947081466e-16
1.692377454835225535e+03 -6.922220425566611790e-17 1.038931245525585037e-16
1.695473953544803408e+03 4.566200154492154963e-17 1.047298580574646971e-16
1.698570452254381280e+03 1.228559810229107565e-16 1.060076622481786733e-16
1.701666950963959152e+03 -8.379496373420118235e-17 9.514962610441100768e-17
1.704763449673537025e+03 8.437423623038105872e-17 1.007330295469637974e-16
1.707859948383114897e+03 -1.475772304201978776e-17 9.216488823867542116e-17
1.710956447092692770e+03 5.459279214833292000e-17 9.364219343383649652e-17
1.714052945802270642e+03 2.638265570481439735e-17 8.932530661262607919e-17
1.717149444511848515e+03 -1.549023447630825476e-16 8.097783935883161136e-17
1.720245943221426387e+03 9.474106551248139376e-18 8.590891269061471446e-17
1.723342441931004259e+03 -9.284136025776522877e-17 7.870942239635885670e-17
1.726438940640582132e+03 5.836556664338472814e-17 8.325517711888831897e-17
1.729535439350160004e+03 -3.994986264239049749e-17 7.639051326507036531e-17
1.732631938059737877e+03 2.242278436109949155e-17 7.708293023952091439e-17
1.735728436769315749e+03 -7.707964921138502324e-17 7.235647742727388966e-17
1.738824935478893622e+03 4.431109332695571449e-18 7.447979810229677169e-17
1.741921434188471494e+03 6.467710395065878143e-18 7.309930482618053580e-17
1.745017932898049366e+03 -4.069239992551255556e-17 6.910158473950822080e-17
1.748114431607627239e+03 -5.892337016210974617e-17 6.678001200148525032e-17
1.751210930317205111e+03 -9.043833321109890530e-17 6.481475471003333732e-17
1.754307429026782984e+03 -4.478498948280132374e-17 6.589032010948501981e-17
1.757403927736360856e+03 -1.355797320841300583e-16 6.109134731218108246e-17
1.760500426445938729e+03 -1.395876570238969477e-16 5.854398162607994189e-17
1.763596925155516601e+03 -4.438177234819879437e-18 6.335791480387429048e-17
1.766693423865094474e+03 7.337494657178033855e-17 6.433237857204523697e-17
1.769789922574672346e+03 6.455494153203366819e-17 6.323520842545511011e-17
1.772886421284250218e+03 5.828286593218747452e-17 6.238967260412287147e-17
1.775982919993828091e+03 -8.326108851844036793e-17 5.578995607685487810e-17
1.779079418703405963e+03 -1.167971305654705037e-16 5.330706156382649697e-17
1.782175917412983836e+03 -3.745060665091252779e-17 5.474869198735266744e-17
1.785272416122561708e+03 7.138193393814226358e-17 5.778786093192265614e-17
1.788368914832139581e+03 -5.930334759725070928e-17 5.210640044838319401e-17
1.791465413541717453e+03 -4.618255833811717162e-17 5.276094147729854447e-17
1.794561912251295325e+03 -5.325183421489267858e-17 5.151076646022068466e-17
1.797658410960873198e+03 -1.870488548457701654e-18 5.286545080125870113e-17
1.800754909670451070e+03 1.408069783803005313e-17 5.249104982262792809e-17
1.803851408380028943e+03 -7.535420550640837203e-20 5.249495571509185836e-17
1.806947907089606815e+03 -7.351219687691544967e-17 4.647452987769711710e-17
1.810044405799184688e+03 -6.361884196485236431e-17 4.573530906936466018e-17
1.813140904508762560e+03 -9.187947796274452163e-17 4.438771505433557159e-17
1.816237403218340432e+03 -2.986562541394887834e-17 4.613985200950650198e-17
1.819333901927918305e+03 -4.449860546239491848e-17 4.523216121565209908e-17
1.822430400637496177e+03 -1.847456468280063743e-17 4.614921601145405316e-17
1.825526899347074050e+03 -9.382476508668761084e-17 4.222953405156004785e-17
1.828623398056651922e+03 -3.662318986455288112e-17 4.310348029445673806e-17
1.831719896766229795e+03 5.852926124993894600e-17 4.584082393088635628e-17
1.834816395475807667e+03 2.843064649195011815e-17 4.409982414517700360e-17
1.837912894185385539e+03 3.836587591589874956e-17 4.404235594129381483e-17
1.841009392894963412e+03 -5.137335112388545802e-17 4.008391487771792552e-17
1.844105891604541284e+03 -2.781340632144573230e-17 4.132470811660075318e-17
1.847202390314119157e+03 -6.081880634317988104e-17 3.856386165028039183e-17
1.850298889023697029e+03 6.793008234846509447e-17 4.367450787815075317e-17
1.853395387733274902e+03 3.059607082928995197e-17 4.110048498037236782e-17
1.856491886442852774e+03 -2.924256760399410486e-17 3.881010116015286228e-17
1.859588385152430646e+03 -3.256061648653271255e-17 3.864328214486947446e-17
1.862684883862008519e+03 1.341629149600995880e-17 3.967241883990234333e-17
1.865781382571586391e+03 3.121440299767302613e-17 3.940452483796431722e-17
1.868877881281164264e+03 1.550745798259531929e-17 3.846978167651395133e-17
1.871974379990742136e+03 7.110314235848346308e-18 3.833391304464179929e-17
1.875070878700320009e+03 -4.363970335378017960e-17 3.583093085011011830e-17
1.878167377409897881e+03 6.016415825767091415e-17 3.935563677971338327e-17
1.881263876119475754e+03 -2.474826806009472089e-17 3.560105414402753253e-17
1.884360374829053626e+03 -2.669195803495481948e-17 3.588470426260398625e-17
1.887456873538631498e+03 1.803355246061232771e-17 3.728319118599799890e-17
1.890553372248209371e+03 -4.563691174616795971e-17 3.323022723885213505e-17
1.893649870957787243e+03 6.457906875053993953e-17 3.743005713040569363e-17
1.896746369667365116e+03 4.923815467628067781e-17 3.695296943245744502e-17
1.899842868376942988e+03 -1.879004607566544729e-17 3.383980806155004008e-17
1.902939367086520861e+03 3.125055794031754303e-17 3.550627744401483869e-17
1.906035865796098733e+03 3.014761487419272641e-17 3.484231567359480411e-17
1.909132364505676605e+03 -8.350853272143149283e-18 3.321755944919540874e-17
1.912228863215254478e+03 1.497990155047072287e-17 3.387761110473721177e-17
1.915325361924832350e+03 -4.167251456586331641e-17 3.097897847434608956e-17
1.918421860634410223e+03 1.761736529635959776e-17 3.300346004608156819e-17
1.921518359343988095e+03 3.406602949797422508e-18 3.138535461762174716e-17
