# M82-SN ocb152020 G230L MAMA z=0.00068 a2center=512.0 extrsize=11 exptime=1747.0 mode=fixed flags=center_mismatch(512vs488)
# rest_wvl obs_wvl flux error net dq mask
1577.2990 1578.3716 0.000000e+00 0.000000e+00 9.040259e-05 2564 0
1578.8415 1579.9151 1.008790e-13 2.416400e-13 1.900085e-03 2564 0
1580.3840 1581.4587 -3.511897e-14 2.412396e-14 -3.162454e-03 2564 0
1581.9265 1583.0022 -1.169414e-14 1.930782e-14 -1.888015e-03 2564 0
1583.4691 1584.5458 4.814795e-15 1.324543e-14 1.122018e-03 2048 0
1585.0116 1586.0894 -9.803441e-15 1.008111e-14 -2.988157e-03 0 0
1586.5542 1587.6330 -5.256675e-15 9.208899e-15 -1.980528e-03 0 0
1588.0967 1589.1766 -1.476160e-15 7.232667e-15 -6.626601e-04 0 0
1589.6393 1590.7202 -6.143789e-15 6.774160e-15 -3.202510e-03 0 0
1591.1819 1592.2639 3.490808e-15 5.715639e-15 2.072952e-03 0 0
1592.7244 1593.8075 -1.492892e-15 5.289838e-15 -1.006621e-03 0 0
1594.2670 1595.3511 -8.311490e-15 3.839260e-15 -6.351662e-03 0 0
1595.8096 1596.8948 2.742173e-15 4.349125e-15 2.363150e-03 0 0
1597.3522 1598.4384 1.150900e-15 3.751970e-15 1.115828e-03 0 0
1598.8949 1599.9821 3.226541e-15 3.572240e-15 3.497362e-03 0 0
1600.4375 1601.5258 4.531133e-15 3.266613e-15 5.474079e-03 0 0
1601.9801 1603.0695 -2.423768e-15 2.418007e-15 -3.243530e-03 0 0
1603.5228 1604.6132 1.232818e-15 2.493609e-15 1.822020e-03 0 0
1605.0654 1606.1569 -4.825021e-15 1.787893e-15 -7.832158e-03 0 0
1606.6081 1607.7006 6.221411e-16 1.995461e-15 1.106490e-03 0 0
1608.1508 1609.2443 -6.030433e-16 1.789548e-15 -1.169391e-03 0 0
1609.6935 1610.7881 -6.963940e-16 1.635071e-15 -1.469634e-03 0 0
1611.2362 1612.3318 -1.048851e-15 1.449736e-15 -2.398119e-03 0 0
1612.7789 1613.8756 2.645751e-16 1.446509e-15 6.543388e-04 0 0
1614.3216 1615.4193 -1.049014e-15 1.237470e-15 -2.794608e-03 0 0
1615.8643 1616.9631 1.476230e-15 1.336549e-15 4.229156e-03 0 0
1617.4070 1618.5069 -7.783460e-16 1.088648e-15 -2.388713e-03 0 0
1618.9498 1620.0507 -5.195088e-16 1.041344e-15 -1.704961e-03 0 0
1620.4925 1621.5944 2.938715e-16 1.044245e-15 1.027763e-03 0 0
1622.0353 1623.1383 -3.183149e-17 9.225897e-16 -1.184143e-04 0 0
1623.5780 1624.6821 4.843840e-16 9.265532e-16 1.910688e-03 0 0
1625.1208 1626.2259 -8.067937e-16 7.788884e-16 -3.367990e-03 0 0
1626.6636 1627.7697 -4.136594e-16 7.733963e-16 -1.822485e-03 0 0
1628.2064 1629.3136 -1.053651e-16 7.355078e-16 -4.889561e-04 0 0
1629.7492 1630.8574 -1.140498e-15 6.235020e-16 -5.561367e-03 0 0
1631.2920 1632.4013 -3.023800e-16 6.561461e-16 -1.546302e-03 0 0
1632.8348 1633.9451 -7.756633e-16 5.830842e-16 -4.151236e-03 0 0
1634.3776 1635.4890 -1.165693e-16 6.037658e-16 -6.516408e-04 0 0
1635.9205 1637.0329 -5.909583e-16 5.606202e-16 -3.444628e-03 0 0
1637.4633 1638.5768 6.614669e-16 6.285158e-16 4.012719e-03 0 0
1639.0062 1640.1207 1.000265e-16 5.619000e-16 6.305963e-04 0 0
1640.5490 1641.6646 2.200066e-16 5.511499e-16 1.438824e-03 0 0
1642.0919 1643.2085 4.194803e-16 5.514684e-16 2.842380e-03 0 0
1643.6348 1644.7525 2.155772e-16 5.102395e-16 1.510986e-03 0 0
1645.1777 1646.2964 -4.023689e-16 4.533419e-16 -2.914199e-03 0 0
1646.7206 1647.8404 -2.237318e-16 4.509307e-16 -1.671957e-03 0 0
1648.2635 1649.3843 4.485405e-16 4.901047e-16 3.455589e-03 0 0
1649.8064 1650.9283 5.799637e-17 4.507257e-16 4.599660e-04 0 0
1651.3493 1652.4723 5.226479e-16 4.740510e-16 4.263523e-03 0 0
1652.8923 1654.0162 1.987960e-16 4.343011e-16 1.666086e-03 0 0
1654.4352 1655.5602 -4.635353e-16 3.603550e-16 -3.988542e-03 0 0
1655.9782 1657.1042 1.368656e-16 4.137789e-16 1.207790e-03 0 0
1657.5211 1658.6482 -6.743412e-17 3.778072e-16 -6.099365e-04 0 0
1659.0641 1660.1923 -4.096232e-16 3.430226e-16 -3.793655e-03 0 0
1660.6071 1661.7363 5.248751e-16 4.051075e-16 4.974690e-03 0 0
1662.1501 1663.2803 1.875250e-17 3.665891e-16 1.817208e-04 0 0
1663.6931 1664.8244 -8.133620e-16 2.742610e-16 -8.054803e-03 0 0
1665.2361 1666.3684 -3.561979e-16 3.165021e-16 -3.601894e-03 0 0
1666.7791 1667.9125 2.368047e-16 3.546093e-16 2.444037e-03 0 0
1668.3221 1669.4566 -2.503462e-16 3.102960e-16 -2.635265e-03 0 0
1669.8652 1671.0007 -8.659805e-16 2.487373e-16 -9.293587e-03 0 0
1671.4082 1672.5448 -4.320121e-16 2.779200e-16 -4.723876e-03 0 0
1672.9513 1674.0889 2.733133e-17 3.141042e-16 3.043919e-04 0 0
1674.4943 1675.6330 -4.319674e-17 2.985881e-16 -4.897467e-04 0 0
1676.0374 1677.1771 -3.776932e-16 2.715571e-16 -4.357782e-03 0 0
1677.5805 1678.7212 2.483522e-16 3.114471e-16 2.914744e-03 0 0
1679.1235 1680.2654 -3.841276e-16 2.585126e-16 -4.584391e-03 0 0
1680.6666 1681.8095 -4.103304e-16 2.518058e-16 -4.977654e-03 0 0
1682.2098 1683.3537 7.245920e-17 2.861751e-16 8.931893e-04 0 0
1683.7529 1684.8978 -3.169781e-16 2.517131e-16 -3.968830e-03 0 0
1685.2960 1686.4420 -7.484589e-16 2.041422e-16 -9.516226e-03 0 0
1686.8391 1687.9862 4.414358e-16 2.958474e-16 5.697239e-03 0 0
1688.3823 1689.5304 4.892426e-16 3.017999e-16 6.407774e-03 0 0
1689.9254 1691.0746 -3.133754e-16 2.288050e-16 -4.163735e-03 0 0
1691.4686 1692.6188 1.007745e-17 2.604902e-16 1.357988e-04 0 0
1693.0117 1694.1630 1.329415e-16 2.640868e-16 1.816330e-03 0 0
1694.5549 1695.7072 -3.159566e-16 2.263520e-16 -4.375705e-03 0 0
1696.0981 1697.2515 2.802774e-16 2.641662e-16 3.933416e-03 0 0
1697.6413 1698.7957 -6.015267e-17 2.445390e-16 -8.552655e-04 0 0
1699.1845 1700.3400 -1.520486e-16 2.261919e-16 -2.189675e-03 0 0
1700.7277 1701.8842 -1.851436e-16 2.180570e-16 -2.699768e-03 0 0
1702.2709 1703.4285 -2.234712e-17 2.327792e-16 -3.298857e-04 0 0
1703.8142 1704.9728 1.483137e-16 2.466194e-16 2.215974e-03 0 0
1705.3574 1706.5171 3.107611e-16 2.510028e-16 4.698568e-03 0 0
1706.9007 1708.0614 -6.687417e-17 2.174409e-16 -1.023001e-03 0 0
1708.4439 1709.6057 -2.173826e-16 2.045408e-16 -3.363928e-03 0 0
1709.9872 1711.1500 3.422284e-17 2.243120e-16 5.356404e-04 0 0
1711.5305 1712.6943 7.744093e-18 2.165617e-16 1.225747e-04 0 0
1713.0738 1714.2386 -3.745470e-18 2.155445e-16 -5.994453e-05 0 0
1714.6171 1715.7830 1.615742e-16 2.280461e-16 2.614425e-03 0 0
1716.1604 1717.3273 -3.522147e-16 1.826023e-16 -5.761312e-03 0 0
1717.7037 1718.8717 -1.112133e-16 1.966793e-16 -1.838818e-03 0 0
1719.2470 1720.4161 1.871455e-17 2.081163e-16 3.127442e-04 0 0
1720.7903 1721.9605 -3.065547e-17 1.983163e-16 -5.177414e-04 0 0
1722.3337 1723.5048 -8.702232e-17 1.953243e-16 -1.485254e-03 0 0
1723.8770 1725.0492 -6.419229e-17 1.931116e-16 -1.107116e-03 0 0
1725.4204 1726.5937 1.720287e-16 2.105311e-16 2.998006e-03 0 0
1726.9637 1728.1381 -1.278647e-16 1.827506e-16 -2.251529e-03 0 0
1728.5071 1729.6825 4.573417e-17 1.963110e-16 8.136604e-04 0 0
1730.0505 1731.2269 -6.096972e-17 1.818330e-16 -1.095880e-03 0 0
1731.5939 1732.7714 -2.083143e-16 1.701952e-16 -3.782605e-03 0 0
1733.1373 1734.3158 1.807242e-17 1.863565e-16 3.314961e-04 0 0
1734.6807 1735.8603 -1.273697e-16 1.761010e-16 -2.359882e-03 0 0
1736.2241 1737.4048 -8.564905e-17 1.767986e-16 -1.602777e-03 0 0
1737.7676 1738.9492 6.914755e-17 1.875984e-16 1.306834e-03 0 0
1739.3110 1740.4937 5.999937e-17 1.836162e-16 1.145105e-03 0 0
1740.8544 1742.0382 -6.184660e-17 1.741864e-16 -1.191867e-03 0 0
1742.3979 1743.5827 2.049839e-17 1.763697e-16 3.988473e-04 0 0
