# obs_wvl flux error
1.579000000000000000e+03 2.918078308828363221e-14 1.752177098074750305e-13
1.580548246936355554e+03 4.928168961929111813e-14 5.185007997658814762e-14
1.582096493872711108e+03 1.524308005150569799e-14 1.603141272249601291e-14
1.583644740809066661e+03 -6.875974732904517540e-15 8.597820877348063013e-15
1.585192987745422215e+03 2.923022584248423663e-15 6.817288768404007591e-15
1.586741234681777769e+03 -8.965430927554700850e-15 4.858681684423016868e-15
1.588289481618133323e+03 -9.585720212266289160e-15 3.806534050535492203e-15
1.589837728554488876e+03 -5.608144552706371555e-15 3.419505270964444665e-15
1.591385975490844430e+03 -8.946209590027012916e-16 3.093102512684648329e-15
1.592934222427199984e+03 2.252219833693350293e-15 2.901585335694113911e-15
1.594482469363555538e+03 -2.304414124035175342e-15 2.319859382445463191e-15
1.596030716299911091e+03 -2.554424888896704472e-16 2.124919898244862033e-15
1.597578963236266645e+03 2.597872388908423200e-16 1.886607213350108669e-15
1.599127210172622199e+03 1.479388223225644638e-15 1.783477918936233614e-15
1.600675457108977753e+03 1.899019686774653736e-15 1.607736230487063685e-15
1.602223704045333307e+03 -8.415377909145567861e-16 1.358658786958969110e-15
1.603771950981688860e+03 -1.154690373768482583e-15 1.209995244663097631e-15
1.605320197918044414e+03 1.087020192750948518e-17 1.111015000703025117e-15
1.606868444854399968e+03 2.635976599818684374e-16 1.037980099384581740e-15
1.608416691790755522e+03 4.391182618820148386e-16 9.532103971383643581e-16
1.609964938727111075e+03 3.250652062169229637e-16 8.703998379038136896e-16
1.611513185663466629e+03 1.452995291408039805e-15 8.621440296165089845e-16
1.613061432599822183e+03 1.517238357230341190e-15 8.065373805196801322e-16
1.614609679536177737e+03 -1.070801550829610287e-16 6.925935955166503713e-16
1.616157926472533291e+03 -3.779063368666884435e-16 6.214930823237294297e-16
1.617706173408888844e+03 -9.973354040905543061e-18 5.923087485193996704e-16
1.619254420345244398e+03 3.378870434361080982e-16 5.676655237035365165e-16
1.620802667281599952e+03 2.780922919326123166e-16 5.314997232599345681e-16
1.622350914217955506e+03 5.776484961047908268e-16 5.067110216387226668e-16
1.623899161154311059e+03 2.537097519701408950e-16 4.702024626989086925e-16
1.625447408090666613e+03 -1.941234738146409168e-16 4.267022159912558978e-16
1.626995655027022167e+03 3.605005485440719928e-16 4.299641549770818952e-16
1.628543901963377721e+03 -4.176074363052052886e-16 3.667738404624823184e-16
1.630092148899733274e+03 -5.894929898424498775e-16 3.474394650686416757e-16
1.631640395836088828e+03 2.093092404250060918e-16 3.639524135581845628e-16
1.633188642772444382e+03 1.158382968955220793e-16 3.410242673853905785e-16
1.634736889708799936e+03 3.488771362356145140e-17 3.237906148343317348e-16
1.636285136645155490e+03 3.816309316130812985e-16 3.246982883412338179e-16
1.637833383581511043e+03 3.149120495536800017e-16 3.083276006893220527e-16
1.639381630517866597e+03 1.271366463108517624e-16 2.922200447282240422e-16
1.640929877454222151e+03 2.535003285290367249e-16 2.877612071011629166e-16
1.642478124390577705e+03 3.383197275433921622e-17 2.652536019355945394e-16
1.644026371326933258e+03 -2.461369295765826588e-16 2.488640823917693384e-16
1.645574618263288812e+03 6.830383197086897829e-18 2.520882155789526072e-16
1.647122865199644366e+03 -1.409899726538081347e-16 2.358072997151643885e-16
1.648671112135999920e+03 -1.706472220477213460e-16 2.262560623346632063e-16
1.650219359072355473e+03 -1.472439714301879617e-16 2.219177442549031273e-16
1.651767606008711027e+03 5.320064778800296701e-17 2.249580569681327369e-16
1.653315852945066581e+03 2.485123217430974229e-16 2.273257298108986200e-16
1.654864099881422135e+03 1.099983619261764630e-16 2.143471136371895618e-16
1.656412346817777689e+03 -1.182511171987350257e-16 2.012168949434609691e-16
1.657960593754133242e+03 1.872221178148932329e-16 2.107939735881005914e-16
1.659508840690488796e+03 2.730827941621795586e-16 2.049844449071149498e-16
1.661057087626844350e+03 2.114077369363553884e-16 1.995251698583477398e-16
1.662605334563199904e+03 -3.199853848655796512e-18 1.884148960561220693e-16
1.664153581499555457e+03 -1.907320538826797926e-16 1.789398776914460174e-16
1.665701828435911011e+03 -1.604559100892410929e-17 1.809845321429565320e-16
1.667250075372266565e+03 6.766771202382171926e-17 1.781935533296934242e-16
1.668798322308622119e+03 -6.532342047859419018e-17 1.697212560184358672e-16
1.670346569244977672e+03 -1.963263186939668149e-16 1.596763596907103957e-16
1.671894816181333226e+03 -1.984354843159407702e-17 1.666465235178617692e-16
1.673443063117688780e+03 1.956859733906880728e-16 1.735280234660796096e-16
1.674991310054044334e+03 4.169701697492003052e-17 1.619432042248446797e-16
1.676539556990399888e+03 -1.752478191701991228e-16 1.531032928755333505e-16
1.678087803926755441e+03 5.055289299171621827e-17 1.600428203086196852e-16
1.679636050863110995e+03 2.407351648068185594e-17 1.558508228241424362e-16
1.681184297799466549e+03 -8.730871281731974813e-17 1.470892539498347387e-16
1.682732544735822103e+03 -1.518488681815166320e-16 1.420109750090630121e-16
1.684280791672177656e+03 -1.991277990253762998e-16 1.363812505527354167e-16
1.685829038608533210e+03 -1.478301524030566617e-16 1.376207454874175253e-16
1.687377285544888764e+03 -2.601414856217363422e-17 1.442521707205854434e-16
1.688925532481244318e+03 -2.252800835232162273e-17 1.409923413878562751e-16
1.690473779417599872e+03 -5.760554864972937051e-17 1.381195646191978033e-16
1.692022026353955425e+03 1.186733339664795102e-16 1.449395360707579627e-16
1.693570273290310979e+03 1.315173439804435270e-16 1.417669691439957781e-16
1.695118520226666533e+03 9.051041210242911942e-17 1.384876546838019792e-16
1.696666767163022087e+03 1.288748404011297828e-16 1.393880357912754278e-16
1.698215014099377640e+03 7.072366095777791604e-17 1.373367082635376619e-16
1.699763261035733194e+03 -1.970678495554245518e-16 1.176381285237277145e-16
1.701311507972088748e+03 -1.683867960733929472e-16 1.218746868205162276e-16
1.702859754908444302e+03 6.005009779609990639e-17 1.300660061017667157e-16
1.704408001844799855e+03 -1.197037251734155367e-16 1.206195201478530818e-16
1.705956248781155409e+03 1.028428855914499393e-16 1.307892346993100277e-16
