# obs_wvl flux error
1.591000000000000000e+03 -3.991624491571430591e-17 0.000000000000000000e+00
1.594096715546064161e+03 -3.160054648913727780e-17 0.000000000000000000e+00
1.597193431092128321e+03 -2.379073788901747422e-17 0.000000000000000000e+00
1.600290146638192482e+03 -1.818783234735092967e-17 0.000000000000000000e+00
1.603386862184256643e+03 -1.414969140407542432e-17 0.000000000000000000e+00
1.606483577730320803e+03 -1.118877998021251876e-17 0.000000000000000000e+00
1.609580293276384964e+03 -8.970185273816055970e-18 0.000000000000000000e+00
1.612677008822449125e+03 -7.275338875145748410e-18 0.000000000000000000e+00
1.615773724368513285e+03 -5.961948865619485161e-18 0.000000000000000000e+00
1.618870439914577446e+03 -4.932825216992899597e-18 0.000000000000000000e+00
1.621967155460641607e+03 -4.117910024454179609e-18 0.000000000000000000e+00
1.625063871006705767e+03 -3.465930410033799084e-18 0.000000000000000000e+00
1.628160586552769928e+03 -2.938883967271812265e-18 0.000000000000000000e+00
1.631257302098834089e+03 -2.508224432425707482e-18 0.000000000000000000e+00
1.634354017644898249e+03 -2.152476642307897108e-18 0.000000000000000000e+00
1.637450733190962410e+03 -1.855415407121082709e-18 0.000000000000000000e+00
1.640547448737026571e+03 -1.604700075630953854e-18 0.000000000000000000e+00
1.643644164283090731e+03 -1.390848114179259240e-18 0.000000000000000000e+00
1.646740879829154892e+03 -1.206544786121395626e-18 0.000000000000000000e+00
1.649837595375219053e+03 -1.046177573259501475e-18 0.000000000000000000e+00
1.652934310921283213e+03 -9.057178301756958367e-19 0.000000000000000000e+00
1.656031026467347374e+03 -7.814544638525000456e-19 0.000000000000000000e+00
1.659127742013411535e+03 -6.707406304473322506e-19 0.000000000000000000e+00
1.662224457559475695e+03 -5.714973837533254362e-19 0.000000000000000000e+00
1.665321173105539856e+03 -4.820177797536891281e-19 0.000000000000000000e+00
1.668417888651604017e+03 -4.008930664757145058e-19 0.000000000000000000e+00
1.671514604197668177e+03 -3.269656830346705341e-19 0.000000000000000000e+00
1.674611319743732338e+03 -2.592847313105823315e-19 0.000000000000000000e+00
1.677708035289796499e+03 -1.970787939915257761e-19 0.000000000000000000e+00
1.680804750835860659e+03 -1.397260390981696455e-19 0.000000000000000000e+00
1.683901466381924820e+03 -8.670356066059879742e-20 0.000000000000000000e+00
1.686998181927988981e+03 -3.755761817637900513e-20 0.000000000000000000e+00
1.690094897474053141e+03 8.106206478539746574e-21 0.000000000000000000e+00
1.693191613020117302e+03 5.063112454471422616e-20 0.000000000000000000e+00
1.696288328566181463e+03 9.031535710953991052e-20 0.000000000000000000e+00
1.699385044112245623e+03 1.274168754498995817e-19 0.000000000000000000e+00
1.702481759658309784e+03 1.621650268439071330e-19 0.000000000000000000e+00
1.705578475204373945e+03 1.947502740234570478e-19 0.000000000000000000e+00
1.708675190750438105e+03 2.253342514678319586e-19 0.000000000000000000e+00
1.711771906296502266e+03 2.540565732237434941e-19 0.000000000000000000e+00
1.714868621842566426e+03 2.810336743532268444e-19 0.000000000000000000e+00
1.717965337388630587e+03 3.063636579120040080e-19 0.000000000000000000e+00
1.721062052934694748e+03 3.301258106175962591e-19 0.000000000000000000e+00
1.724158768480758908e+03 3.523860294578429159e-19 0.000000000000000000e+00
1.727255484026823069e+03 3.732007441190746785e-19 0.000000000000000000e+00
1.730352199572887230e+03 3.926443425863523128e-19 0.000000000000000000e+00
1.733448915118951390e+03 4.108001349366326982e-19 0.000000000000000000e+00
1.736545630665015551e+03 4.277542036497830155e-19 0.000000000000000000e+00
1.739642346211079712e+03 4.435898747725682096e-19 0.000000000000000000e+00
1.742739061757143872e+03 4.583929417100191905e-19 0.000000000000000000e+00
1.745835777303208033e+03 4.722402947152634359e-19 0.000000000000000000e+00
1.748932492849272194e+03 4.851994804381205726e-19 0.000000000000000000e+00
1.752029208395336354e+03 4.971386829279007871e-19 0.000000000000000000e+00
1.755125923941400515e+03 5.081802095558586962e-19 0.000000000000000000e+00
1.758222639487464676e+03 5.185045242392128950e-19 0.000000000000000000e+00
1.761319355033528836e+03 5.281523946771940340e-19 0.000000000000000000e+00
1.764416070579592997e+03 5.371580804371082663e-19 0.000000000000000000e+00
