# PSN07 ock413020 G430L CCD z=0.0049 a2center=894.1 extrsize=15 exptime=100.0 mode=adaptive_es15@0.98 flags=none
# rest_wvl obs_wvl flux error net dq mask
2873.0639 2887.1419 6.279048e-14 5.945284e-14 3.455700e-01 512 0
2875.7953 2889.8867 8.687099e-14 4.619861e-14 5.695276e-01 528 0
2878.5268 2892.6316 7.620205e-14 3.787541e-14 6.194183e-01 512 0
2881.2583 2895.3764 5.615677e-14 3.177349e-14 5.401466e-01 512 0
2883.9898 2898.1213 5.631880e-14 2.759803e-14 6.196318e-01 512 0
2886.7213 2900.8662 -1.485181e-14 2.382128e-14 -2.198787e-01 16912 0
2889.4528 2903.6112 1.341281e-14 2.161800e-14 1.999969e-01 512 0
2892.1844 2906.3561 3.876776e-14 1.960849e-14 5.965130e-01 512 0
2894.9160 2909.1011 8.489904e-15 1.836301e-14 1.641150e-01 528 0
2897.6476 2911.8461 1.565955e-14 1.570022e-14 2.872201e-01 512 0
2900.3792 2914.5911 6.083919e-15 1.410388e-14 1.102376e-01 512 0
2903.1109 2917.3361 -8.260390e-15 1.258960e-14 -2.343209e-01 16912 0
2905.8426 2920.0812 -1.371672e-15 1.120377e-14 -4.678392e-02 528 0
2908.5742 2922.8263 5.206572e-15 1.014085e-14 1.334370e-01 528 0
2911.3060 2925.5714 -2.122695e-15 8.955611e-15 -8.529948e-02 16912 0
2914.0377 2928.3165 1.174734e-14 8.460456e-15 4.195679e-01 528 0
2916.7695 2931.0616 1.214294e-14 7.452244e-15 5.040202e-01 528 0
2919.5013 2933.8068 3.466111e-13 1.385845e-14 1.943449e+01 528 0
2922.2331 2936.5520 5.382055e-14 7.521211e-15 3.242577e+00 528 0
2924.9649 2939.2972 9.222568e-15 5.156397e-15 5.652462e-01 528 0
2927.6967 2942.0424 1.737885e-14 4.380867e-15 1.269246e+00 512 0
2930.4286 2944.7877 1.038703e-14 3.869568e-15 8.251184e-01 512 0
2933.1605 2947.5330 2.660790e-15 3.417509e-15 2.134460e-01 528 0
2935.8924 2950.2783 7.174362e-15 3.173603e-15 6.945530e-01 528 0
2938.6243 2953.0236 8.713547e-15 2.846944e-15 9.494237e-01 512 0
2941.3563 2955.7689 1.470985e-14 2.696940e-15 1.828595e+00 528 0
2944.0883 2958.5143 7.103528e-15 2.474895e-15 9.191549e-01 528 0
2946.8203 2961.2597 1.015749e-14 2.261308e-15 1.460324e+00 512 0
2949.5523 2964.0051 1.170736e-14 2.147996e-15 1.820386e+00 512 0
2952.2843 2966.7505 1.149846e-14 2.045359e-15 1.899312e+00 528 0
