# obs_wvl flux error
2.968000000000000000e+03 9.170780202607740905e-15 1.645285096962297471e-15
2.973493701497695838e+03 1.111570285406907849e-14 1.143519745586009799e-15
2.978987402995391676e+03 1.135320869063399802e-14 1.132306212293559385e-15
2.984481104493087514e+03 8.123317694734588588e-15 1.141427897997299172e-15
2.989974805990783352e+03 9.394389285284027125e-15 9.982004818109464086e-16
2.995468507488479190e+03 8.430558436256771932e-15 9.692901004108651868e-16
3.000962208986175028e+03 7.538304513775711756e-15 9.937535778076273270e-16
3.006455910483870866e+03 7.396448620590513631e-15 1.057561595734957921e-15
3.011949611981566704e+03 8.181024499487162847e-15 9.114911504151794037e-16
3.017443313479262542e+03 5.352810200657989932e-15 9.099556889799414032e-16
3.022937014976958380e+03 7.931890103909040448e-15 8.398371060344917637e-16
3.028430716474654218e+03 6.145379692140084713e-15 8.185614388887971873e-16
3.033924417972350057e+03 8.482765687297278496e-15 7.953076621786408717e-16
3.039418119470045895e+03 7.180724575657001644e-15 7.903846267327244902e-16
3.044911820967741733e+03 9.176888453898421411e-15 7.404696269443459501e-16
3.050405522465437571e+03 5.672016008300385123e-15 6.965949835192396815e-16
3.055899223963133409e+03 7.632616195331428529e-15 6.988577207877845012e-16
3.061392925460829247e+03 6.469786661163419528e-15 6.703580267758675685e-16
3.066886626958525085e+03 7.323929167103798183e-15 6.546336564158566070e-16
3.072380328456220923e+03 6.231145829568584842e-15 6.291078278878413712e-16
3.077874029953916761e+03 6.066836144949021929e-15 6.309190273869025724e-16
3.083367731451612599e+03 5.978151643340332919e-15 6.823815682450593745e-16
3.088861432949308437e+03 6.430149248115946843e-15 6.100343341497986346e-16
3.094355134447004275e+03 6.903771000233324132e-15 6.047254481178650473e-16
3.099848835944700113e+03 6.138330825113799835e-15 5.861518074640743268e-16
3.105342537442395951e+03 5.873880302708470153e-15 5.769591087759014337e-16
3.110836238940091789e+03 6.654653638480617911e-15 6.009918993983342914e-16
3.116329940437787627e+03 6.731197294369838874e-15 6.304689208478540582e-16
