# PSN07 ock417030 G750L CCD z=0.0049 a2center=894.7 extrsize=23 exptime=100.0 mode=adaptive_clamphi flags=no_defringe(no_flat)
# rest_wvl obs_wvl flux error net dq mask
5216.9940 5242.5573 2.545069e-14 2.252302e-15 6.455595e+00 512 0
5221.8463 5247.4333 1.671345e-14 1.141758e-15 7.079045e+00 528 0
5226.6986 5252.3095 1.602623e-14 8.528481e-16 9.597520e+00 512 0
5231.5510 5257.1856 1.641278e-14 6.931161e-16 1.274141e+01 512 0
5236.4034 5262.0618 1.470093e-14 6.043364e-16 1.399843e+01 512 0
5241.2559 5266.9380 1.846998e-14 5.674264e-16 2.100097e+01 528 0
5246.1084 5271.8143 1.902779e-14 4.997077e-16 2.507203e+01 512 0
5250.9609 5276.6906 1.959570e-14 4.561942e-16 2.937363e+01 512 0
5255.8135 5281.5670 2.040109e-14 4.342369e-16 3.429874e+01 528 0
5260.6661 5286.4434 2.014230e-14 3.962370e-16 3.751387e+01 512 0
5265.5188 5291.3198 2.081760e-14 3.788095e-16 4.259802e+01 0 0
5270.3714 5296.1963 1.950667e-14 3.510149e-16 4.343365e+01 272 0
5275.2242 5301.0728 1.942568e-14 3.340423e-16 4.648745e+01 16 0
5280.0769 5305.9493 1.862761e-14 3.220514e-16 4.650725e+01 16 0
5284.9297 5310.8259 1.772603e-14 3.074517e-16 4.588105e+01 16 0
5289.7826 5315.7025 1.782934e-14 3.096508e-16 4.659754e+01 16 0
5294.6355 5320.5792 1.709858e-14 3.065097e-16 4.484820e+01 16 0
5299.4884 5325.4559 2.531941e-14 4.422403e-16 6.574606e+01 16 0
5304.3413 5330.3326 1.725720e-14 3.296149e-16 4.392257e+01 16 0
5309.1943 5335.2094 1.670528e-14 3.144443e-16 4.141725e+01 16 0
5314.0473 5340.0862 1.605882e-14 3.087526e-16 3.891267e+01 0 0
5318.9004 5344.9630 1.648883e-14 3.198386e-16 3.903635e+01 16 0
5323.7535 5349.8399 1.685235e-14 3.243085e-16 3.901334e+01 16 0
5328.6066 5354.7168 1.655850e-14 3.278581e-16 3.766042e+01 16 0
5333.4598 5359.5938 1.649782e-14 3.285569e-16 3.688172e+01 0 0
5338.3130 5364.4708 1.698936e-14 3.373038e-16 3.760427e+01 16 0
5343.1663 5369.3478 1.620851e-14 3.347145e-16 3.550373e+01 16 0
5348.0196 5374.2249 1.690224e-14 3.357161e-16 3.694119e+01 16 0
5352.8729 5379.1020 1.673235e-14 3.355258e-16 3.652691e+01 0 0
5357.7262 5383.9791 1.680352e-14 3.358763e-16 3.685697e+01 16 0
5362.5796 5388.8563 1.711559e-14 3.343151e-16 3.781224e+01 0 0
5367.4331 5393.7335 1.661366e-14 3.290798e-16 3.710723e+01 0 0
