# obs_wvl flux error
5.291000000000000000e+03 2.034114047447417584e-14 3.833730411579271136e-16
5.295879326139040131e+03 2.008256572923198872e-14 2.610754139031862187e-16
5.300758652278080262e+03 1.975251017437285039e-14 3.372730347755954023e-16
5.305637978417120394e+03 1.940572875376696240e-14 3.058127437197354326e-16
5.310517304556160525e+03 1.940561305710433817e-14 2.992538930445904913e-16
5.315396630695200656e+03 1.887384439535576900e-14 2.982746157878219463e-16
5.320275956834240787e+03 1.830862863246609803e-14 2.965809339204095935e-16
5.325155282973280919e+03 2.769918100400220100e-14 4.003069352695388818e-16
5.330034609112321050e+03 2.035837630402623874e-14 3.271529369885992883e-16
5.334913935251361181e+03 1.765922323814735231e-14 3.027941607758230816e-16
5.339793261390401312e+03 1.713001394828799290e-14 2.992142914378546039e-16
5.344672587529441444e+03 1.725139808426754481e-14 3.077257899808247061e-16
5.349551913668481575e+03 1.749770797680716799e-14 3.144840769088150551e-16
5.354431239807521706e+03 1.745500303149495855e-14 3.200819835653608971e-16
5.359310565946561837e+03 1.751577379324743698e-14 3.174142057416091692e-16
5.364189892085601969e+03 1.734085911805132905e-14 3.197686070371347019e-16
5.369069218224642100e+03 1.717789558712472599e-14 3.237794141317699890e-16
5.373948544363682231e+03 1.712518024151648914e-14 3.205690470222919910e-16
5.378827870502722362e+03 1.755255115584899479e-14 3.236165433241549387e-16
5.383707196641762494e+03 1.779458394393395527e-14 3.256292625878256720e-16
5.388586522780802625e+03 1.693977428625622664e-14 3.169860044772691398e-16
5.393465848919842756e+03 1.736797345366390535e-14 3.179530941151624849e-16
5.398345175058882887e+03 1.746518715325999356e-14 3.166146294157057514e-16
5.403224501197923018e+03 1.746900379308848331e-14 3.168204373148930085e-16
5.408103827336963150e+03 1.713714893790587308e-14 3.133179806951535974e-16
5.412983153476003281e+03 1.779305381606347205e-14 3.419576701587852407e-16
5.417862479615043412e+03 1.785499675893234049e-14 3.060694272479326285e-16
5.422741805754083543e+03 1.790239135816196982e-14 3.010333096698017363e-16
5.427621131893123675e+03 1.785366110112105466e-14 2.963160521702975290e-16
5.432500458032163806e+03 1.752261814743656600e-14 2.928369379238715313e-16
5.437379784171203937e+03 1.773875487446949387e-14 2.877141025183302146e-16
5.442259110310244068e+03 1.762418786835138496e-14 2.843438892708949547e-16
5.447138436449284200e+03 1.778376855934868894e-14 2.838593089020963938e-16
5.452017762588324331e+03 1.727139694801385130e-14 2.077899637537625231e-16
5.456897088727364462e+03 1.664558654758049872e-14 2.856706229585609510e-16
5.461776414866404593e+03 1.678957259631353458e-14 2.653132627284357972e-16
5.466655741005444725e+03 1.705985151978039398e-14 2.658914531818940805e-16
5.471535067144484856e+03 1.654178393674102198e-14 2.701308910306864631e-16
5.476414393283524987e+03 1.599368792343082090e-14 2.534616910389377719e-16
5.481293719422565118e+03 1.612893583368945246e-14 2.529243434126309458e-16
5.486173045561605250e+03 1.545923030514172369e-14 2.467637294300510127e-16
5.491052371700645381e+03 1.519867760487286553e-14 2.459869972932869651e-16
5.495931697839685512e+03 1.411197912620945981e-14 2.365318970496989405e-16
5.500811023978725643e+03 1.393176140307666042e-14 2.350323004668627982e-16
5.505690350117765774e+03 1.466080504990331030e-14 2.399580833370201815e-16
5.510569676256805906e+03 1.369421528003870108e-14 2.347845639377195672e-16
5.515449002395846037e+03 1.335974900533896208e-14 2.364643807867371446e-16
5.520328328534886168e+03 1.357063122270572424e-14 2.341667103509316442e-16
5.525207654673926299e+03 1.263658586525381171e-14 2.248185551689068902e-16
5.530086980812966431e+03 1.295849258987843574e-14 2.280806594496049228e-16
5.534966306952006562e+03 1.285063992840113525e-14 2.275102267064124193e-16
5.539845633091046693e+03 1.315510744122242336e-14 2.293622688195750463e-16
5.544724959230086824e+03 1.365299829667264810e-14 2.334813281037322183e-16
5.549604285369126956e+03 1.411823716704533188e-14 2.338946332697513852e-16
5.554483611508167087e+03 1.443273029538225013e-14 2.358748872272430417e-16
5.559362937647207218e+03 1.493552957421973296e-14 2.403784202298386298e-16
5.564242263786247349e+03 1.531843589419844439e-14 2.404461209637765629e-16
5.569121589925287481e+03 1.525237606389096123e-14 2.387768801682922097e-16
5.574000916064327612e+03 1.595445988264590193e-14 2.527527271393812273e-16
5.578880242203367743e+03 1.594952125235432091e-14 2.468784891935324648e-16
5.583759568342407874e+03 1.612654303319606265e-14 2.447930950087950248e-16
5.588638894481448006e+03 1.649428682819561383e-14 2.457010837387723705e-16
5.593518220620488137e+03 1.746968291221833581e-14 2.888574675109126940e-16
5.598397546759528268e+03 1.657872658506856002e-14 2.475411823202163409e-16
5.603276872898568399e+03 1.679487443126426151e-14 2.440847592905969567e-16
5.608156199037608530e+03 1.633233870921172452e-14 2.424607291960141327e-16
