# PSN07 ock418030 G750L CCD z=0.0049 a2center=894.7 extrsize=23 exptime=100.0 mode=adaptive_es25@0.98 flags=no_defringe(no_flat)
# rest_wvl obs_wvl flux error net dq mask
5216.9734 5242.5366 2.242953e-14 2.096085e-15 5.656209e+00 512 0
5221.8257 5247.4127 1.534043e-14 1.129383e-15 6.466617e+00 528 0
5226.6781 5252.2888 1.557075e-14 8.458206e-16 9.292706e+00 512 0
5231.5304 5257.1649 1.623851e-14 6.905008e-16 1.257954e+01 512 0
5236.3829 5262.0411 1.579107e-14 5.857511e-16 1.503872e+01 512 0
5241.2353 5266.9174 1.809331e-14 5.379738e-16 2.055648e+01 528 0
5246.0878 5271.7936 1.922246e-14 4.911716e-16 2.532879e+01 512 0
5250.9403 5276.6699 1.975119e-14 4.524189e-16 2.957902e+01 512 0
5255.7929 5281.5463 2.034138e-14 4.342968e-16 3.419389e+01 528 0
5260.6455 5286.4227 2.112822e-14 4.032602e-16 3.940543e+01 512 0
5265.4982 5291.2991 2.034114e-14 3.833730e-16 4.163798e+01 0 0
5270.3509 5296.1756 2.086128e-14 3.596931e-16 4.652415e+01 272 0
5275.2036 5301.0521 1.975251e-14 3.372730e-16 4.731865e+01 16 0
5280.0563 5305.9286 1.938365e-14 3.245713e-16 4.845983e+01 16 0
5284.9091 5310.8052 1.940700e-14 3.174542e-16 5.033797e+01 16 0
5289.7620 5315.6818 1.884058e-14 3.162635e-16 4.932183e+01 16 0
5294.6148 5320.5585 1.827577e-14 3.142927e-16 4.802746e+01 16 0
5299.4678 5325.4352 2.827544e-14 4.243515e-16 7.357594e+01 16 0
5304.3207 5330.3119 1.987901e-14 3.460090e-16 5.074333e+01 16 0
5309.1737 5335.1886 1.752614e-14 3.202770e-16 4.352893e+01 16 0
5314.0267 5340.0655 1.710650e-14 3.164078e-16 4.153444e+01 0 0
5318.8798 5344.9423 1.725992e-14 3.252869e-16 4.093386e+01 16 0
5323.7329 5349.8192 1.751155e-14 3.322565e-16 4.060655e+01 16 0
5328.5860 5354.6961 1.745174e-14 3.379987e-16 3.976594e+01 16 0
5333.4392 5359.5730 1.751943e-14 3.349898e-16 3.924350e+01 0 0
5338.2924 5364.4500 1.733075e-14 3.373301e-16 3.841223e+01 16 0
5343.1456 5369.3271 1.716933e-14 3.414050e-16 3.768200e+01 16 0
5347.9989 5374.2041 1.712273e-14 3.378392e-16 3.746960e+01 16 0
5352.8522 5379.0812 1.757620e-14 3.409153e-16 3.843756e+01 0 0
5357.7056 5383.9583 1.780649e-14 3.428777e-16 3.913038e+01 16 0
5362.5590 5388.8355 1.689295e-14 3.335959e-16 3.735113e+01 0 0
5367.4124 5393.7127 1.739340e-14 3.344980e-16 3.891405e+01 0 0
5372.2659 5398.5900 1.746900e-14 3.329404e-16 3.959898e+01 0 0
5377.1194 5403.4672 1.746900e-14 3.330212e-16 4.025576e+01 16 0
5381.9729 5408.3446 1.711985e-14 3.291928e-16 4.014135e+01 16 0
5386.8265 5413.2219 1.782784e-14 3.592256e-16 4.267230e+01 16 0
5391.6801 5418.0993 1.785639e-14 3.212229e-16 4.365603e+01 16 0
5396.5337 5422.9767 1.790473e-14 3.159034e-16 4.475634e+01 0 0
5401.3874 5427.8542 1.785109e-14 3.108341e-16 4.557474e+01 0 0
5406.2411 5432.7317 1.750621e-14 3.070719e-16 4.562710e+01 16 0
5411.0948 5437.6092 1.775028e-14 3.015840e-16 4.726114e+01 16 0
