# obs_wvl flux error
1.580000000000000000e+03 9.162006792632356482e-14 4.592387058322882228e-14
1.581548328004116229e+03 3.161395603728651865e-14 2.421625052621148417e-14
1.583096656008232458e+03 -7.630563515014587660e-15 1.101073794817446690e-14
1.584644984012348687e+03 -5.643366875508749616e-15 7.185892716227992166e-15
1.586193312016464915e+03 -3.164943889338338380e-15 5.534810197323896333e-15
1.587741640020581144e+03 1.127265838040920181e-15 4.565984602527701298e-15
1.589289968024697373e+03 -3.905162469906000405e-16 3.780284340988209186e-15
1.590838296028813602e+03 2.279954087555895483e-15 3.395681129430261563e-15
1.592386624032929831e+03 1.809630406093944684e-15 2.914742058757503972e-15
1.593934952037046060e+03 1.010922534594992701e-15 2.551801507473561618e-15
1.595483280041162288e+03 -2.010881159713877622e-15 2.115836635956045278e-15
1.597031608045278517e+03 -7.417357916815277879e-16 1.956581891957938556e-15
1.598579936049394746e+03 -2.699394087558363009e-15 1.669201544774377207e-15
1.600128264053510975e+03 -4.455299459179902310e-15 1.390129924045771745e-15
1.601676592057627204e+03 -3.594876651217450971e-15 1.298310302101937566e-15
1.603224920061743433e+03 -1.394544734241681730e-15 1.218205761085180237e-15
1.604773248065859661e+03 9.175221264880466465e-16 1.182912985163874397e-15
1.606321576069975890e+03 -3.336179796120866769e-16 1.034224262796310052e-15
1.607869904074092119e+03 1.493092407770344499e-17 9.555497805572221127e-16
1.609418232078208348e+03 2.941333970455008350e-16 8.929482498335848264e-16
1.610966560082324577e+03 -8.871636929957579883e-16 7.737452194665373224e-16
1.612514888086440806e+03 -1.444132456138456065e-15 6.959935714607574467e-16
1.614063216090557034e+03 -9.341546295884829763e-16 6.544352709326377117e-16
1.615611544094673263e+03 1.184183731960828574e-16 6.470292251143061678e-16
1.617159872098789492e+03 -2.807058752898965544e-16 5.791742624755000745e-16
1.618708200102905721e+03 -2.772647184874315243e-16 5.527058606649275220e-16
1.620256528107021950e+03 1.908802189105651850e-16 5.288427286034067988e-16
1.621804856111138179e+03 4.510158046001186627e-16 5.107539600900822390e-16
1.623353184115254408e+03 -7.312870865249106028e-18 4.567453695995492785e-16
1.624901512119370636e+03 -5.827435383476624324e-16 4.134962243201164849e-16
1.626449840123486865e+03 4.124226456045412584e-16 4.295750196872670201e-16
1.627998168127603094e+03 3.582011635916896385e-16 4.027395065520760440e-16
1.629546496131719323e+03 3.505065919790299691e-16 3.877888616037142788e-16
1.631094824135835552e+03 6.090127860384380079e-17 3.530625666540307848e-16
1.632643152139951781e+03 9.623391357072814041e-17 3.445101807422466886e-16
1.634191480144068009e+03 4.650186137029010242e-16 3.382577570860601372e-16
1.635739808148184238e+03 4.450389679751943459e-16 3.258077664962855013e-16
1.637288136152300467e+03 5.319006048426301524e-16 3.193763004549077842e-16
1.638836464156416696e+03 3.112441525012581806e-16 2.954769410380688986e-16
1.640384792160532925e+03 -3.757987596638560531e-17 2.708170908681383320e-16
1.641933120164649154e+03 -3.441836867946764378e-16 2.497601059825195231e-16
1.643481448168765382e+03 -2.844987317411396916e-16 2.450520839576508480e-16
1.645029776172881611e+03 -2.087905041999046746e-16 2.402993354296009299e-16
1.646578104176997840e+03 -1.632128542243539420e-16 2.336753102365910597e-16
1.648126432181114069e+03 -7.091085766738444718e-18 2.331487353882292003e-16
1.649674760185230298e+03 -9.658298056859918342e-17 2.223299188864857266e-16
1.651223088189346527e+03 4.235876777240502729e-16 2.406675485763331311e-16
1.652771416193462755e+03 3.147468696978945571e-17 2.114241707378102456e-16
1.654319744197578984e+03 -2.790106267562397466e-17 2.098365542360553926e-16
1.655868072201695213e+03 1.412578424078905997e-16 2.081456418862192644e-16
1.657416400205811442e+03 -8.566148887390104402e-17 1.916634703183152940e-16
1.658964728209927671e+03 -1.244791600346077289e-16 1.882002958965137232e-16
1.660513056214043900e+03 -1.427353175017298567e-16 1.838756481324321906e-16
1.662061384218160129e+03 -7.058121411257720670e-17 1.857409863714997469e-16
1.663609712222276357e+03 -1.192961417817641010e-16 1.769546938313492731e-16
1.665158040226392586e+03 -6.456102398803502707e-17 1.762314839082782453e-16
1.666706368230508815e+03 -2.150890597915372019e-17 1.740361313411953975e-16
1.668254696234625044e+03 4.277168842363233141e-17 1.716386841294791519e-16
1.669803024238741273e+03 1.257055298846925877e-16 1.734923879902646024e-16
1.671351352242857502e+03 2.877860564738500138e-17 1.660025595919852572e-16
1.672899680246973730e+03 5.595608655304381653e-17 1.649144508788944770e-16
1.674448008251089959e+03 -2.747088044858342846e-17 1.573305716027011704e-16
1.675996336255206188e+03 -2.217415744078426387e-16 1.478397811038927221e-16
1.677544664259322417e+03 -9.862306210191203470e-17 1.537887087173730986e-16
1.679092992263438646e+03 1.308202720658520022e-16 1.584426913240096487e-16
1.680641320267554875e+03 7.828674058676411529e-17 1.519288679786350852e-16
1.682189648271671103e+03 -1.420820346902027724e-16 1.382122264598483654e-16
1.683737976275787332e+03 3.026180572775378518e-17 1.502850730210207343e-16
1.685286304279903561e+03 5.841648759699110110e-17 1.447634230455929748e-16
1.686834632284019790e+03 -8.019512990533154236e-17 1.376730629859855186e-16
1.688382960288136019e+03 2.916698887454813403e-17 1.421987272130313409e-16
1.689931288292252248e+03 -1.230994720688005858e-17 1.369306053958113566e-16
1.691479616296368476e+03 2.049646820793774625e-17 1.383862932386396223e-16
1.693027944300484705e+03 1.036768960256081528e-16 1.376257131550852939e-16
1.694576272304600934e+03 3.808572607171820357e-16 1.505684350473698746e-16
1.696124600308717163e+03 8.064225662896810380e-17 1.313275657341473871e-16
1.697672928312833392e+03 9.563893432894655338e-17 1.351853566703745659e-16
1.699221256316949621e+03 1.220206890828094783e-16 1.320748271870430651e-16
1.700769584321065850e+03 -6.400648477018663318e-17 1.220388324085088196e-16
