# PSN07 ock411020 G230L MAMA z=0.0049 a2center=521.1 extrsize=11 exptime=1653.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1562.1682 1569.8228 0.000000e+00 0.000000e+00 -5.210720e-03 2564 0
1563.7042 1571.3664 0.000000e+00 0.000000e+00 4.626637e-03 2564 0
1565.2403 1572.9100 0.000000e+00 0.000000e+00 -1.656351e-03 2564 0
1566.7764 1574.4536 0.000000e+00 0.000000e+00 -3.119169e-04 2564 0
1568.3125 1575.9972 0.000000e+00 0.000000e+00 5.647570e-03 2560 0
1569.8486 1577.5409 0.000000e+00 0.000000e+00 -1.865055e-03 512 0
1571.3847 1579.0845 0.000000e+00 0.000000e+00 -5.134738e-03 512 0
1572.9208 1580.6282 1.848071e-13 8.238913e-14 9.290893e-03 0 0
1574.4570 1582.1718 -7.387600e-14 2.907177e-14 -8.991676e-03 0 0
1575.9931 1583.7155 2.349422e-14 1.896273e-14 4.542341e-03 0 0
1577.5293 1585.2592 -2.325691e-15 1.404665e-14 -6.166579e-04 0 0
1579.0654 1586.8028 5.081925e-15 1.160833e-14 1.713363e-03 0 0
1580.6016 1588.3465 -1.851837e-15 9.006181e-15 -7.580178e-04 0 0
1582.1378 1589.8902 -8.621729e-15 7.140189e-15 -4.153120e-03 0 0
1583.6740 1591.4340 5.113817e-15 7.189316e-15 2.834622e-03 0 0
1585.2101 1592.9777 -4.250934e-15 5.595591e-15 -2.665814e-03 0 0
1586.7464 1594.5214 6.817194e-15 5.658922e-15 4.876262e-03 0 0
1588.2826 1596.0651 -1.088168e-16 4.621466e-15 -8.765256e-05 0 0
1589.8188 1597.6089 -4.617839e-15 3.774485e-15 -4.207010e-03 0 0
1591.3550 1599.1527 -5.626512e-15 3.171861e-15 -5.734135e-03 0 0
1592.8913 1600.6964 -7.309832e-15 2.650477e-15 -8.339685e-03 0 0
1594.4275 1602.2402 -2.705556e-15 2.806490e-15 -3.423759e-03 0 0
1595.9638 1603.7840 7.943305e-16 2.711419e-15 1.114083e-03 0 0
1597.5000 1605.3278 8.111753e-17 2.436964e-15 1.251406e-04 0 0
1599.0363 1606.8716 -2.680122e-15 1.985929e-15 -4.542838e-03 0 0
1600.5726 1608.4154 2.888866e-16 2.006967e-15 5.346691e-04 0 0
1602.1089 1609.9592 8.317074e-16 1.948784e-15 1.678876e-03 0 0
1603.6452 1611.5030 -4.327861e-16 1.673309e-15 -9.479487e-04 0 0
1605.1815 1613.0469 -3.494956e-16 1.587484e-15 -8.295041e-04 0 0
1606.7178 1614.5907 -1.473408e-15 1.319074e-15 -3.773068e-03 0 0
1608.2541 1616.1346 3.460467e-15 1.614937e-15 9.544007e-03 0 0
1609.7905 1617.6785 -6.906441e-16 1.233089e-15 -2.043933e-03 0 0
1611.3268 1619.2223 -2.754725e-16 1.167389e-15 -8.730014e-04 0 0
1612.8632 1620.7662 1.055512e-15 1.162902e-15 3.570480e-03 0 0
1614.3996 1622.3101 1.689107e-15 1.184076e-15 6.085283e-03 0 0
1615.9359 1623.8540 -7.612005e-16 8.899902e-16 -2.912422e-03 0 0
1617.4723 1625.3979 -1.208740e-15 8.241943e-16 -4.900255e-03 0 0
1619.0087 1626.9418 5.139273e-16 9.014698e-16 2.202035e-03 0 0
1620.5451 1628.4858 -4.185211e-16 8.100767e-16 -1.890999e-03 0 0
