# obs_wvl flux error
1.579000000000000000e+03 1.393873201394831315e-14 6.201143044937205279e-14
1.582096713496559914e+03 4.685502833414146211e-15 1.411932280110815504e-14
1.585193426993119829e+03 -6.674694007928697057e-15 4.936980834009170839e-15
1.588290140489679743e+03 -3.348143308749024579e-15 3.147607236416705032e-15
1.591386853986239657e+03 1.418844843240416674e-15 2.423153226895350098e-15
1.594483567482799572e+03 -8.998408277174939739e-16 1.819429809302885293e-15
1.597580280979359486e+03 4.177666610253158402e-16 1.477654950495978304e-15
1.600676994475919400e+03 -1.364553078332613196e-15 1.144991708169310990e-15
1.603773707972479315e+03 -2.022592677264810496e-15 8.715854998311925920e-16
1.606870421469039229e+03 -2.285182386265096780e-16 7.767468590276048102e-16
1.609967134965599143e+03 -2.090741350905694491e-17 6.605584257693323743e-16
1.613063848462159058e+03 8.630146720620613463e-16 5.812283599927636600e-16
1.616160561958718972e+03 1.715813602275030830e-19 4.790292531380712795e-16
1.619257275455278887e+03 -2.458465146879568764e-16 4.141704535934399039e-16
1.622353988951838801e+03 -6.302442984106821083e-16 3.475178869628247824e-16
1.625450702448398715e+03 -5.779831094246830107e-17 3.253697027369523727e-16
1.628547415944958630e+03 4.749772389346379073e-16 3.148629049213420107e-16
1.631644129441518544e+03 7.386785173073088419e-17 2.729533685576162635e-16
1.634740842938078458e+03 6.980627886695618385e-17 2.512945095933104650e-16
1.637837556434638373e+03 -1.835263769694428544e-16 2.151212501632304129e-16
1.640934269931198287e+03 -1.234683109519302588e-16 2.035404117995344842e-16
1.644030983427758201e+03 -5.596472766580066794e-16 1.677872288737456934e-16
1.647127696924318116e+03 -3.665623117863580295e-16 1.659495075214123026e-16
1.650224410420878030e+03 -3.896155203373384949e-16 1.541134825886684516e-16
1.653321123917437944e+03 -1.097115948367314140e-16 1.571732287969302557e-16
1.656417837413997859e+03 -3.808579620257840195e-16 1.365152393589353574e-16
1.659514550910557773e+03 1.332637978027687613e-16 1.551322782799925334e-16
1.662611264407117687e+03 5.652559253302812283e-17 1.412391926628954391e-16
1.665707977903677602e+03 -5.968911459590105978e-17 1.295086451682018645e-16
1.668804691400237516e+03 3.399802007345551342e-17 1.273574100057545782e-16
1.671901404896797430e+03 -1.574203427440089411e-16 1.148547771767279173e-16
1.674998118393357345e+03 1.433425277557624776e-16 1.250187268859662420e-16
1.678094831889917259e+03 1.975913015901171174e-16 1.208799789962959902e-16
1.681191545386477173e+03 1.762305305152505368e-17 1.121210767351120737e-16
1.684288258883037088e+03 2.302486493092393141e-19 1.074331449389974755e-16
1.687384972379597002e+03 1.757994572085394416e-18 1.030439033984670084e-16
1.690481685876156916e+03 -6.832535489698854974e-17 9.767891142880654368e-17
1.693578399372716831e+03 -2.769957186462652742e-17 9.657667652891910617e-17
