# obs_wvl flux error
1.580000000000000000e+03 -4.748303277709250786e-14 6.216664774240693705e-14
1.581547866416162378e+03 3.474885482877901029e-14 1.681143613734137782e-14
1.583095732832324757e+03 -2.286474191283464358e-15 9.048965072094269602e-15
1.584643599248487135e+03 -2.506400096204883906e-15 6.313210880512155841e-15
1.586191465664649513e+03 5.267874809155315420e-15 5.159998274958124646e-15
1.587739332080811892e+03 -4.342718218280278509e-15 3.870786036647935022e-15
1.589287198496974270e+03 -9.542694614799514961e-16 3.381251291990535516e-15
1.590835064913136648e+03 -5.033014649016692043e-15 2.704202220419043738e-15
1.592382931329299026e+03 8.564429571130233256e-16 2.598005413376015662e-15
1.593930797745461405e+03 1.378163819353677383e-15 2.341537192576575018e-15
1.595478664161623783e+03 2.176479215494661109e-15 2.135873918887697268e-15
1.597026530577786161e+03 -2.517831970858143377e-16 1.758539892352352449e-15
1.598574396993948540e+03 -1.221465804482765472e-15 1.546737694001419028e-15
1.600122263410110918e+03 1.890108399841545999e-15 1.506566718394445740e-15
1.601670129826273296e+03 -7.092796003394925355e-16 1.245555233528228855e-15
1.603217996242435675e+03 -2.509721833114456135e-16 1.148259056137391504e-15
1.604765862658598053e+03 -7.503385282599918990e-16 1.013661254146817505e-15
1.606313729074760431e+03 -1.167431263825514784e-15 8.760487642088417659e-16
1.607861595490922809e+03 -5.598180141603546511e-16 8.492582699253315885e-16
1.609409461907085188e+03 7.223793895433442261e-16 8.140494098627944998e-16
1.610957328323247566e+03 3.495972195050577804e-16 7.598704609353617191e-16
1.612505194739409944e+03 -8.667437607018367997e-16 6.221078627345246552e-16
1.614053061155572323e+03 -2.976704889538354816e-17 6.150769188818014900e-16
1.615600927571734701e+03 -5.606559705415216136e-16 5.508833341036021490e-16
1.617148793987897079e+03 -2.426769794811369282e-16 5.304305761691181088e-16
1.618696660404059458e+03 2.718437900571700846e-16 5.011927772104283486e-16
1.620244526820221836e+03 1.550237931669208680e-18 4.666739828322721783e-16
1.621792393236384214e+03 2.004085148304579971e-16 4.429505377903228826e-16
1.623340259652546592e+03 -2.074783187137271616e-17 4.125254773256449724e-16
1.624888126068708971e+03 -2.819423750164158685e-16 3.670998885450672584e-16
1.626435992484871349e+03 -4.836289755325264891e-16 3.494946773945138463e-16
1.627983858901033727e+03 2.055168472263175134e-16 3.507415551720047324e-16
1.629531725317196106e+03 1.066978195313616967e-16 3.243123753227733894e-16
1.631079591733358484e+03 3.361991044945042759e-16 3.239239361657958304e-16
1.632627458149520862e+03 -1.666767733009513996e-16 2.894933505370249841e-16
1.634175324565683241e+03 -1.998315521244854719e-16 2.756456013047864446e-16
1.635723190981845619e+03 -3.455092158832378188e-16 2.539211386734685453e-16
1.637271057398007997e+03 -3.322012900257535660e-16 2.433083311872493278e-16
1.638818923814170375e+03 -1.050877311785695567e-16 2.416539456273482138e-16
1.640366790230332754e+03 1.361389964906339458e-17 2.410108677852190571e-16
1.641914656646495132e+03 -5.465301358573669332e-17 2.263319147468907955e-16
1.643462523062657510e+03 -2.619594582292194412e-16 2.077363306663570873e-16
1.645010389478819889e+03 1.712192277175290632e-17 2.122317156853278035e-16
1.646558255894982267e+03 -1.863941326695542160e-16 1.988840152457032829e-16
1.648106122311144645e+03 5.909463977816283977e-17 1.999843496087318474e-16
1.649653988727307024e+03 1.286599114635258577e-16 2.032931520840024801e-16
1.651201855143469402e+03 -2.988466480118220043e-16 1.714511304443014492e-16
1.652749721559631780e+03 9.544913968376504928e-17 1.861913681675673036e-16
1.654297587975794158e+03 7.803310364793574987e-17 1.788322849235124132e-16
1.655845454391956537e+03 -4.430991959381063393e-17 1.696428695372811695e-16
1.657393320808118915e+03 -2.541317335508474134e-16 1.534512054454221145e-16
1.658941187224281293e+03 1.144179838939609884e-16 1.685255988059404714e-16
1.660489053640443672e+03 3.418442582311856789e-16 1.739413394638488395e-16
1.662036920056606050e+03 -1.011162473988322147e-16 1.485559580935857888e-16
1.663584786472768428e+03 8.991285970771853555e-17 1.529299931820893493e-16
1.665132652888930807e+03 3.974761948254786224e-17 1.504453361768723582e-16
1.666680519305093185e+03 -4.926198734563377311e-17 1.402857171115827528e-16
1.668228385721255563e+03 -2.257420864207735665e-17 1.404246798059219428e-16
1.669776252137417941e+03 -1.371967879535872822e-16 1.326368514767659525e-16
1.671324118553580320e+03 -1.112902802145241942e-16 1.277222302829322858e-16
1.672871984969742698e+03 -1.958474120580486550e-16 1.232463340802672187e-16
1.674419851385905076e+03 -5.891396546477908940e-17 1.265149527059996653e-16
1.675967717802067455e+03 1.568726001159032143e-16 1.374982685046267944e-16
1.677515584218229833e+03 -1.313326303326548547e-16 1.179881078455910296e-16
1.679063450634392211e+03 6.277758314833657419e-17 1.240262351019643182e-16
1.680611317050554590e+03 5.978315881314612674e-17 1.179051593988770800e-16
1.682159183466716968e+03 1.249028910588193775e-16 1.228581270674358441e-16
1.683707049882879346e+03 2.338509344506354762e-17 1.154054699334925550e-16
1.685254916299041724e+03 5.881841834630252814e-17 1.157828996759834448e-16
1.686802782715204103e+03 1.845510616283271070e-16 1.164711423674714800e-16
1.688350649131366481e+03 1.801762659217954635e-16 1.179514047018877059e-16
