epoch,detector,grating,scale,slope,intercept,factor
2011-12-11_day9,MAMA,G230L,none,None,None,None
2011-12-11_day9,CCD,G430L,none,None,None,None
2011-12-11_day9,CCD,G750L,none,None,None,None
2011-12-15_day14,MAMA,G230L,none,None,None,None
2011-12-15_day14,CCD,G430L,none,None,None,None
2011-12-15_day14,CCD,G750L,none,None,None,None
2011-12-20_day19,MAMA,G230L,none,None,None,None
2011-12-20_day19,CCD,G430L,none,None,None,None
2011-12-20_day19,CCD,G750L,none,None,None,None
2011-12-24_day23,MAMA,G230L,none,None,None,None
2011-12-24_day23,CCD,G430L,none,None,None,None
2011-12-24_day23,CCD,G750L,none,None,None,None
2011-12-28_day26,MAMA,G230L,none,None,None,None
2011-12-28_day26,CCD,G430L,none,None,None,None
2011-12-28_day26,CCD,G750L,none,None,None,None
2012-01-01_day30,MAMA,G230L,none,None,None,None
2012-01-01_day30,CCD,G430L,none,None,None,None
2012-01-01_day30,CCD,G750L,none,None,None,None
2012-01-09_day38,MAMA,G230L,none,None,None,None
2012-01-09_day38,CCD,G430L,none,None,None,None
2012-01-09_day38,CCD,G750L,none,None,None,None
