# obs_wvl flux error
5.288000000000000000e+03 4.379613318542225652e-14 4.265725527832635638e-16
5.297758042747163017e+03 4.329358873971265123e-14 2.893390190587707223e-16
5.307516085494326035e+03 4.127743473937697641e-14 2.678862081444024213e-16
5.317274128241489052e+03 4.148708262092745427e-14 2.665204919340782864e-16
5.327032170988652069e+03 4.155900035680472697e-14 2.800568008501332043e-16
5.336790213735815087e+03 3.932690031894118228e-14 2.722121997265863698e-16
5.346548256482978104e+03 3.887411996996366575e-14 2.972398910276817347e-16
5.356306299230141121e+03 3.969825790011071691e-14 2.788072370993104221e-16
5.366064341977304139e+03 3.879568305668297911e-14 2.813596227278297046e-16
5.375822384724467156e+03 3.918513885594332004e-14 2.830120977270315107e-16
5.385580427471630173e+03 3.899276274568523621e-14 2.818564710700708392e-16
5.395338470218793191e+03 3.955439645422638365e-14 2.817314808705918001e-16
5.405096512965956208e+03 4.040409792821728394e-14 2.791378454161928860e-16
5.414854555713119225e+03 4.105260586503767232e-14 3.053198720833342431e-16
5.424612598460282243e+03 4.048107734478752737e-14 3.036900880309111738e-16
5.434370641207445260e+03 3.928266950305296732e-14 2.621688735424294300e-16
5.444128683954608277e+03 3.945301203103126893e-14 2.529817072493299900e-16
5.453886726701771295e+03 3.841417680926333125e-14 2.504664879310194452e-16
5.463644769448934312e+03 3.724901863312341017e-14 2.337022095927832240e-16
5.473402812196097329e+03 3.565121109474799557e-14 2.267256951808349480e-16
5.483160854943260347e+03 3.474159014582912648e-14 2.197649152593339284e-16
5.492918897690423364e+03 3.338720449915338682e-14 2.141149424520277067e-16
5.502676940437586381e+03 3.215328366542539349e-14 2.092084334609645814e-16
5.512434983184749399e+03 3.170551852544416615e-14 2.073832051423185381e-16
5.522193025931912416e+03 3.219327205003902242e-14 2.076448075017351044e-16
5.531951068679075433e+03 3.344861603681571750e-14 2.114796608892578512e-16
5.541709111426238451e+03 3.508535246239126381e-14 2.316364351631484693e-16
5.551467154173401468e+03 3.610241681431902373e-14 2.328110102165803771e-16
5.561225196920564485e+03 3.802401263507746563e-14 2.281604623454940575e-16
5.570983239667727503e+03 3.892646288705375178e-14 2.267985241897210052e-16
5.580741282414890520e+03 3.959408944109739440e-14 2.256489360191482601e-16
5.590499325162053537e+03 3.950488351012563247e-14 2.404031224616617065e-16
5.600257367909216555e+03 3.966050275915629369e-14 2.271863537048749036e-16
5.610015410656379572e+03 3.937955788180076992e-14 2.212749773945213447e-16
5.619773453403542590e+03 4.039727321160395657e-14 2.268549552755924261e-16
5.629531496150705607e+03 4.052425548731626635e-14 2.278690027301259364e-16
5.639289538897868624e+03 3.899930991781352593e-14 2.157192718022097984e-16
5.649047581645031642e+03 3.877156316530946094e-14 2.153967824705390251e-16
5.658805624392194659e+03 3.812478332095683426e-14 2.128303428801366003e-16
5.668563667139357676e+03 3.722542396487800642e-14 2.185647345574838713e-16
5.678321709886520694e+03 3.655195600901417548e-14 2.079645291648416409e-16
5.688079752633683711e+03 3.548539676972035444e-14 2.061375937093294598e-16
5.697837795380846728e+03 3.495367253469979838e-14 2.005424751425391032e-16
5.707595838128009746e+03 3.458690225708849741e-14 1.986183260297271500e-16
5.717353880875172763e+03 3.386816386270531109e-14 1.964314652982005663e-16
5.727111923622335780e+03 3.337806024845853998e-14 1.960298026859697561e-16
5.736869966369498798e+03 3.296604536886667288e-14 1.932078713104986072e-16
5.746628009116661815e+03 3.169719607259537913e-14 1.891615351519202835e-16
5.756386051863824832e+03 3.060191415195050075e-14 1.875177618845018511e-16
5.766144094610987850e+03 2.948126208243138070e-14 1.827642414127892736e-16
5.775902137358150867e+03 2.792918598459446049e-14 1.774342562932104760e-16
5.785660180105313884e+03 2.619454624990761838e-14 1.708025582950388128e-16
5.795418222852476902e+03 2.503520418254954980e-14 1.687262320360483406e-16
5.805176265599639919e+03 2.406852599938040239e-14 1.686605714642968841e-16
5.814934308346802936e+03 2.409013776127837929e-14 1.645310266256728400e-16
5.824692351093965954e+03 2.458302054023574314e-14 1.654445702109716518e-16
5.834450393841128971e+03 2.558220441747862763e-14 1.672020703396328533e-16
5.844208436588291988e+03 2.720707931967739420e-14 1.741340083867046049e-16
5.853966479335455006e+03 2.857280799788138240e-14 1.832093913509003972e-16
5.863724522082618023e+03 2.964662075991148467e-14 1.915812253101201795e-16
5.873482564829781040e+03 3.055679176805890969e-14 2.071781336322301043e-16
5.883240607576944058e+03 3.217821125646969449e-14 1.876777612500342745e-16
5.892998650324107075e+03 3.339700122078031786e-14 1.893164135137791938e-16
5.902756693071270092e+03 3.308183355938748495e-14 2.003959588588075602e-16
5.912514735818433110e+03 3.312095711626247152e-14 2.100519419794317750e-16
5.922272778565596127e+03 3.392650170022567324e-14 1.906442385829511141e-16
5.932030821312759144e+03 3.348090332814546964e-14 1.905400521520232501e-16
5.941788864059922162e+03 3.298614992658922793e-14 1.864130891685566707e-16
5.951546906807085179e+03 3.298932968503666943e-14 1.868906311432771287e-16
5.961304949554248196e+03 3.240187357484961533e-14 1.855583959385726730e-16
5.971062992301411214e+03 3.258202700723384778e-14 1.859129763851159520e-16
5.980821035048574231e+03 3.262857192263776829e-14 1.852965579812254427e-16
5.990579077795737248e+03 3.228512991112520132e-14 1.851513010425552184e-16
6.000337120542900266e+03 3.246618827207043745e-14 1.845469919234712974e-16
6.010095163290063283e+03 3.209337657709631019e-14 1.835096600184353935e-16
6.019853206037226300e+03 3.151350548379680923e-14 1.920570044235098732e-16
6.029611248784389318e+03 3.067993614376247882e-14 2.009088150400299934e-16
6.039369291531552335e+03 3.015988726268890417e-14 2.015663278266279911e-16
6.049127334278715352e+03 2.965752685956631930e-14 1.769268508086584521e-16
6.058885377025878370e+03 2.976280671737211219e-14 1.861278632763117744e-16
6.068643419773041387e+03 2.882465652212529059e-14 1.717935499593001304e-16
6.078401462520204404e+03 2.865493693355277937e-14 1.717755786769186783e-16
6.088159505267367422e+03 2.821337692822575706e-14 1.681063703600454326e-16
6.097917548014530439e+03 2.649907104593945435e-14 1.667668316104335549e-16
6.107675590761693456e+03 2.355859258967826664e-14 1.562845750549308125e-16
6.117433633508856474e+03 2.095482750725787079e-14 1.466323443956298469e-16
6.127191676256019491e+03 1.914429975169900281e-14 1.401893594698088861e-16
6.136949719003182508e+03 1.757912013926809164e-14 1.490851086747691861e-16
6.146707761750345526e+03 1.518229011934742508e-14 1.279589775609778133e-16
6.156465804497508543e+03 1.357957333518023823e-14 1.219945369024211580e-16
6.166223847244671560e+03 1.297521439542141548e-14 1.253104691866077375e-16
6.175981889991834578e+03 1.241956111159647382e-14 1.186226458792281363e-16
6.185739932738997595e+03 1.248115200353247507e-14 1.197373302411050427e-16
6.195497975486160612e+03 1.370436828882513386e-14 1.376376922899316415e-16
6.205256018233323630e+03 1.369874313722622941e-14 1.231931086484750741e-16
6.215014060980486647e+03 1.481611000095110757e-14 1.280834125146716340e-16
6.224772103727649665e+03 1.562516815007248624e-14 1.304944234072160920e-16
6.234530146474812682e+03 1.683464801068099235e-14 1.343261891720112500e-16
6.244288189221975699e+03 1.815152057087394375e-14 1.363924074724693401e-16
6.254046231969138717e+03 1.945162004490909120e-14 1.404003903144365079e-16
6.263804274716301734e+03 2.077576592826566199e-14 1.437534897526902885e-16
6.273562317463464751e+03 2.225660506460376412e-14 1.500310969585368881e-16
6.283320360210627769e+03 2.332254471153074954e-14 1.521362552526484593e-16
6.293078402957790786e+03 2.387159448125504006e-14 1.557986155692893020e-16
6.302836445704953803e+03 2.478356360910230162e-14 1.546899390469338675e-16
6.312594488452116821e+03 2.583665248226800687e-14 1.704575702011010384e-16
6.322352531199279838e+03 2.670882847035636796e-14 1.617287432880822223e-16
6.332110573946442855e+03 2.718004939565447892e-14 1.816240079279385513e-16
6.341868616693605873e+03 2.790925673530748855e-14 1.634494679304339861e-16
6.351626659440768890e+03 2.864347312963399636e-14 1.649869949719637291e-16
6.361384702187931907e+03 2.919102582120575942e-14 1.641028721177771400e-16
6.371142744935094925e+03 2.894077021323449958e-14 1.626209326431889015e-16
6.380900787682257942e+03 2.919817677279967019e-14 1.626761759008394998e-16
6.390658830429420959e+03 2.986395617219636322e-14 1.645131524330341246e-16
6.400416873176583977e+03 2.971597403593660669e-14 1.627315668165652492e-16
6.410174915923746994e+03 2.951934756205833451e-14 1.640989965725351019e-16
6.419932958670910011e+03 2.927732118421977042e-14 1.837955792900321429e-16
6.429691001418073029e+03 2.976235972655144758e-14 1.634762236227055443e-16
6.439449044165236046e+03 2.985093926295473690e-14 1.633729904647168344e-16
6.449207086912399063e+03 2.982664160309662886e-14 1.626895902757594066e-16
6.458965129659562081e+03 2.911833030124212216e-14 1.635132139074349496e-16
6.468723172406725098e+03 2.882248835986098751e-14 1.671537938012889718e-16
6.478481215153888115e+03 2.920067251726414517e-14 1.639595807160122705e-16
6.488239257901051133e+03 2.847772049536021589e-14 1.757256981475330804e-16
6.497997300648214150e+03 2.840941470615242109e-14 1.612644615737499126e-16
6.507755343395377167e+03 2.804046984457291019e-14 1.593662348282167634e-16
6.517513386142540185e+03 2.799072297831450247e-14 2.005557002391721584e-16
6.527271428889703202e+03 2.778008681066558199e-14 1.965552134424989692e-16
6.537029471636866219e+03 2.744724216220660200e-14 1.577672720789583807e-16
6.546787514384029237e+03 2.695148627888131510e-14 1.570384127268275596e-16
6.556545557131192254e+03 2.629174723937869494e-14 1.707555488916328271e-16
6.566303599878355271e+03 2.593075203336774028e-14 1.606879988548438489e-16
6.576061642625518289e+03 2.578411501385117860e-14 1.535791945544574200e-16
6.585819685372681306e+03 2.518701905765900928e-14 1.530881070676469421e-16
6.595577728119844323e+03 2.445355853982020201e-14 1.523221179791210472e-16
6.605335770867007341e+03 2.375603056340111018e-14 1.662638568962974296e-16
6.615093813614170358e+03 2.382938992415016930e-14 1.535691015250965178e-16
6.624851856361333375e+03 2.299708760146638235e-14 1.544306070048450910e-16
6.634609899108496393e+03 2.284388086690933191e-14 1.478900828200620778e-16
6.644367941855659410e+03 2.256696827468936814e-14 1.491404693590650176e-16
6.654125984602822427e+03 2.183854633415059768e-14 1.465811934094730436e-16
6.663884027349985445e+03 2.114203888190600874e-14 1.416621868890694270e-16
6.673642070097148462e+03 2.116211587080296334e-14 1.450655260203917294e-16
6.683400112844311479e+03 2.034849347124323020e-14 1.444451336040708633e-16
6.693158155591474497e+03 2.018246569897852289e-14 1.386479267556666919e-16
6.702916198338637514e+03 1.966644409601596783e-14 1.366733802701167646e-16
6.712674241085800531e+03 1.904933572711186940e-14 1.349150128137565488e-16
6.722432283832963549e+03 1.926350004531160157e-14 1.370275067168258552e-16
6.732190326580126566e+03 1.887813043204946504e-14 1.528978466092801398e-16
6.741948369327289583e+03 1.831941511561623278e-14 1.402249123390739695e-16
6.751706412074452601e+03 1.845233795136251105e-14 1.327063481472894450e-16
6.761464454821615618e+03 1.826273257646389271e-14 1.319963664669705355e-16
6.771222497568778635e+03 1.813724344195424811e-14 1.316924005384137275e-16
6.780980540315941653e+03 1.772646490249286951e-14 1.337243055219518596e-16
6.790738583063104670e+03 1.740292393278226752e-14 1.302561497880939881e-16
6.800496625810267687e+03 1.992124013079349727e-14 1.450949876159850073e-16
6.810254668557430705e+03 1.662227816846920705e-14 1.269771231460625070e-16
6.820012711304593722e+03 1.655596331911627889e-14 1.296915846301005861e-16
6.829770754051756739e+03 1.616624810729528694e-14 1.286926533073979703e-16
6.839528796798919757e+03 1.605603057170419180e-14 1.280688601950856831e-16
6.849286839546082774e+03 1.596247331942539551e-14 1.278176803415841408e-16
6.859044882293245792e+03 1.592281976255617469e-14 1.256611065049356638e-16
6.868802925040408809e+03 1.576210173273014895e-14 1.251816399954435349e-16
6.878560967787571826e+03 1.545137333454707339e-14 1.240333424819617395e-16
6.888319010534734844e+03 1.557679454253541276e-14 1.253071059582234621e-16
6.898077053281897861e+03 1.520208076121245255e-14 1.253408790206641631e-16
6.907835096029060878e+03 1.487413566562014874e-14 1.222123183474570443e-16
6.917593138776223896e+03 1.480406516029844586e-14 1.241635084933211431e-16
6.927351181523386913e+03 1.448075241815575880e-14 1.218564048259918077e-16
6.937109224270549930e+03 1.444555279664181292e-14 1.214182174898522751e-16
6.946867267017712948e+03 1.415165797057522126e-14 1.206055077179145635e-16
6.956625309764875965e+03 1.403118272228055236e-14 1.192513076553293760e-16
6.966383352512038982e+03 1.374451972995864199e-14 1.196409254889689867e-16
6.976141395259202000e+03 1.367850130159850343e-14 1.185703685314825016e-16
6.985899438006365017e+03 1.340313745082259099e-14 1.191213177431693179e-16
6.995657480753528034e+03 1.305949248432884096e-14 1.181213799526590840e-16
