# PSNJ0338 obwr14020 G430L CCD z=0.006494 a2center=894.1 extrsize=17 exptime=100.0 mode=adaptive_es17@0.98 flags=none
# rest_wvl obs_wvl flux error net dq mask
2866.6413 2885.2573 -5.517383e-14 6.915472e-14 -2.798518e-01 16912 0
2869.3682 2888.0019 1.003614e-14 5.153769e-14 1.532540e-02 528 0
2872.0952 2890.7466 3.959888e-14 4.090361e-14 2.641774e-01 512 0
2874.8222 2893.4913 -9.346906e-14 3.293613e-14 -9.706600e-01 16896 0
2877.5492 2896.2360 3.311563e-14 2.922083e-14 3.084131e-01 512 0
2880.2762 2898.9807 3.120942e-14 2.574892e-14 3.355187e-01 528 0
2883.0032 2901.7255 -2.080921e-14 2.203144e-14 -3.273606e-01 16896 0
2885.7303 2904.4702 -2.345379e-14 1.978021e-14 -4.109355e-01 16896 0
2888.4574 2907.2150 -1.370035e-14 1.943547e-14 -2.680059e-01 16912 0
2891.1845 2909.9599 -2.031363e-14 1.587722e-14 -4.420336e-01 16896 0
2893.9116 2912.7047 -2.247198e-14 1.426897e-14 -5.454280e-01 16896 0
2896.6388 2915.4496 -3.368141e-15 1.290365e-14 -9.953909e-02 528 0
2899.3660 2918.1945 -6.051372e-15 1.235918e-14 -1.827251e-01 16912 0
2902.0932 2920.9394 -6.768234e-15 1.026257e-14 -2.285442e-01 16896 0
2904.8204 2923.6843 -2.907115e-14 9.154311e-15 -1.101035e+00 16912 0
2907.5476 2926.4292 3.298409e-15 8.862187e-15 9.553568e-02 528 0
2910.2749 2929.1742 2.917058e-14 7.996146e-15 1.236049e+00 528 0
2913.0022 2931.9192 3.812491e-13 1.507073e-14 2.034957e+01 528 0
2915.7295 2934.6642 1.093104e-14 8.051246e-15 5.726021e-01 528 0
2918.4568 2937.4093 1.044633e-14 5.030025e-15 6.290735e-01 512 0
2921.1842 2940.1543 1.084134e-14 4.452053e-15 7.453178e-01 512 0
2923.9115 2942.8994 -8.891847e-15 4.055487e-15 -8.072236e-01 16912 0
