# PSNJ0338 obwr17030 G750L CCD z=0.006494 a2center=895.4 extrsize=25 exptime=100.0 mode=adaptive_clamphi flags=no_defringe(no_flat)
# rest_wvl obs_wvl flux error net dq mask
5207.2065 5241.0221 5.260464e-15 1.953027e-15 1.075168e+00 528 0
5212.0508 5245.8978 2.655130e-15 1.050362e-15 9.697031e-01 512 0
5216.8952 5250.7737 4.398980e-15 7.593981e-16 2.360160e+00 512 0
5221.7396 5255.6495 2.992191e-15 5.794289e-16 2.091276e+00 512 0
5226.5840 5260.5254 3.890464e-15 4.774512e-16 3.417433e+00 512 0
5231.4285 5265.4014 3.883945e-15 4.158988e-16 4.091445e+00 528 0
5236.2730 5270.2774 4.468566e-15 3.643424e-16 5.523611e+00 512 0
5241.1176 5275.1534 4.072910e-15 3.341031e-16 5.740647e+00 512 0
5245.9622 5280.0294 4.881866e-15 3.085416e-16 7.790737e+00 528 0
5250.8068 5284.9055 5.308209e-15 2.800016e-16 9.446100e+00 528 0
5255.6515 5289.7817 4.924023e-15 2.591202e-16 9.656487e+00 16 0
5260.4962 5294.6578 5.123075e-15 2.441279e-16 1.098419e+01 16 0
5265.3409 5299.5341 5.586094e-15 2.309039e-16 1.301683e+01 16 0
5270.1857 5304.4103 5.515681e-15 2.517580e-16 1.344282e+01 0 0
5275.0305 5309.2866 5.600183e-15 2.430954e-16 1.423955e+01 16 0
5279.8754 5314.1629 6.074828e-15 2.292117e-16 1.567374e+01 16 0
5284.7203 5319.0393 6.163558e-15 2.243069e-16 1.601859e+01 16 0
5289.5652 5323.9157 1.169087e-14 3.308469e-16 3.037183e+01 16 0
5294.4102 5328.7921 4.869827e-15 2.541024e-16 1.225795e+01 16 0
5299.2552 5333.6686 6.850619e-15 2.301847e-16 1.696816e+01 0 0
5304.1003 5338.5451 6.468986e-15 2.309009e-16 1.563438e+01 0 0
5308.9454 5343.4217 6.224911e-15 2.399899e-16 1.468459e+01 16 0
5313.7905 5348.2982 5.859855e-15 2.397431e-16 1.348935e+01 16 0
5318.6356 5353.1749 6.041568e-15 2.426707e-16 1.365497e+01 16 0
5323.4808 5358.0515 5.865399e-15 2.412300e-16 1.302177e+01 16 0
5328.3261 5362.9282 6.003542e-15 2.451242e-16 1.317006e+01 16 0
5333.1713 5367.8050 5.671418e-15 2.491227e-16 1.230586e+01 16 0
5338.0167 5372.6817 5.894771e-15 2.456855e-16 1.273749e+01 16 0
5342.8620 5377.5585 5.571291e-15 2.449744e-16 1.201012e+01 0 0
5347.7074 5382.4354 5.521416e-15 2.430561e-16 1.193337e+01 0 0
5352.5528 5387.3123 5.465805e-15 2.458725e-16 1.189244e+01 16 0
5357.3982 5392.1892 5.438951e-15 2.423683e-16 1.194977e+01 16 0
5362.2437 5397.0661 5.230762e-15 2.348854e-16 1.163537e+01 0 0
5367.0892 5401.9431 5.739082e-15 2.387509e-16 1.299024e+01 16 0
5371.9348 5406.8201 5.908148e-15 2.386800e-16 1.362555e+01 16 0
5376.7804 5411.6972 5.528427e-15 2.849194e-16 1.297603e+01 16 0
5381.6260 5416.5743 5.903387e-15 2.325279e-16 1.417998e+01 16 0
5386.4717 5421.4514 6.493585e-15 2.311221e-16 1.597255e+01 0 0
5391.3174 5426.3286 6.785838e-15 2.273651e-16 1.707691e+01 0 0
5396.1631 5431.2058 6.768584e-15 2.252733e-16 1.739367e+01 0 0
5401.0089 5436.0830 7.145602e-15 2.240581e-16 1.877828e+01 16 0
5405.8547 5440.9603 7.673127e-15 2.264376e-16 2.061761e+01 16 0
5410.7005 5445.8376 7.803532e-15 2.249092e-16 2.141948e+01 16 0
5415.5464 5450.7149 8.900364e-15 2.684590e-16 2.499859e+01 16 0
5420.3923 5455.5923 8.691170e-15 2.257253e-16 2.489691e+01 16 0
5425.2382 5460.4697 8.448035e-15 2.200684e-16 2.467730e+01 0 0
5430.0842 5465.3472 9.079517e-15 2.195830e-16 2.700238e+01 0 0
5434.9302 5470.2246 9.455010e-15 2.339511e-16 2.859434e+01 16 0
5439.7762 5475.1022 9.748844e-15 2.205619e-16 2.986728e+01 0 0
5444.6223 5479.9797 1.058177e-14 2.248933e-16 3.284736e+01 16 0
5449.4684 5484.8573 1.040772e-14 2.216430e-16 3.260613e+01 0 0
5454.3146 5489.7349 1.092883e-14 2.254641e-16 3.458623e+01 16 0
5459.1607 5494.6125 1.142644e-14 2.261956e-16 3.642836e+01 0 0
5464.0070 5499.4902 1.077576e-14 2.216114e-16 3.454929e+01 16 0
5468.8532 5504.3679 1.143734e-14 2.259500e-16 3.687159e+01 16 0
5473.6995 5509.2457 1.140994e-14 2.265457e-16 3.693695e+01 16 0
5478.5458 5514.1235 1.169872e-14 2.276965e-16 3.800767e+01 16 0
5483.3921 5519.0013 1.160320e-14 2.260834e-16 3.780231e+01 16 0
5488.2385 5523.8791 1.166109e-14 2.248635e-16 3.809805e+01 16 0
5493.0849 5528.7570 1.219276e-14 2.308063e-16 3.996344e+01 16 0
5497.9313 5533.6349 1.158302e-14 2.250336e-16 3.800449e+01 0 0
5502.7778 5538.5129 1.211904e-14 2.290379e-16 3.983193e+01 16 0
5507.6243 5543.3908 1.210160e-14 2.334938e-16 3.985085e+01 16 0
5512.4709 5548.2688 1.168599e-14 2.242552e-16 3.855293e+01 0 0
5517.3174 5553.1469 1.153707e-14 2.316891e-16 3.812190e+01 16 0
5522.1640 5558.0250 1.188709e-14 2.272662e-16 3.936294e+01 16 0
