# obs_wvl flux error
1.580000000000000000e+03 1.307168028637425157e-13 7.826861824341388716e-14
1.583096173093157176e+03 -3.918218277921454372e-15 1.988708717431865373e-14
1.586192346186314353e+03 -9.010696484219708597e-15 9.633759245827751664e-15
1.589288519279471529e+03 -3.487380338633771224e-15 6.013243789547362632e-15
1.592384692372628706e+03 -1.259968799635016009e-15 4.872809061910635079e-15
1.595480865465785882e+03 1.680646997965289837e-15 3.971233923723932808e-15
1.598577038558943059e+03 1.579489584989574394e-16 3.026882031074623028e-15
1.601673211652100235e+03 3.716993239013704058e-16 2.481046626346450839e-15
1.604769384745257412e+03 1.417069844063290979e-15 2.038682198239349456e-15
1.607865557838414588e+03 1.030493926062469018e-15 1.693179454020727333e-15
1.610961730931571765e+03 -4.628583140893157973e-16 1.348775468990561975e-15
1.614057904024728941e+03 8.864032187791240338e-16 1.227825917964876146e-15
1.617154077117886118e+03 -7.435177354077402507e-17 1.019648092967207862e-15
1.620250250211043294e+03 -9.106614702584486038e-16 8.102890329569183685e-16
1.623346423304200471e+03 -6.269021842861704082e-16 7.444436217159111728e-16
1.626442596397357647e+03 -5.228467982534783151e-16 6.517706972969985884e-16
1.629538769490514824e+03 2.673503497888004212e-16 6.311086962169878001e-16
1.632634942583672000e+03 1.306619266016248980e-16 5.668702716493275333e-16
1.635731115676829177e+03 -9.183045404841275353e-17 4.942850026455474045e-16
1.638827288769986353e+03 1.215956044101146309e-15 5.321307320196124007e-16
1.641923461863143530e+03 2.024071062052819383e-16 4.459380742917488030e-16
1.645019634956300706e+03 -2.845901808641615468e-16 3.859448434348692785e-16
1.648115808049457883e+03 -2.695631892667105527e-16 3.632783915319348960e-16
1.651211981142615059e+03 -1.042455078032408690e-16 3.396645847345838476e-16
1.654308154235772236e+03 2.279747969041216965e-16 3.472683282047023405e-16
1.657404327328929412e+03 1.050033926321346437e-16 3.236423848323096520e-16
1.660500500422086589e+03 -1.284000076325861445e-16 2.957456423717923725e-16
