# PSNJ0338 obwr14010 G230L MAMA z=0.006494 a2center=513.0 extrsize=11 exptime=1400.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1564.4213 1574.5807 0.000000e+00 0.000000e+00 -1.038633e-04 2564 0
1565.9548 1576.1242 0.000000e+00 0.000000e+00 -2.929220e-03 2564 0
1567.4884 1577.6676 0.000000e+00 0.000000e+00 -2.274901e-03 2564 0
1569.0219 1579.2111 0.000000e+00 0.000000e+00 -1.978516e-03 2564 0
1570.5555 1580.7547 1.315397e-13 7.882007e-14 7.865155e-03 2048 0
1572.0890 1582.2982 1.399505e-14 3.469170e-14 1.827160e-03 0 0
1573.6226 1583.8417 -2.114751e-14 2.052629e-14 -4.261358e-03 0 0
1575.1562 1585.3852 -2.558495e-14 1.365090e-14 -6.975466e-03 0 0
1576.6898 1586.9288 7.163962e-15 1.394252e-14 2.464094e-03 0 0
1578.2233 1588.4723 -6.347671e-15 8.352775e-15 -2.637197e-03 0 0
1579.7569 1590.0159 -7.821845e-16 8.900512e-15 -3.810399e-04 0 0
1581.2906 1591.5595 -9.266209e-16 7.482421e-15 -5.180459e-04 0 0
1582.8242 1593.1030 -1.733990e-15 6.556375e-15 -1.095511e-03 0 0
1584.3578 1594.6466 2.769050e-15 6.137051e-15 1.996227e-03 0 0
1585.8914 1596.1902 6.448402e-16 5.340309e-15 5.226103e-04 0 0
1587.4251 1597.7338 1.410009e-15 4.754576e-15 1.293303e-03 0 0
1588.9588 1599.2775 -1.144888e-15 4.016917e-15 -1.172714e-03 0 0
1590.4924 1600.8211 2.295809e-15 3.895269e-15 2.633587e-03 0 0
1592.0261 1602.3647 -1.452525e-15 3.319565e-15 -1.845464e-03 0 0
1593.5598 1603.9084 2.749124e-16 2.976799e-15 3.871853e-04 0 0
1595.0935 1605.4520 2.477323e-15 2.963128e-15 3.833004e-03 0 0
1596.6272 1606.9957 1.733236e-15 2.636573e-15 2.946800e-03 0 0
1598.1609 1608.5393 4.657344e-16 2.319564e-15 8.636964e-04 0 0
1599.6946 1610.0830 -4.059632e-16 2.076542e-15 -8.211834e-04 0 0
1601.2283 1611.6267 -7.693597e-16 1.881185e-15 -1.687153e-03 0 0
1602.7621 1613.1704 3.052549e-15 2.005201e-15 7.253880e-03 0 0
1604.2958 1614.7141 -8.423180e-16 1.609965e-15 -2.157944e-03 0 0
