# obs_wvl flux error
1.667000000000000000e+03 -8.241426248727138393e-15 3.585966865355204288e-15
1.668373219241362676e+03 1.621788481340914985e-15 3.185917408153600824e-15
1.669746438482725353e+03 3.019385129795043160e-14 3.511486062897325681e-15
1.671119657724088029e+03 -1.147868604503107075e-15 2.323916243694943217e-15
1.672492876965450705e+03 -9.585662119833697972e-17 2.157307038766078449e-15
1.673866096206813381e+03 1.697765854722011069e-15 2.257544249590141422e-15
1.675239315448176058e+03 3.766004521645919658e-15 2.120117994897039641e-15
1.676612534689538734e+03 5.286119774630726359e-15 2.019641745734950445e-15
1.677985753930901410e+03 -4.395415045039027359e-15 1.838019993695515781e-15
1.679358973172264086e+03 2.553258696258195907e-15 1.858184643017395039e-15
1.680732192413626763e+03 1.391660739497573190e-15 2.100322234275617598e-15
1.682105411654989439e+03 3.105378499863833397e-15 1.960217340234867376e-15
1.683478630896352115e+03 1.878022439666423116e-15 1.702931491843158686e-15
1.684851850137714791e+03 2.290151036676709023e-15 1.607156292505014932e-15
1.686225069379077468e+03 1.950088548680329152e-15 1.518689965249529167e-15
1.687598288620440144e+03 -3.076406056388703884e-16 1.619879983054648111e-15
1.688971507861802820e+03 -5.992563339152515374e-16 1.544247474131298540e-15
1.690344727103165496e+03 -6.725567755337938306e-15 2.775088646568445737e-15
1.691717946344528173e+03 -3.463492274318655299e-16 1.658873636722485094e-15
1.693091165585890849e+03 -2.332537902723805969e-15 1.489482979352638606e-15
1.694464384827253525e+03 -2.618816853905900409e-15 2.390168199223942972e-15
1.695837604068616201e+03 2.595678717298497255e-16 1.647896692258644278e-15
1.697210823309978878e+03 -1.257521808934086895e-16 1.872942378673113460e-15
1.698584042551341554e+03 8.921491019147962336e-16 1.201351881934633391e-15
1.699957261792704230e+03 -1.739099397393021496e-15 1.206074795519513635e-15
1.701330481034066906e+03 2.297213400359937400e-15 1.217077088680105326e-15
1.702703700275429583e+03 -4.654596179627523092e-17 1.191258566266888148e-15
1.704076919516792259e+03 1.084195265474841816e-15 1.142238359080169546e-15
1.705450138758154935e+03 2.610626740846109110e-15 1.392109359290556060e-15
1.706823357999517611e+03 1.653317933510722700e-15 1.075541552386000563e-15
1.708196577240880288e+03 -7.909793813371863857e-16 1.069741018931139738e-15
1.709569796482242964e+03 5.648739576728618317e-16 1.595215134383790182e-15
1.710943015723605640e+03 3.161646618335152277e-15 1.230708048026716107e-15
1.712316234964968316e+03 3.524118687221401545e-15 1.037325434212043790e-15
1.713689454206330993e+03 1.227035235742055605e-15 1.003026731441838200e-15
1.715062673447693669e+03 1.226620915990944423e-15 1.040755834493090934e-15
1.716435892689056345e+03 2.565231208335751836e-15 1.541465261659556510e-15
1.717809111930419022e+03 8.555585931131200501e-16 9.952825413857077504e-16
1.719182331171781698e+03 1.477678329447940039e-15 1.126579467885061303e-15
1.720555550413144374e+03 1.724905136921375601e-15 9.656159463276681291e-16
1.721928769654507050e+03 6.651249884564226901e-16 9.984933814719252712e-16
1.723301988895869727e+03 1.941339370669474126e-15 1.035821603284983106e-15
1.724675208137232403e+03 2.077635987145579296e-15 1.150529987701687263e-15
1.726048427378595079e+03 1.364926470678806643e-15 9.893978559804719214e-16
1.727421646619957755e+03 5.107501877719703800e-16 9.091802767343117493e-16
1.728794865861320432e+03 4.037609896979071922e-16 8.719644031758314051e-16
1.730168085102683108e+03 1.312239384056597607e-15 8.611413901597585059e-16
1.731541304344045784e+03 -1.240878594979395857e-16 8.111840071800761460e-16
1.732914523585408460e+03 -3.931584462709735893e-16 8.919319587463281703e-16
1.734287742826771137e+03 5.703071672666570241e-16 8.831176353892837984e-16
1.735660962068133813e+03 -8.637229494342714808e-16 8.167796654307141028e-16
1.737034181309496489e+03 -6.931643855280735537e-16 8.266725647296809470e-16
1.738407400550859165e+03 4.918121579687473863e-15 1.051731227055113421e-15
1.739780619792221842e+03 1.291132776755513932e-15 7.944874479459993592e-16
1.741153839033584518e+03 -1.092931893878956518e-15 8.409303931146554379e-16
1.742527058274947194e+03 4.501216477670344500e-16 7.692986867397638365e-16
1.743900277516309870e+03 7.444012399229488004e-16 7.436141520215321060e-16
1.745273496757672547e+03 3.685821721064881947e-16 7.550005969817219671e-16
1.746646715999035223e+03 5.285468551585335838e-16 7.193449510255786037e-16
1.748019935240397899e+03 2.551313086272976435e-15 7.387803218086040304e-16
1.749393154481760575e+03 3.627149788899099464e-15 1.032246726766718840e-15
1.750766373723123252e+03 -1.805356832919872393e-15 9.211376895488603456e-16
1.752139592964485928e+03 -1.831096511073250341e-15 8.189994632400703456e-16
1.753512812205848604e+03 1.274394227139935449e-16 8.335378475539196534e-16
1.754886031447211280e+03 2.925549589563716684e-16 1.222978913368908794e-15
1.756259250688573957e+03 -2.055861157460350895e-16 7.426277104258441933e-16
1.757632469929936633e+03 -7.732568436236777732e-16 7.832187598312518656e-16
1.759005689171299309e+03 -9.827837777170166974e-16 6.621278407191070309e-16
1.760378908412661985e+03 2.147690302735447066e-16 7.734834635916378157e-16
1.761752127654024662e+03 1.499199744006484350e-15 6.935823282768971358e-16
1.763125346895387338e+03 -4.616250590763678998e-16 9.656848325971966002e-16
1.764498566136750014e+03 3.479285133111408488e-15 7.013084323886553765e-16
1.765871785378112691e+03 7.593262428572279113e-16 6.289979676330320597e-16
1.767245004619475367e+03 -4.378227201407206431e-17 6.296143867322671447e-16
1.768618223860838043e+03 -4.476516349172336883e-16 6.980922360783687767e-16
1.769991443102200719e+03 5.457799901603581338e-16 6.758135628624140201e-16
1.771364662343563396e+03 1.155891619536708141e-15 8.407344064524550886e-16
1.772737881584926072e+03 8.318859268373932141e-17 6.458682154665507859e-16
1.774111100826288748e+03 -1.703014547457618849e-15 8.405464472923833171e-16
1.775484320067651424e+03 2.347286100942105753e-16 6.018371980294882174e-16
1.776857539309014101e+03 -7.145041400296136591e-16 6.387077650443729203e-16
1.778230758550376777e+03 -8.072266252754394826e-16 6.424821808479014654e-16
1.779603977791739453e+03 -2.381311942779196886e-16 7.818205273595755163e-16
1.780977197033102129e+03 -4.558899055820783895e-16 6.072859791984648486e-16
1.782350416274464806e+03 -2.070196741147381019e-15 8.123084175886592575e-16
1.783723635515827482e+03 1.538343115545090261e-16 6.327527524229186994e-16
1.785096854757190158e+03 1.101454343248845924e-15 8.720851190206891672e-16
1.786470073998552834e+03 -6.026307423236966451e-17 5.347254735964103990e-16
1.787843293239915511e+03 2.272793008149701749e-16 5.146716873266057412e-16
1.789216512481278187e+03 2.135765140930455058e-16 5.343317343674822842e-16
1.790589731722640863e+03 -6.762517254153714594e-17 6.311708548802676807e-16
1.791962950964003539e+03 9.878142887179903801e-16 5.490343819490498499e-16
1.793336170205366216e+03 -2.125453971799396685e-16 7.256421073350897212e-16
1.794709389446728892e+03 3.286790165896230375e-16 5.040484049793923572e-16
1.796082608688091568e+03 -5.103988998104840281e-16 5.176461456253316608e-16
1.797455827929454244e+03 -7.586281731793196769e-16 6.951785794502584615e-16
1.798829047170816921e+03 -8.644843651554389283e-16 4.785100057407356158e-16
1.800202266412179597e+03 2.815901448598170306e-16 5.197139380596756109e-16
1.801575485653542273e+03 -1.605074965566448043e-16 5.164541716976676960e-16
1.802948704894904949e+03 6.925061685428063590e-16 4.997545570191455489e-16
1.804321924136267626e+03 1.145790984612936372e-15 4.709758558365024537e-16
1.805695143377630302e+03 1.580306204723223939e-16 4.699217315594808179e-16
1.807068362618992978e+03 -3.254529118361588545e-17 4.856566493928426520e-16
1.808441581860355654e+03 2.265066548640157305e-16 4.700997534066196274e-16
1.809814801101718331e+03 1.729410044282003086e-15 6.461741065880831598e-16
1.811188020343081007e+03 -1.088385463159189552e-16 5.097831883878661936e-16
1.812561239584443683e+03 -1.169971834140377702e-15 4.771490677100998326e-16
1.813934458825806360e+03 -5.770923925107296314e-16 5.735052416229884181e-16
1.815307678067169036e+03 2.016246882492757709e-16 4.106544558254239806e-16
1.816680897308531712e+03 7.048891299160736411e-16 4.866087878583443597e-16
1.818054116549894388e+03 5.861135409314861937e-16 4.453024118272274884e-16
1.819427335791257065e+03 5.271449414205077689e-16 4.491852685353707402e-16
1.820800555032619741e+03 -2.323214182250044072e-15 4.940005181878122074e-16
1.822173774273982417e+03 -3.709350079954612790e-16 4.622149985634459902e-16
1.823546993515345093e+03 -3.156373779511776708e-16 4.225519376302206019e-16
1.824920212756707770e+03 -1.431936777230495524e-16 4.005900715121408496e-16
1.826293431998070446e+03 -1.650953349804554903e-17 4.160939977824403494e-16
1.827666651239433122e+03 -3.427292688064361281e-18 4.024763211414925829e-16
1.829039870480795798e+03 -2.605958938606796345e-16 3.947645239498841924e-16
1.830413089722158475e+03 8.857893183938465252e-16 4.126922785242025589e-16
1.831786308963521151e+03 1.304749261793355051e-15 4.055694919122835327e-16
1.833159528204883827e+03 3.476476731952010413e-16 3.993504342510824666e-16
1.834532747446246503e+03 -3.696780112193579179e-16 3.831785873348837746e-16
1.835905966687609180e+03 -1.133024697600991019e-16 4.070085581149526182e-16
