# PTF10YGU obnd05030 G230LB CCD z=0.025047 a2center=781.3 extrsize=7 exptime=2745.0 mode=fixed flags=finder_fail,extended_host,center_mismatch(781vs296)
# rest_wvl obs_wvl flux error net dq mask
1625.0299 1665.7321 -1.089686e-14 4.855123e-15 -2.657956e-02 16896 0
1626.3672 1667.1028 -6.813524e-15 5.028578e-15 -1.722325e-02 16384 0
1627.7045 1668.4736 9.509133e-16 4.847312e-15 1.902375e-03 0 0
1629.0418 1669.8444 1.874715e-14 5.080792e-15 4.470790e-02 0 0
1630.3792 1671.2153 -1.926648e-15 4.077241e-15 -5.437200e-03 16384 0
1631.7165 1672.5861 1.720159e-16 3.818219e-15 2.660699e-04 0 0
1633.0538 1673.9569 -8.398539e-16 3.873256e-15 -2.549144e-03 16384 0
1634.3912 1675.3278 -3.818700e-16 3.450147e-15 -1.353005e-03 0 0
1635.7286 1676.6987 3.012965e-15 3.365340e-15 8.314585e-03 0 0
1637.0660 1678.0696 -7.370929e-15 3.113235e-15 -2.488648e-02 16384 0
1638.4034 1679.4405 -1.452310e-15 3.219977e-15 -5.074685e-03 16384 0
1639.7408 1680.8114 -1.333589e-16 3.285063e-15 -6.393348e-04 0 0
1641.0783 1682.1824 3.642447e-15 3.159889e-15 1.155477e-02 0 0
1642.4157 1683.5533 1.910982e-15 3.068995e-15 6.130055e-03 16 0
1643.7532 1684.9243 4.285388e-15 2.940743e-15 1.455760e-02 0 0
1645.0907 1686.2953 1.842934e-15 2.637050e-15 6.284877e-03 0 0
1646.4282 1687.6663 2.600441e-16 2.697006e-15 7.191182e-04 0 0
1647.7657 1689.0373 -3.847964e-16 2.765943e-15 -1.664563e-03 16384 0
1649.1032 1690.4083 -3.654187e-15 7.271794e-15 -1.622878e-02 16400 0
1650.4407 1691.7793 3.106202e-15 2.663548e-15 1.203474e-02 0 0
1651.7783 1693.1504 2.426840e-15 2.471869e-15 9.575071e-03 0 0
1653.1159 1694.5215 4.597365e-15 3.875905e-15 1.889009e-02 16 0
1654.4534 1695.8925 5.010434e-15 2.605634e-15 2.111584e-02 0 0
1655.7910 1697.2636 -1.463283e-14 5.148484e-15 -7.305747e-02 16400 0
1657.1286 1698.6348 -2.530748e-16 2.134231e-15 -1.321200e-03 0 0
1658.4663 1700.0059 -2.133159e-15 2.208198e-15 -1.110414e-02 16384 0
1659.8039 1701.3770 3.107168e-15 2.141976e-15 1.410129e-02 0 0
1661.1416 1702.7482 -5.353116e-16 1.982652e-15 -2.898464e-03 16384 0
1662.4792 1704.1193 2.264292e-15 2.036140e-15 1.060042e-02 0 0
1663.8169 1705.4905 5.300988e-15 2.854809e-15 2.582517e-02 16 0
1665.1546 1706.8617 1.059373e-15 1.873491e-15 5.014272e-03 0 0
1666.4923 1708.2329 1.678834e-15 1.948572e-15 8.236938e-03 0 0
1667.8300 1709.6041 4.255048e-15 4.207962e-15 2.176758e-02 16 0
1669.1677 1710.9754 -1.428467e-16 2.221144e-15 -9.456488e-04 16 0
1670.5055 1712.3466 9.456245e-17 1.784785e-15 2.902356e-04 0 0
1671.8432 1713.7179 2.366506e-15 1.878233e-15 1.255436e-02 0 0
1673.1810 1715.0892 4.546964e-15 2.042705e-15 2.489749e-02 0 0
1674.5188 1716.4605 -7.080752e-15 4.620758e-15 -4.545786e-02 16400 0
1675.8566 1717.8318 -8.724666e-16 1.751104e-15 -5.686195e-03 16384 0
1677.1944 1719.2031 -1.101854e-15 1.969035e-15 -7.288679e-03 16384 0
1678.5322 1720.5744 1.398245e-15 1.741974e-15 7.901452e-03 0 0
1679.8701 1721.9458 3.209865e-15 1.756562e-15 1.881372e-02 16 0
1681.2079 1723.3171 9.303345e-16 1.719367e-15 5.335812e-03 0 0
1682.5458 1724.6885 1.163285e-16 2.257630e-15 4.988220e-04 16 0
1683.8837 1726.0599 -1.181417e-15 1.699114e-15 -8.387811e-03 16384 0
1685.2216 1727.4313 4.141868e-16 1.624610e-15 2.363577e-03 0 0
1686.5595 1728.8027 -2.645194e-15 1.483758e-15 -1.929354e-02 16384 0
1687.8974 1730.1741 -2.246376e-16 1.497119e-15 -1.660320e-03 16384 0
1689.2353 1731.5456 4.845931e-16 1.434101e-15 2.924072e-03 0 0
1690.5733 1732.9170 1.674827e-15 1.677563e-15 1.079730e-02 16 0
1691.9112 1734.2885 1.061982e-15 1.671459e-15 6.844876e-03 16 0
1693.2492 1735.6600 9.158307e-16 1.466655e-15 5.950022e-03 0 0
1694.5872 1737.0315 -1.720566e-15 1.379170e-15 -1.356092e-02 16384 0
1695.9252 1738.4030 2.937163e-15 2.063063e-15 2.021375e-02 16 0
1697.2632 1739.7745 2.152410e-15 1.400340e-15 1.489510e-02 0 0
1698.6012 1741.1461 -3.612875e-15 1.516312e-15 -2.954871e-02 16384 0
1699.9392 1742.5176 2.353487e-15 1.471525e-15 1.673167e-02 0 0
1701.2773 1743.8892 -1.592495e-15 1.294310e-15 -1.334130e-02 16384 0
1702.6153 1745.2607 -2.622780e-16 1.309979e-15 -2.223466e-03 16384 0
1703.9534 1746.6323 -5.734996e-16 1.286555e-15 -4.919372e-03 16384 0
1705.2915 1748.0039 -7.264267e-16 1.281189e-15 -6.304258e-03 16384 0
1706.6296 1749.3755 -3.376719e-15 2.445231e-15 -2.964625e-02 16400 0
1707.9677 1750.7472 -9.775082e-16 1.626477e-15 -8.682178e-03 16400 0
1709.3058 1752.1188 -2.389752e-15 1.515847e-15 -2.147430e-02 16400 0
1710.6440 1753.4905 -5.586740e-16 1.288463e-15 -5.078366e-03 16384 0
1711.9821 1754.8621 -4.257137e-15 2.930822e-15 -3.914310e-02 16400 0
1713.3203 1756.2338 9.430905e-16 1.456665e-15 7.381265e-03 16 0
