# PTF10YGU obnd04010 G430L CCD z=0.025047 a2center=892.6 extrsize=17 exptime=2175.0 mode=adaptive_clamphi flags=none
# rest_wvl obs_wvl flux error net dq mask
2820.1613 2890.7979 -3.857023e-15 2.769714e-15 -3.204168e-02 16912 0
2822.8393 2893.5430 -3.091990e-15 2.207832e-15 -3.113088e-02 16912 0
2825.5173 2896.2881 -1.433321e-15 1.827108e-15 -1.696036e-02 16896 0
2828.1954 2899.0332 1.429989e-15 1.556183e-15 1.740755e-02 512 0
2830.8735 2901.7784 5.069118e-16 1.470078e-15 6.178614e-03 512 0
2833.5516 2904.5235 3.552833e-15 1.443041e-15 5.680324e-02 512 0
2836.2297 2907.2687 3.181769e-15 1.346812e-15 5.671553e-02 512 0
2838.9078 2910.0140 -2.618790e-16 1.306024e-15 -6.552100e-03 512 0
2841.5860 2912.7592 5.061887e-15 2.040208e-15 1.136793e-01 528 0
2844.2642 2915.5045 5.814930e-16 9.925131e-16 1.342350e-02 528 0
2846.9424 2918.2498 -2.855708e-16 8.364925e-16 -8.978725e-03 528 0
2849.6206 2920.9951 2.219785e-16 7.174698e-16 5.929084e-03 528 0
2852.2989 2923.7404 -2.340317e-16 7.318255e-16 -9.196805e-03 528 0
2854.9772 2926.4858 -6.835010e-16 5.177956e-16 -2.851560e-02 16896 0
2857.6555 2929.2312 2.105676e-17 5.415639e-16 -9.001791e-05 528 0
2860.3338 2931.9766 2.050651e-16 4.733478e-16 9.401880e-03 528 0
2863.0121 2934.7220 1.571730e-15 4.973717e-16 9.011859e-02 528 0
2865.6905 2937.4674 2.185107e-13 3.388200e-15 1.513155e+01 784 0
2868.3689 2940.2129 1.102968e-15 1.213274e-15 8.162580e-02 528 0
2871.0473 2942.9584 9.067081e-17 2.517993e-16 6.582079e-03 512 0
2873.7257 2945.7039 1.234340e-16 2.327991e-16 1.053504e-02 512 0
2876.4041 2948.4494 2.039590e-16 2.194217e-16 2.029825e-02 528 0
2879.0826 2951.1950 1.165445e-15 4.765837e-16 1.346725e-01 528 0
2881.7611 2953.9405 1.274021e-16 1.759119e-16 1.515571e-02 528 0
2884.4396 2956.6861 7.799593e-18 1.541934e-16 2.848171e-05 512 0
2887.1181 2959.4317 1.796161e-16 1.481173e-16 2.606260e-02 512 0
2889.7966 2962.1774 1.793152e-15 3.674224e-16 2.953698e-01 528 0
2892.4752 2964.9230 2.033140e-17 1.227778e-16 2.447616e-03 528 0
2895.1538 2967.6687 -3.380433e-17 1.085732e-16 -7.240718e-03 512 0
2897.8324 2970.4144 6.807254e-17 1.049661e-16 1.198053e-02 512 0
2900.5110 2973.1601 6.561371e-17 1.014640e-16 1.204984e-02 0 0
2903.1897 2975.9059 6.402896e-17 9.753097e-17 1.217390e-02 0 0
2905.8683 2978.6516 7.992345e-17 9.807209e-17 1.598007e-02 0 0
2908.5470 2981.3974 3.196194e-16 1.190477e-16 6.915107e-02 16 0
2911.2257 2984.1432 2.256640e-16 9.863480e-17 4.949545e-02 0 0
2913.9045 2986.8890 2.153478e-16 1.142308e-16 4.804543e-02 16 0
2916.5832 2989.6349 2.245726e-16 1.179052e-16 5.095981e-02 16 0
2919.2620 2992.3807 1.318219e-16 9.318820e-17 2.981397e-02 0 0
2921.9408 2995.1266 2.041681e-16 9.152074e-17 4.742283e-02 16 0
2924.6196 2997.8725 1.310877e-16 9.499472e-17 3.035892e-02 16 0
2927.2984 3000.6184 5.987550e-17 8.628543e-17 1.340150e-02 16 0
2929.9772 3003.3644 8.207412e-17 8.799901e-17 1.901565e-02 16 0
2932.6561 3006.1103 1.568259e-17 1.333865e-16 2.777616e-03 16 0
2935.3350 3008.8563 3.067339e-15 6.983643e-16 7.912294e-01 16 0
2938.0139 3011.6023 1.926394e-16 8.594925e-17 4.811873e-02 16 0
2940.6928 3014.3484 2.311750e-16 8.123654e-17 5.890109e-02 0 0
2943.3718 3017.0944 -4.552419e-17 7.977047e-17 -1.304051e-02 0 0
2946.0507 3019.8405 1.963982e-16 2.398817e-16 5.152147e-02 16 0
2948.7297 3022.5865 4.764469e-17 7.765365e-17 1.182560e-02 0 0
2951.4087 3025.3326 9.968635e-17 7.804628e-17 2.650774e-02 0 0
2954.0877 3028.0788 6.194081e-17 7.225472e-17 1.635404e-02 0 0
2956.7668 3030.8249 2.937552e-16 7.723360e-17 8.387312e-02 0 0
2959.4458 3033.5711 1.271162e-17 7.623117e-17 2.587128e-03 0 0
2962.1249 3036.3173 -3.449842e-17 7.006179e-17 -1.142166e-02 0 0
2964.8040 3039.0635 2.350500e-17 6.749298e-17 6.011542e-03 0 0
2967.4831 3041.8097 2.052802e-16 8.374320e-17 6.280520e-02 16 0
2970.1623 3044.5559 8.189516e-17 7.186897e-17 2.473584e-02 16 0
2972.8414 3047.3022 1.289404e-16 6.638992e-17 4.035597e-02 0 0
2975.5206 3050.0484 1.289335e-16 6.202795e-17 4.104005e-02 0 0
2978.1998 3052.7947 1.134819e-16 6.638159e-17 3.655233e-02 16 0
2980.8790 3055.5410 3.142055e-17 6.029199e-17 9.410901e-03 0 0
2983.5582 3058.2874 2.139580e-16 6.343706e-17 7.230955e-02 0 0
2986.2374 3061.0337 2.356263e-16 8.012756e-17 8.094849e-02 16 0
2988.9167 3063.7801 6.233096e-17 5.788145e-17 2.074902e-02 0 0
2991.5960 3066.5265 4.977535e-17 5.617329e-17 1.655809e-02 0 0
2994.2753 3069.2729 1.519317e-16 5.861055e-17 5.386492e-02 0 0
2996.9546 3072.0193 1.813015e-16 6.964867e-17 6.538634e-02 16 0
2999.6339 3074.7658 3.187733e-16 6.243526e-17 1.177411e-01 0 0
3002.3133 3077.5122 1.225655e-16 6.512005e-17 4.480499e-02 16 0
3004.9927 3080.2587 1.717988e-16 6.625887e-17 6.406580e-02 256 0
3007.6720 3083.0052 1.744344e-16 8.980542e-17 6.571463e-02 16 0
3010.3515 3085.7517 3.194685e-16 9.503344e-17 1.229095e-01 16 0
3013.0309 3088.4983 3.230818e-16 1.263086e-16 1.253344e-01 16 0
3015.7103 3091.2448 5.865483e-16 6.983216e-17 2.313614e-01 16 0
3018.3898 3093.9914 9.917614e-17 5.276424e-17 3.790259e-02 0 0
3021.0693 3096.7380 1.532172e-16 7.013377e-17 5.964460e-02 16 0
3023.7487 3099.4846 1.504167e-16 9.039831e-17 5.882697e-02 16 0
3026.4283 3102.2312 1.179567e-16 5.458702e-17 4.602506e-02 0 0
3029.1078 3104.9778 8.131436e-17 5.586570e-17 3.144469e-02 16 0
3031.7873 3107.7245 -2.170378e-17 2.325587e-16 -9.931904e-03 272 0
3034.4669 3110.4712 8.636359e-17 5.453642e-17 3.375040e-02 0 0
3037.1465 3113.2179 8.061069e-17 5.404804e-17 3.154248e-02 0 0
3039.8261 3115.9646 1.459263e-16 5.730513e-17 5.847029e-02 0 0
3042.5057 3118.7113 2.509146e-16 1.380570e-16 1.021996e-01 16 0
3045.1853 3121.4581 1.525271e-16 5.368960e-17 6.173464e-02 0 0
3047.8650 3124.2048 7.697305e-17 4.953345e-17 3.061003e-02 0 0
3050.5446 3126.9516 7.666382e-17 4.873166e-17 3.063499e-02 0 0
3053.2243 3129.6984 5.237391e-18 5.201375e-17 9.407178e-04 16 0
3055.9040 3132.4452 -6.627348e-17 5.961569e-17 -2.929144e-02 16400 0
3058.5837 3135.1921 9.409159e-17 4.978533e-17 3.853948e-02 0 0
3061.2635 3137.9389 7.666770e-17 6.862763e-17 3.132954e-02 16 0
3063.9432 3140.6858 3.554798e-17 4.961280e-17 1.391644e-02 16 0
3066.6230 3143.4327 3.888341e-16 2.317689e-16 1.675160e-01 16 0
3069.3028 3146.1796 9.642016e-17 8.226749e-17 4.048875e-02 16 0
3071.9825 3148.9265 2.627479e-17 4.951553e-17 1.015085e-02 0 0
3074.6624 3151.6734 6.622842e-17 6.873371e-17 2.774157e-02 16 0
3077.3422 3154.4204 1.109409e-16 5.253680e-17 4.772873e-02 16 0
3080.0220 3157.1673 1.551923e-16 5.801119e-17 6.785266e-02 16 0
3082.7019 3159.9143 8.420105e-17 4.945109e-17 3.638996e-02 0 0
3085.3818 3162.6613 9.900693e-17 5.392861e-17 4.335316e-02 16 0
3088.0617 3165.4084 -7.256443e-17 7.074497e-17 -3.460956e-02 16400 0
3090.7416 3168.1554 1.267701e-17 5.255210e-17 4.491316e-03 16 0
3093.4215 3170.9024 8.343731e-17 4.828227e-17 3.712458e-02 16 0
3096.1014 3173.6495 6.318342e-17 4.499166e-17 2.798154e-02 0 0
3098.7814 3176.3966 1.736222e-16 5.199844e-17 8.006978e-02 16 0
3101.4614 3179.1437 1.595862e-16 5.147314e-17 7.398126e-02 16 0
3104.1414 3181.8908 1.371666e-16 4.785886e-17 6.380882e-02 16 0
3106.8214 3184.6379 1.553982e-16 5.304427e-17 7.302306e-02 16 0
3109.5014 3187.3851 1.987896e-16 4.659912e-17 9.458322e-02 0 0
3112.1814 3190.1322 1.841525e-16 6.212449e-17 8.809550e-02 16 0
3114.8615 3192.8794 1.655978e-16 4.963424e-17 7.959473e-02 0 0
3117.5415 3195.6266 9.650793e-17 4.375591e-17 4.604550e-02 0 0
3120.2216 3198.3738 1.180353e-16 4.282773e-17 5.707021e-02 0 0
3122.9017 3201.1210 1.122397e-16 4.192995e-17 5.459478e-02 0 0
3125.5818 3203.8683 7.898040e-17 4.796750e-17 3.825211e-02 16 0
3128.2619 3206.6155 1.302978e-16 4.218775e-17 6.459177e-02 0 0
3130.9421 3209.3628 5.949606e-16 1.146107e-16 3.055970e-01 16 0
3133.6222 3212.1101 9.200825e-17 4.420966e-17 4.582446e-02 16 0
3136.3024 3214.8574 1.632075e-16 4.423179e-17 8.315158e-02 16 0
3138.9826 3217.6047 1.951092e-16 4.572098e-17 1.004857e-01 16 0
3141.6628 3220.3520 2.160428e-16 6.039757e-17 1.122421e-01 16 0
3144.3430 3223.0994 1.218840e-16 4.363631e-17 6.291698e-02 16 0
3147.0232 3225.8467 1.602618e-16 4.047910e-17 8.378518e-02 0 0
3149.7035 3228.5941 1.011253e-16 6.792488e-17 5.254048e-02 16 0
3152.3837 3231.3415 8.140239e-17 4.020313e-17 4.222063e-02 16 0
3155.0640 3234.0889 3.977880e-16 8.203881e-17 2.149795e-01 16 0
3157.7443 3236.8363 2.617523e-16 6.612645e-17 1.411811e-01 16 0
3160.4246 3239.5838 9.921763e-17 4.022952e-17 5.260254e-02 0 0
3163.1049 3242.3312 1.246781e-16 6.007389e-17 6.683297e-02 16 0
3165.7852 3245.0787 1.954452e-16 4.196844e-17 1.063057e-01 0 0
3168.4656 3247.8261 1.069377e-16 3.798241e-17 5.757981e-02 0 0
3171.1459 3250.5736 2.831902e-16 4.164209e-17 1.563866e-01 0 0
3173.8263 3253.3211 1.106318e-16 4.215817e-17 6.010950e-02 0 0
3176.5067 3256.0687 1.341327e-16 3.844649e-17 7.353929e-02 0 0
3179.1871 3258.8162 2.638350e-16 4.663516e-17 1.472465e-01 16 0
3181.8675 3261.5637 1.289095e-16 4.041480e-17 7.116884e-02 0 0
3184.5479 3264.3113 9.985824e-17 3.890310e-17 5.496549e-02 0 0
3187.2284 3267.0589 1.994197e-16 4.748401e-17 1.120781e-01 16 0
3189.9088 3269.8065 8.098364e-17 5.742100e-17 4.464801e-02 16 0
3192.5893 3272.5541 1.669670e-16 4.691719e-17 9.430379e-02 16 0
3195.2698 3275.3017 2.438164e-16 5.160004e-17 1.393488e-01 16 0
3197.9503 3278.0493 6.845742e-17 3.952145e-17 3.801010e-02 16 0
3200.6308 3280.7970 1.005162e-16 3.826196e-17 5.681701e-02 0 0
3203.3113 3283.5446 1.380532e-16 4.254349e-17 7.905667e-02 16 0
3205.9918 3286.2923 2.052719e-16 4.266899e-17 1.190944e-01 16 0
3208.6724 3289.0400 1.614142e-16 3.987780e-17 9.361286e-02 16 0
3211.3529 3291.7877 1.433642e-16 3.838466e-17 8.329809e-02 16 0
3214.0335 3294.5354 6.622648e-17 3.477179e-17 3.774034e-02 0 0
3216.7141 3297.2831 1.355720e-16 3.692127e-17 7.935581e-02 0 0
3219.3947 3300.0309 1.548507e-16 3.870879e-17 9.130053e-02 16 0
3222.0753 3302.7786 1.248617e-16 3.572692e-17 7.355158e-02 0 0
3224.7559 3305.5264 1.784113e-16 3.799749e-17 1.063769e-01 0 0
3227.4366 3308.2742 8.291310e-17 3.483222e-17 4.865215e-02 0 0
3230.1172 3311.0220 1.699699e-16 3.750682e-17 1.020465e-01 0 0
3232.7979 3313.7698 1.030664e-16 3.677093e-17 6.136825e-02 0 0
3235.4785 3316.5176 1.476942e-16 3.855761e-17 8.909360e-02 0 0
