epoch,detector,grating,scale,slope,intercept,factor
2011-08-28_day4,CCD,G430L,none,None,None,None
2011-08-28_day4,CCD,G750L,none,None,None,None
2011-08-31_day7,CCD,G430L,none,None,None,None
2011-08-31_day7,CCD,G750L,none,None,None,None
2011-09-03_day10,CCD,G230LB,none,None,None,None
2011-09-03_day10,CCD,G430L,none,None,None,None
2011-09-03_day10,CCD,G750L,none,None,None,None
2011-09-07_day14,CCD,G230LB,none,None,None,None
2011-09-07_day14,CCD,G430L,none,None,None,None
2011-09-07_day14,CCD,G750L,none,None,None,None
2011-09-10_day17,CCD,G230LB,none,None,None,None
2011-09-10_day17,CCD,G430L,none,None,None,None
2011-09-10_day17,CCD,G750L,none,None,None,None
2011-08-28_day4,MAMA,G230L,none,None,None,None
2011-08-31_day7,MAMA,G230L,none,None,None,None
2011-09-13_day21,MAMA,G140L,none,None,None,None
2011-09-19_day27,CCD,G230LB,none,None,None,None
2011-09-19_day27,CCD,G430L,none,None,None,None
2011-09-19_day27,CCD,G750L,none,None,None,None
2011-09-19_day27,MAMA,G230L,none,None,None,None
2011-10-01_day38,CCD,G430L,none,None,None,None
2011-10-01_day38,CCD,G750L,none,None,None,None
2011-10-01_day38,MAMA,G230L,none,None,None,None
2011-10-07_day44,CCD,G430L,none,None,None,None
2011-10-07_day44,CCD,G750L,none,None,None,None
2011-10-07_day44,MAMA,G230L,none,None,None,None
2011-10-21_day58,CCD,G430L,none,None,None,None
2011-10-21_day58,CCD,G750L,none,None,None,None
2011-10-21_day58,MAMA,G230L,none,None,None,None
2012-09-20_day394,MAMA,G230L,none,None,None,None
2012-09-21_day395,MAMA,G230L,none,None,None,None
2012-09-22_day395,CCD,G430L,none,None,None,None
2012-09-22_day395,CCD,G750L,none,None,None,None
