# obs_wvl flux error
5.306000000000000000e+03 4.013975634623197231e-14 1.376214398771260323e-16
5.310880982810859678e+03 4.050007723284189162e-14 1.316333370122297716e-16
5.315761965621719355e+03 4.073123091056211826e-14 1.353979455130089586e-16
5.320642948432579033e+03 4.058661045788802544e-14 1.352442958071862135e-16
5.325523931243438710e+03 4.092198043460734756e-14 1.319312783253742422e-16
5.330404914054298388e+03 4.031784204781072248e-14 1.661951713827593990e-16
5.335285896865158065e+03 3.994739097254664248e-14 1.688506400946177821e-16
5.340166879676017743e+03 3.843230953373451722e-14 1.722127352435903054e-16
5.345047862486877420e+03 3.961594054817547801e-14 1.497595526074554264e-16
5.349928845297737098e+03 3.931740243153412524e-14 1.694103108510506502e-16
5.354809828108596776e+03 3.965931197694855898e-14 1.403184389993485935e-16
5.359690810919456453e+03 3.890755294710348773e-14 1.422899284324249165e-16
5.364571793730316131e+03 3.841456067400963310e-14 1.292317250290803383e-16
5.369452776541175808e+03 3.822696309663658668e-14 1.387272909229315216e-16
5.374333759352035486e+03 3.733361414791237553e-14 1.430842274604951799e-16
5.379214742162895163e+03 3.687014832603768587e-14 1.384335635037683220e-16
5.384095724973754841e+03 3.666009308461768321e-14 1.438296407419002156e-16
5.388976707784614518e+03 3.602775382404722509e-14 1.451970701822072538e-16
5.393857690595474196e+03 3.601737479954832988e-14 1.279111514072793467e-16
5.398738673406333874e+03 3.499229919597814768e-14 1.404678282887283169e-16
5.403619656217193551e+03 3.465720692104407824e-14 1.371208321788068225e-16
5.408500639028053229e+03 3.414328007624594634e-14 1.320205298215411267e-16
5.413381621838912906e+03 3.383294989491716889e-14 1.136931662081572166e-16
5.418262604649772584e+03 3.334421588295064079e-14 1.109430518389816853e-16
5.423143587460632261e+03 3.297318802051845913e-14 1.163341669397163966e-16
5.428024570271491939e+03 3.280793963139134993e-14 1.156637018185915287e-16
5.432905553082351616e+03 3.277769088454414113e-14 1.125407245032829267e-16
5.437786535893211294e+03 3.284859122184492295e-14 1.170829716781933827e-16
5.442667518704070972e+03 3.316870375184719716e-14 1.089952006411772544e-16
