# obs_wvl flux error
5.306000000000000000e+03 4.022946552923141847e-14 1.085630857901360073e-16
5.315761965621719355e+03 4.063739409577049691e-14 8.268026446537681961e-17
5.325523931243438710e+03 4.068807017526665005e-14 8.548082723807108409e-17
5.335285896865158065e+03 3.965675170634537568e-14 1.044927013379741179e-16
5.345047862486877420e+03 3.924761553112105512e-14 9.759459811935557413e-17
5.354809828108596776e+03 3.939018354455577742e-14 9.084536240759493768e-17
5.364571793730316131e+03 3.849414219203651303e-14 8.344521686994770678e-17
5.374333759352035486e+03 3.743662617974970486e-14 8.920369591883295030e-17
5.384095724973754841e+03 3.655275429885800611e-14 9.072145325433367899e-17
5.393857690595474196e+03 3.576721013622201499e-14 8.457688426034465566e-17
5.403619656217193551e+03 3.461257469335571237e-14 8.729067712820417136e-17
5.413381621838912906e+03 3.378964330757862295e-14 7.436742164389216289e-17
5.423143587460632261e+03 3.302048396243453418e-14 7.446309473781671973e-17
5.432905553082351616e+03 3.279822525740185559e-14 7.377546846970443560e-17
5.442667518704070972e+03 3.323701603975527619e-14 7.196675155476896058e-17
5.452429484325790327e+03 3.411952311750768679e-14 7.700785141394507715e-17
5.462191449947509682e+03 3.471195069934343128e-14 7.397746476954671993e-17
5.471953415569229037e+03 3.543429579055659965e-14 7.746951866875545448e-17
5.481715381190948392e+03 3.530729777107999678e-14 9.756049893122179682e-17
5.491477346812667747e+03 3.585256526439452519e-14 7.418034794224472064e-17
5.501239312434387102e+03 3.599798572968316763e-14 7.578135289763802152e-17
5.511001278056106457e+03 3.583504798362802214e-14 7.232165055044059793e-17
5.520763243677825812e+03 3.589789322378347891e-14 7.950717991087130163e-17
5.530525209299545168e+03 3.640654853115380154e-14 7.751492048436375417e-17
5.540287174921264523e+03 3.691411499413923807e-14 7.368933219623067345e-17
5.550049140542983878e+03 3.726034777818488243e-14 7.699352928589909782e-17
5.559811106164703233e+03 3.719760135642790348e-14 7.356413066329641325e-17
5.569573071786422588e+03 3.684508434366184850e-14 7.685939702625811595e-17
5.579335037408141943e+03 3.679425507169135500e-14 7.499839643027620465e-17
5.589097003029861298e+03 3.667391700242315183e-14 7.230049888058712987e-17
5.598858968651580653e+03 3.667083574465602833e-14 7.259658960736086214e-17
5.608620934273300008e+03 3.654901122674333846e-14 7.208017039709051501e-17
5.618382899895019364e+03 3.597805808350100046e-14 7.908365211150550705e-17
5.628144865516738719e+03 3.575705017314818282e-14 6.985236038328515225e-17
5.637906831138458074e+03 3.560834611310614493e-14 7.081679813969501892e-17
5.647668796760177429e+03 3.494840233232809345e-14 7.088985760704884905e-17
5.657430762381896784e+03 3.442998196711357674e-14 7.954978815568536499e-17
5.667192728003616139e+03 3.411173258518493636e-14 6.786435328006901351e-17
5.676954693625335494e+03 3.359374425543083864e-14 6.959167163196658108e-17
5.686716659247054849e+03 3.279160782043862163e-14 7.901823076921643047e-17
5.696478624868774205e+03 3.280054462423123164e-14 7.599646333098102222e-17
5.706240590490493560e+03 3.035270156460801193e-14 6.549003352209169869e-17
