# obs_wvl flux error
1.664000000000000000e+03 1.706326618786572023e-14 1.895882834821578277e-14
1.665372873574839559e+03 3.587470723327965059e-14 1.475768422563076810e-14
1.666745747149679119e+03 3.126074365836212217e-14 1.395082652203231806e-14
1.668118620724518678e+03 2.450105198591510908e-14 1.346145967696001967e-14
1.669491494299358237e+03 2.099494117953167311e-14 1.359619488846801522e-14
1.670864367874197796e+03 3.847590590438595227e-14 1.308147870711223577e-14
1.672237241449037356e+03 3.697352523267888049e-14 1.279543556593784707e-14
1.673610115023876915e+03 3.063962736186688681e-14 1.583144172421714590e-14
1.674982988598716474e+03 1.600238527182181564e-15 1.208522476933603501e-14
1.676355862173556034e+03 3.774522265024012644e-14 1.164127263161398047e-14
1.677728735748395593e+03 4.108638807205363863e-14 1.116298916233383526e-14
1.679101609323235152e+03 2.575846068292778936e-14 1.086823995037476739e-14
1.680474482898074712e+03 3.793774299439878120e-14 1.022600665995122837e-14
1.681847356472914271e+03 6.283798548617498716e-15 1.039801243845676075e-14
1.683220230047753830e+03 2.333917944568338708e-14 1.299973524625909395e-14
1.684593103622593389e+03 6.676150721123724563e-14 1.313931959378454675e-14
1.685965977197432949e+03 2.354779340359729591e-12 5.752253785866898151e-14
1.687338850772272508e+03 6.222109021267242142e-13 2.128035754173304910e-14
1.688711724347112067e+03 2.537075674914691428e-14 9.923855477110716789e-15
1.690084597921951627e+03 3.204121265240836964e-14 8.343436722237919842e-15
1.691457471496791186e+03 2.822206838094535689e-14 9.242527450437077450e-15
1.692830345071630745e+03 1.600921032931751976e-14 1.034238967920532881e-14
1.694203218646470305e+03 1.188504575035762782e-14 7.901587111907795021e-15
1.695576092221309864e+03 3.359060624905827208e-14 7.806062194685170423e-15
1.696948965796149423e+03 2.926391601924044525e-14 8.324294625146292851e-15
1.698321839370988982e+03 2.190304846706324941e-14 8.868577079139800795e-15
1.699694712945828542e+03 2.363690910549745362e-14 7.342868213208451589e-15
1.701067586520668101e+03 3.203769989617160354e-14 7.463351897294088500e-15
1.702440460095507660e+03 1.994700223000203023e-14 7.038140857504938920e-15
1.703813333670347220e+03 2.236816273905697012e-14 7.038292149275742697e-15
1.705186207245186779e+03 2.434026027941717139e-14 6.840799806419881278e-15
1.706559080820026338e+03 2.064655737212186431e-14 6.512035902753097694e-15
1.707931954394865897e+03 3.123722697911425308e-14 7.081672888711846178e-15
1.709304827969705457e+03 1.987629543896585462e-14 6.746592050303845819e-15
1.710677701544545016e+03 7.441612922749621336e-15 1.243400629898331148e-14
1.712050575119384575e+03 2.161906665252587847e-14 7.363182428970838874e-15
1.713423448694224135e+03 2.288572021462556463e-14 6.332554552838477625e-15
1.714796322269063694e+03 1.808923737397082775e-14 6.517469686617238058e-15
1.716169195843903253e+03 2.060835603875594051e-14 6.344260176130949882e-15
1.717542069418742813e+03 1.536466486729230888e-14 6.261156389918987949e-15
1.718914942993582372e+03 1.187848720612849943e-14 5.764573901019570179e-15
1.720287816568421931e+03 1.669378792408385936e-14 6.470712963013437656e-15
1.721660690143261490e+03 6.658622377037693667e-14 1.687802023684342637e-14
1.723033563718101050e+03 2.132542999656625089e-14 6.405544165495462621e-15
