# PTF11KLY obnd47050 G750L CCD z=0.000804 a2center=510.0 extrsize=25 exptime=80.0 mode=adaptive_clamphi flags=no_defringe(no_flat)
# rest_wvl obs_wvl flux error net dq mask
5253.2353 5257.4589 2.847081e-13 1.360535e-14 2.403067e+02 528 0
5258.1000 5262.3275 2.130678e-13 1.674635e-15 2.189779e+02 512 0
5262.9647 5267.1961 2.185527e-13 1.643765e-15 2.658444e+02 528 0
5267.8295 5272.0649 2.342624e-13 1.480494e-15 3.294509e+02 512 0
5272.6944 5276.9337 2.464590e-13 1.420406e-15 3.934683e+02 512 0
5277.5594 5281.8025 2.584576e-13 1.376318e-15 4.619087e+02 512 0
5282.4244 5286.6714 2.723104e-13 1.334811e-15 5.387066e+02 528 0
5287.2894 5291.5404 2.809771e-13 1.296304e-15 6.095900e+02 528 0
5292.1545 5296.4094 2.862395e-13 1.403529e-15 6.757584e+02 528 0
5297.0197 5301.2785 2.854785e-13 1.350648e-15 7.225500e+02 528 0
5301.8849 5306.1477 2.917910e-13 1.344448e-15 7.713219e+02 16 0
5306.7502 5311.0169 2.936832e-13 1.324211e-15 8.037706e+02 16 0
5311.6156 5315.8861 3.008553e-13 1.333761e-15 8.313627e+02 16 0
5316.4810 5320.7555 2.958867e-13 1.437850e-15 8.229977e+02 16 0
5321.3465 5325.6248 3.002249e-13 1.398832e-15 8.259913e+02 0 0
5326.2120 5330.4943 3.056971e-13 1.389988e-15 8.311671e+02 0 0
5331.0776 5335.3638 3.099607e-13 1.370328e-15 8.246847e+02 16 0
5335.9432 5340.2333 3.146563e-13 1.254113e-15 8.187886e+02 16 0
5340.8090 5345.1030 3.201514e-13 1.454167e-15 8.135630e+02 16 0
5345.6747 5349.9726 3.246382e-13 1.454333e-15 8.051117e+02 0 0
5350.5405 5354.8424 3.316651e-13 1.376295e-15 8.071263e+02 16 0
5355.4064 5359.7122 3.290435e-13 1.488259e-15 7.855392e+02 0 0
5360.2724 5364.5820 3.305401e-13 1.500282e-15 7.796172e+02 16 0
5365.1384 5369.4519 3.434501e-13 1.387315e-15 8.010838e+02 16 0
5370.0044 5374.3219 3.429406e-13 1.387689e-15 7.964602e+02 16 0
5374.8705 5379.1919 3.404044e-13 1.539178e-15 7.883107e+02 16 0
5379.7367 5384.0620 3.410015e-13 1.538389e-15 7.921229e+02 16 0
5384.6029 5388.9321 3.386568e-13 1.523322e-15 7.904619e+02 16 0
5389.4692 5393.8023 3.398383e-13 1.376142e-15 8.007711e+02 16 0
5394.3355 5398.6726 3.355509e-13 1.354234e-15 7.995909e+02 16 0
5399.2019 5403.5429 3.325682e-13 1.340398e-15 8.042955e+02 16 0
5404.0684 5408.4133 3.268363e-13 1.316600e-15 8.036301e+02 16 0
