# PTF11KLY obnd51040 G430L CCD z=0.000804 a2center=900.2 extrsize=15 exptime=80.0 mode=adaptive_es15@0.98 flags=none
# rest_wvl obs_wvl flux error net dq mask
2884.7687 2887.0880 5.469282e-14 6.820288e-14 2.649859e-01 528 0
2887.5113 2889.8328 9.739566e-14 5.309219e-14 6.407389e-01 512 0
2890.2539 2892.5776 4.382248e-14 4.245275e-14 3.402538e-01 512 0
2892.9965 2895.3224 5.532797e-14 3.638914e-14 5.209101e-01 512 0
2895.7391 2898.0673 6.817759e-14 3.173066e-14 7.573743e-01 512 0
2898.4818 2900.8122 8.779007e-14 2.877269e-14 1.131506e+00 528 0
2901.2245 2903.5571 1.049986e-13 2.612156e-14 1.538869e+00 512 0
2903.9672 2906.3020 8.630798e-14 2.323258e-14 1.399627e+00 512 0
2906.7099 2909.0469 7.685137e-14 2.180764e-14 1.392173e+00 528 0
2909.4527 2911.7919 1.068148e-13 1.930197e-14 2.195729e+00 528 0
2912.1955 2914.5369 1.352179e-13 1.694520e-14 2.275667e+00 528 0
2914.9383 2917.2819 1.538562e-13 1.557877e-14 3.064276e+00 528 0
2917.6811 2920.0269 1.442391e-13 1.403819e-14 3.273970e+00 528 0
2920.4240 2922.7720 1.503906e-13 1.274950e-14 3.947037e+00 512 0
2923.1668 2925.5171 1.365946e-13 1.139329e-14 4.092700e+00 528 0
2925.9097 2928.2621 1.462763e-13 1.109362e-14 5.112314e+00 528 0
2928.6526 2931.0073 1.519760e-13 9.648090e-15 6.319234e+00 528 0
2931.3956 2933.7524 3.534479e-13 1.602294e-14 1.883126e+01 528 0
2934.1385 2936.4976 1.294218e-13 7.491234e-15 7.100561e+00 512 0
2936.8815 2939.2427 1.234600e-13 6.853980e-15 8.379900e+00 512 0
2939.6245 2941.9880 1.071804e-13 6.572482e-15 8.365642e+00 512 0
2942.3675 2944.7332 1.088161e-13 5.839203e-15 9.634232e+00 528 0
2945.1106 2947.4784 1.145908e-13 5.315790e-15 1.145205e+01 528 0
2947.8536 2950.2237 1.141011e-13 4.891686e-15 1.269457e+01 512 0
2950.5967 2952.9690 1.230763e-13 4.689614e-15 1.523529e+01 512 0
2953.3398 2955.7143 1.168398e-13 4.375751e-15 1.589104e+01 528 0
2956.0829 2958.4596 1.214761e-13 4.182192e-15 1.804449e+01 528 0
2958.8261 2961.2050 1.250184e-13 3.964317e-15 2.012493e+01 512 0
2961.5692 2963.9503 1.269914e-13 3.817760e-15 2.188934e+01 512 0
2964.3124 2966.6957 1.183712e-13 3.585606e-15 2.162676e+01 512 0
2967.0556 2969.4412 1.200475e-13 3.488321e-15 2.309548e+01 0 0
2969.7989 2972.1866 1.186980e-13 3.383568e-15 2.386314e+01 0 0
2972.5421 2974.9320 1.087751e-13 3.196436e-15 2.266462e+01 0 0
2975.2854 2977.6775 1.173511e-13 3.313283e-15 2.529691e+01 0 0
2978.0287 2980.4230 1.168037e-13 3.166892e-15 2.587409e+01 0 0
2980.7720 2983.1685 1.178497e-13 3.462704e-15 2.670058e+01 16 0
2983.5153 2985.9141 1.130926e-13 3.067030e-15 2.611710e+01 16 0
2986.2587 2988.6596 1.072716e-13 2.966013e-15 2.514711e+01 0 0
2989.0021 2991.4052 1.103985e-13 2.981021e-15 2.628411e+01 16 0
2991.7454 2994.1508 1.025091e-13 2.875857e-15 2.467049e+01 0 0
2994.4889 2996.8964 9.915799e-14 2.823871e-15 2.413276e+01 16 0
2997.2323 2999.6421 1.015035e-13 2.876902e-15 2.500284e+01 16 0
2999.9757 3002.3877 9.795625e-14 2.829705e-15 2.439107e+01 0 0
3002.7192 3005.1334 1.006676e-13 3.369972e-15 2.539801e+01 16 0
3005.4627 3007.8791 9.438025e-14 2.684751e-15 2.408998e+01 0 0
3008.2062 3010.6248 8.961333e-14 2.950088e-15 2.317282e+01 0 0
3010.9498 3013.3706 1.004007e-13 2.694314e-15 2.642007e+01 0 0
3013.6933 3016.1163 9.128401e-14 2.653035e-15 2.436227e+01 16 0
3016.4369 3018.8621 9.117815e-14 2.556049e-15 2.474933e+01 0 0
3019.1805 3021.6079 9.528250e-14 2.561137e-15 2.636130e+01 0 0
3021.9241 3024.3537 9.295810e-14 2.512711e-15 2.618642e+01 0 0
3024.6677 3027.0996 9.305880e-14 2.480954e-15 2.673341e+01 16 0
3027.4114 3029.8454 8.905252e-14 2.420842e-15 2.606176e+01 0 0
3030.1550 3032.5913 9.190328e-14 2.396871e-15 2.745983e+01 0 0
3032.8987 3035.3372 9.363393e-14 2.404420e-15 2.853486e+01 16 0
3035.6424 3038.0831 9.464972e-14 2.373457e-15 2.942267e+01 0 0
3038.3862 3040.8290 9.602419e-14 2.368072e-15 3.041581e+01 16 0
3041.1299 3043.5750 9.211174e-14 2.311575e-15 2.969682e+01 16 0
3043.8737 3046.3210 9.466789e-14 2.295510e-15 3.107111e+01 0 0
3046.6175 3049.0669 8.801912e-14 2.304886e-15 2.934586e+01 16 0
3049.3613 3051.8130 9.825901e-14 2.281350e-15 3.335777e+01 0 0
3052.1051 3054.5590 9.243683e-14 2.215610e-15 3.184063e+01 16 0
3054.8489 3057.3050 8.957873e-14 2.220165e-15 3.131130e+01 16 0
