# PTF11KLY obnd50090 G140L MAMA z=0.000804 a2center=363.4 extrsize=11 exptime=2930.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1118.8880 1119.7875 0.000000e+00 0.000000e+00 -7.002931e-05 2564 0
1119.4712 1120.3712 0.000000e+00 0.000000e+00 -7.002931e-05 2564 0
1120.0543 1120.9549 0.000000e+00 0.000000e+00 2.738222e-04 2564 0
1120.6375 1121.5385 0.000000e+00 0.000000e+00 6.176400e-04 2564 0
1121.2207 1122.1222 0.000000e+00 0.000000e+00 5.209149e-07 2560 0
1121.8039 1122.7058 0.000000e+00 0.000000e+00 3.458828e-04 512 0
1122.3871 1123.2895 0.000000e+00 0.000000e+00 -1.230840e-05 512 0
1122.9703 1123.8731 0.000000e+00 0.000000e+00 3.340746e-04 512 0
1123.5535 1124.4568 0.000000e+00 0.000000e+00 3.315749e-04 512 0
1124.1366 1125.0404 0.000000e+00 0.000000e+00 3.463864e-04 512 0
1124.7198 1125.6241 0.000000e+00 0.000000e+00 -3.290937e-04 512 0
1125.3030 1126.2077 0.000000e+00 0.000000e+00 -3.392526e-04 512 0
1125.8862 1126.7914 0.000000e+00 0.000000e+00 -4.236936e-06 512 0
1126.4693 1127.3750 0.000000e+00 0.000000e+00 -2.431739e-05 512 0
1127.0525 1127.9587 0.000000e+00 0.000000e+00 -3.683075e-04 512 0
1127.6357 1128.5423 0.000000e+00 0.000000e+00 -2.256653e-05 512 0
1128.2188 1129.1259 0.000000e+00 0.000000e+00 -3.894291e-04 512 0
1128.8020 1129.7096 0.000000e+00 0.000000e+00 -3.989832e-04 512 0
1129.3852 1130.2932 0.000000e+00 0.000000e+00 -5.322174e-05 512 0
1129.9683 1130.8768 0.000000e+00 0.000000e+00 -4.185751e-04 512 0
1130.5515 1131.4605 0.000000e+00 0.000000e+00 -8.271364e-05 512 0
1131.1347 1132.0441 0.000000e+00 0.000000e+00 2.336728e-04 512 0
1131.7178 1132.6277 0.000000e+00 0.000000e+00 -3.087154e-04 512 0
1132.3010 1133.2113 0.000000e+00 0.000000e+00 -4.582591e-04 512 0
1132.8841 1133.7950 0.000000e+00 0.000000e+00 -1.360354e-04 512 0
1133.4673 1134.3786 0.000000e+00 0.000000e+00 -4.759792e-04 512 0
1134.0504 1134.9622 0.000000e+00 0.000000e+00 4.034872e-04 512 0
1134.6336 1135.5458 0.000000e+00 0.000000e+00 -1.530244e-04 512 0
1135.2167 1136.1295 0.000000e+00 0.000000e+00 4.383537e-05 512 0
1135.7999 1136.7131 0.000000e+00 0.000000e+00 -5.122332e-04 512 0
1136.3830 1137.2967 0.000000e+00 0.000000e+00 -5.219199e-04 512 0
1136.9662 1137.8803 0.000000e+00 0.000000e+00 1.441761e-04 512 0
1137.5493 1138.4639 -6.732655e-15 1.188722e-14 -1.947016e-04 0 0
1138.1325 1139.0475 -6.623909e-15 1.619898e-18 -5.492228e-04 0 0
1138.7156 1139.6311 -4.082754e-15 9.993889e-19 -5.593131e-04 0 0
1139.2987 1140.2147 -1.895264e-15 1.359313e-15 -3.624738e-04 0 0
1139.8819 1140.7984 -2.350712e-15 5.642788e-19 -5.779412e-04 0 0
1140.4650 1141.3820 -8.119583e-16 1.061281e-15 -2.522162e-04 0 0
1141.0482 1141.9656 -5.825946e-16 9.386968e-16 -2.289815e-04 0 0
1141.6313 1142.5492 -1.404009e-16 8.613364e-16 -6.843114e-05 0 0
1142.2144 1143.1328 -4.249078e-16 5.905084e-16 -2.563194e-04 0 0
1142.7975 1143.7164 9.601336e-17 6.693402e-16 7.013301e-05 0 0
1143.3807 1144.3000 1.366489e-16 5.731934e-16 1.200823e-04 0 0
1143.9638 1144.8836 -6.143687e-16 1.253078e-19 -6.353682e-04 0 0
1144.5469 1145.4671 -7.177032e-17 3.681777e-16 -8.633599e-05 0 0
1145.1301 1146.0507 9.742200e-19 3.360148e-16 1.339067e-06 0 0
1145.7132 1146.6343 5.932577e-16 4.758691e-16 9.201415e-04 0 0
1146.2963 1147.2179 -1.873978e-16 2.015613e-16 -3.239154e-04 0 0
1146.8794 1147.8015 -1.769213e-16 1.803607e-16 -3.374330e-04 0 0
1147.4625 1148.3851 -5.960286e-17 2.135920e-16 -1.244274e-04 0 0
1148.0456 1148.9687 -2.185007e-16 1.142713e-16 -4.961230e-04 0 0
1148.6288 1149.5523 -2.868507e-16 5.508451e-20 -7.051803e-04 0 0
1149.2119 1150.1358 -2.694821e-16 5.321230e-20 -7.158009e-04 0 0
1149.7950 1150.7194 -2.045340e-16 7.429143e-17 -5.851201e-04 0 0
1150.3781 1151.3030 -2.379087e-16 4.637739e-20 -7.328080e-04 0 0
1150.9612 1151.8866 1.872337e-16 2.051745e-16 6.186734e-04 0 0
1151.5443 1152.4701 -1.134906e-16 9.755116e-17 -4.015910e-04 0 0
1152.1274 1153.0537 2.175354e-17 1.428692e-16 8.209783e-05 0 0
1152.7105 1153.6373 -1.206794e-17 1.262535e-16 -4.840392e-05 0 0
1153.2936 1154.2209 -1.034078e-16 7.761277e-17 -4.389248e-04 0 0
1153.8767 1154.8044 -2.149876e-17 1.083257e-16 -9.604188e-05 0 0
1154.4598 1155.3880 8.485505e-18 1.134984e-16 3.973983e-05 0 0
1155.0429 1155.9716 -1.626513e-16 2.766649e-20 -7.933786e-04 0 0
1155.6260 1156.5551 -2.613858e-17 9.315057e-17 -1.324255e-04 0 0
1156.2091 1157.1387 -8.777772e-17 6.697035e-17 -4.595006e-04 0 0
1156.7922 1157.7223 -6.466385e-17 7.278167e-17 -3.491591e-04 0 0
1157.3753 1158.3058 -1.487599e-16 2.496070e-20 -8.257467e-04 0 0
1157.9584 1158.8894 -2.442840e-17 8.605083e-17 -1.392768e-04 0 0
1158.5415 1159.4729 -2.961078e-17 8.035152e-17 -1.731661e-04 0 0
1159.1245 1160.0565 8.730708e-17 1.143133e-16 5.235701e-04 0 0
1159.7076 1160.6400 2.674175e-17 9.561966e-17 1.645059e-04 0 0
1160.2907 1161.2236 -8.125385e-17 5.526643e-17 -5.125731e-04 0 0
1160.8738 1161.8071 -3.410321e-17 7.425419e-17 -2.206497e-04 0 0
1161.4569 1162.3907 -2.834465e-17 7.369310e-17 -1.879902e-04 0 0
1162.0400 1162.9742 -5.267367e-17 6.143922e-17 -3.578847e-04 0 0
1162.6230 1163.5578 2.617044e-17 8.941117e-17 1.820254e-04 0 0
1163.2061 1164.1413 9.797576e-17 1.019123e-16 6.965842e-04 0 0
1163.7892 1164.7249 -7.510747e-17 4.994257e-17 -5.453996e-04 0 0
1164.3723 1165.3084 3.322318e-17 8.461269e-17 2.458508e-04 0 0
1164.9553 1165.8920 -1.219925e-16 1.759847e-20 -9.193650e-04 0 0
1165.5384 1166.4755 -6.608787e-19 7.510803e-17 -5.062611e-06 0 0
1166.1215 1167.0590 -1.200395e-16 1.731613e-20 -9.344084e-04 0 0
1166.7045 1167.6426 2.186605e-16 1.193815e-16 1.728229e-03 0 0
1167.2876 1168.2261 -1.181551e-16 1.670382e-20 -9.481487e-04 0 0
1167.8707 1168.8096 4.746416e-17 8.228510e-17 3.868619e-04 0 0
1168.4537 1169.3932 -3.493380e-17 5.735145e-17 -2.892446e-04 0 0
1169.0368 1169.9767 2.148098e-17 7.377269e-17 1.809677e-04 0 0
1169.6198 1170.5602 -1.138536e-16 1.571988e-20 -9.760577e-04 0 0
1170.2029 1171.1437 -3.505828e-17 5.455980e-17 -3.064144e-04 0 0
1170.7859 1171.7273 -7.286133e-17 3.808169e-17 -6.491659e-04 0 0
1171.3690 1172.3108 2.285067e-17 6.994613e-17 2.077099e-04 0 0
1171.9521 1172.8943 -1.809408e-17 5.788820e-17 -1.677478e-04 0 0
1172.5351 1173.4778 -3.684422e-17 4.931435e-17 -3.482605e-04 0 0
1173.1182 1174.0613 6.295880e-17 8.665086e-17 6.064667e-04 16 0
1173.7012 1174.6449 -1.794392e-19 6.010386e-17 -1.758744e-06 0 0
1174.2842 1175.2284 -6.951203e-17 3.357947e-17 -6.933042e-04 0 0
1174.8673 1175.8119 2.430568e-16 1.083636e-16 2.463288e-03 0 0
1175.4503 1176.3954 -6.745749e-17 3.377009e-17 -6.944455e-04 0 0
1176.0334 1176.9789 -2.136279e-18 5.682662e-17 -2.229906e-05 0 0
1176.6164 1177.5624 2.700711e-17 6.335706e-17 2.857886e-04 0 0
1177.1995 1178.1459 1.282263e-17 6.057663e-17 1.374191e-04 0 0
1177.7825 1178.7294 2.598733e-17 6.209782e-17 2.820304e-04 0 0
1178.3655 1179.3129 2.630842e-17 6.204801e-17 2.890805e-04 0 0
1178.9486 1179.8964 7.610010e-18 5.655440e-17 8.466141e-05 0 0
1179.5316 1180.4799 9.920997e-18 5.619220e-17 1.118081e-04 0 0
1180.1146 1181.0634 -2.596824e-17 4.464061e-17 -2.964534e-04 0 0
1180.6977 1181.6469 7.620377e-18 5.555799e-17 8.816831e-05 0 0
1181.2807 1182.2304 2.270769e-17 6.010576e-17 2.662537e-04 16 0
1181.8637 1182.8139 1.122637e-16 7.777702e-17 1.334246e-03 0 0
