# obs_wvl flux error
1.589000000000000000e+03 -8.610008359556236510e-15 3.748479466025897653e-15
1.592096110191903563e+03 9.203547032843328413e-16 2.287127745015536776e-15
1.595192220383807125e+03 -2.854256878892827141e-15 1.661865403436526756e-15
1.598288330575710688e+03 -2.148030680882984825e-15 1.347363746680145916e-15
1.601384440767614251e+03 -1.740266559975532694e-15 1.066962049856516961e-15
1.604480550959517814e+03 2.044237637647819857e-16 9.211658675700680971e-16
1.607576661151421376e+03 -1.437134355864767369e-16 7.428377006535858313e-16
1.610672771343324939e+03 -6.029576714489564299e-17 6.437005712891970026e-16
1.613768881535228502e+03 -6.593400392970393162e-16 5.227181488840252785e-16
1.616864991727132065e+03 2.401144191175445583e-16 4.790031517235708699e-16
1.619961101919035627e+03 -4.081141860021458445e-16 3.974216251681720896e-16
1.623057212110939190e+03 -1.773576472764557681e-16 3.519872600615817626e-16
1.626153322302842753e+03 3.266799319754045670e-16 3.324894355054019401e-16
1.629249432494746316e+03 -1.861492151356546865e-16 2.743800339043465302e-16
1.632345542686649878e+03 3.324029631137758371e-16 2.703273179620287191e-16
1.635441652878553441e+03 1.204299320226982340e-16 2.417655243710310428e-16
1.638537763070457004e+03 1.810219407427160692e-16 2.212846515292238691e-16
1.641633873262360567e+03 5.298191378947892673e-17 2.039630536198667268e-16
1.644729983454264129e+03 -3.405515699760629972e-16 1.797145929075852771e-16
1.647826093646167692e+03 4.254401353212890243e-17 1.811203180547913445e-16
1.650922203838071255e+03 -1.923584350901882433e-16 1.626030133296334221e-16
1.654018314029974817e+03 6.062408701733083600e-17 1.621269568343209224e-16
1.657114424221878380e+03 1.052089642412793393e-16 1.545625461369708519e-16
1.660210534413781943e+03 2.351555598734500533e-17 1.425668649507372288e-16
1.663306644605685506e+03 7.972698263603421092e-17 1.403919655521908162e-16
1.666402754797589068e+03 2.357996936750799426e-19 1.334852368981151977e-16
1.669498864989492631e+03 -5.538373975099795148e-17 1.257091671315726980e-16
1.672594975181396194e+03 -8.425346695264715276e-17 1.197849362337664698e-16
1.675691085373299757e+03 -6.469420874100077692e-17 1.169364835425500677e-16
1.678787195565203319e+03 -5.411714112940369207e-17 1.128909726410274435e-16
1.681883305757106882e+03 6.971473043088535599e-17 1.133342469956797038e-16
1.684979415949010445e+03 -9.356643606983603727e-17 1.046201705371746667e-16
1.688075526140914008e+03 7.059721208523864806e-18 1.054718338776187556e-16
1.691171636332817570e+03 2.589133851888529691e-17 1.041497784702506123e-16
1.694267746524721133e+03 1.198437830505511535e-16 1.034725702093857490e-16
1.697363856716624696e+03 -9.725307403357124175e-17 9.322513564970486936e-17
1.700459966908528259e+03 1.432926889241629765e-16 9.849212957090536982e-17
1.703556077100431821e+03 3.503432581413240040e-17 9.296032130403672767e-17
1.706652187292335384e+03 3.900443539296224698e-18 8.934587017840771386e-17
1.709748297484238947e+03 -1.189157503051660278e-16 8.384922761501811429e-17
1.712844407676142509e+03 1.812071980116719729e-16 8.982118988051210727e-17
1.715940517868046072e+03 -2.575604445538068498e-17 8.242648071989113701e-17
1.719036628059949635e+03 -6.959271769943612030e-17 7.898374988557954064e-17
1.722132738251853198e+03 3.988708304571607180e-17 8.040530540894645843e-17
1.725228848443756760e+03 -3.204521331278094011e-17 7.632265734302845405e-17
1.728324958635660323e+03 1.006556885610348461e-16 7.885487223140662958e-17
1.731421068827563886e+03 -1.337262746045128019e-17 7.474217053482233819e-17
1.734517179019467449e+03 2.423246826706346197e-17 7.293603310582033335e-17
1.737613289211371011e+03 5.985289265654898874e-17 7.127411414449435906e-17
1.740709399403274574e+03 -1.043538419882808038e-16 6.580952808139599906e-17
1.743805509595178137e+03 -2.796493203743999602e-17 6.701463901354665102e-17
1.746901619787081700e+03 6.375194450659279210e-17 6.935162867788539083e-17
1.749997729978985262e+03 5.042368608875263571e-18 6.608780416877294353e-17
1.753093840170888825e+03 -1.141259232300417718e-16 6.148514147579597877e-17
1.756189950362792388e+03 4.742000156223747117e-18 6.372692611551612776e-17
1.759286060554695950e+03 -1.290506089773755399e-17 6.178480299653516080e-17
1.762382170746599513e+03 -1.373252238170653324e-16 5.644604244958777759e-17
1.765478280938503076e+03 -1.973052654838741065e-17 5.955953146669706939e-17
1.768574391130406639e+03 -1.229808870451013230e-17 5.852039801202714560e-17
1.771670501322310201e+03 1.073637141493442476e-16 6.167253063838202656e-17
1.774766611514213764e+03 1.128887892873964096e-17 5.767699558032920413e-17
1.777862721706117327e+03 3.256993975092287305e-17 5.646854526839749767e-17
1.780958831898020890e+03 7.858809931162753276e-17 5.783686964267798653e-17
1.784054942089924452e+03 -2.342763066820497474e-19 5.440694071007095275e-17
1.787151052281828015e+03 -4.098047781264021639e-17 5.189637757055040851e-17
