ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.7564,1.0200,0.4045,1.0973,no,1820.00,yes
Al III,1862.790,0.2780,1.7436,0.7876,0.2673,0.8317,yes,909.06,yes
Zn II,2026.137,0.5010,0.4064,0.2813,0.3104,0.4189,no,20.13,yes
Cr II,2056.254,0.1050,0.0000,0.0962,0.0377,0.1033,no,4.28,no
Cr II,2062.234,0.0780,0.2337,0.2483,0.2127,0.3269,no,3.19,no
Zn II,2062.664,0.2460,0.0000,0.1469,0.0419,0.1528,no,10.06,yes
Cr II,2066.161,0.0510,0.0000,0.0570,0.0000,0.0570,no,2.09,no
Fe II,2249.877,0.0018,0.3143,0.3104,0.2646,0.4079,no,0.08,no
Fe II,2260.780,0.0024,0.0000,0.2514,0.2255,0.3378,no,0.11,no
Fe II,2344.214,0.1140,1.2978,0.1046,0.0664,0.1239,yes,5.30,yes
Fe II,2374.461,0.0313,0.9775,0.0882,0.0493,0.1010,yes,1.47,no
Fe II,2382.765,0.3200,1.9545,0.0907,0.0498,0.1034,yes,15.12,yes
Mn II,2576.877,0.3610,0.0000,0.0000,0.0086,0.0086,no,18.45,yes
Fe II,2586.650,0.0691,0.6767,0.0470,0.0790,0.0919,yes,3.54,no
Mn II,2594.499,0.2800,0.0000,0.0000,0.0000,0.0000,no,14.41,yes
Fe II,2600.173,0.2390,1.2366,0.0630,0.0956,0.1144,yes,12.32,yes
Mn II,2606.462,0.1980,0.0000,0.0000,0.0000,0.0000,no,10.23,yes
Mg II,2796.352,0.6150,3.3286,0.0335,0.0280,0.0437,yes,10633.33,yes
Mg II,2803.531,0.3060,2.6769,0.0323,0.0262,0.0416,yes,5304.31,yes
Mg I,2852.964,1.8300,0.6490,0.0435,0.0607,0.0747,yes,1.03,no
