# obs_wvl flux error
2.967000000000000000e+03 5.645679398331552259e-16 3.450996662356182155e-16
2.972493853126802605e+03 2.294985269681336096e-16 2.272740850851060096e-16
2.977987706253605211e+03 4.392599002078959402e-16 2.167215131394860481e-16
2.983481559380407816e+03 4.969537970846424735e-16 2.349257722580715708e-16
2.988975412507210422e+03 2.208895540920109487e-16 2.132277073250001907e-16
2.994469265634013027e+03 -1.186290833160864272e-16 1.918769035291379426e-16
2.999963118760815632e+03 9.743538515045076724e-16 2.170732227385145172e-16
3.005456971887618238e+03 1.854618535235456854e-15 5.142383073615203581e-16
3.010950825014420843e+03 2.627101308578580419e-16 1.838034178098831016e-16
3.016444678141223449e+03 7.646454276981510326e-17 2.518703728980299958e-16
3.021938531268026054e+03 -1.121488630959610595e-16 1.737444525006321005e-16
3.027432384394828659e+03 4.252534004532499795e-16 1.675300695549681582e-16
3.032926237521631265e+03 1.496878189545962733e-16 1.570675103732886460e-16
3.038420090648433870e+03 1.362669371355264443e-16 1.594428270013311606e-16
3.043913943775236476e+03 4.014690377137153560e-16 1.464294768145759817e-16
3.049407796902039081e+03 5.354608960232094185e-17 1.390771758733202238e-16
3.054901650028841686e+03 2.627870237680850996e-16 1.418358866698132153e-16
3.060395503155644292e+03 2.473259831879649163e-15 1.683572705070949378e-16
3.065889356282446897e+03 3.171232686951990822e-16 1.357471654470639717e-16
3.071383209409249503e+03 1.051254650345199190e-17 1.256792976990260134e-16
3.076877062536052108e+03 1.665222615608485977e-16 1.242623109713577865e-16
3.082370915662854713e+03 4.619259963365116392e-16 1.459553765366687284e-16
3.087864768789657319e+03 5.790397280349224508e-17 1.213026927811194358e-16
3.093358621916459924e+03 1.494929792305374263e-16 1.283944834819428537e-16
3.098852475043262530e+03 2.177634106361841886e-16 1.198581923460418078e-16
3.104346328170065135e+03 -3.995057473947325237e-17 1.183161924155603661e-16
3.109840181296867740e+03 2.189862888536881114e-16 1.155075010965148182e-16
3.115334034423670346e+03 2.329551375817293234e-16 1.400242202070026333e-16
3.120827887550472951e+03 2.173887059722217419e-16 1.114573405968256122e-16
3.126321740677275557e+03 2.773732769922670928e-16 1.150085686405363104e-16
3.131815593804078162e+03 1.838565599396568708e-16 1.210672239585832987e-16
3.137309446930880767e+03 6.087725577624449485e-18 1.812134868780913028e-16
3.142803300057683373e+03 3.042144811307288645e-16 1.154724069435290286e-16
3.148297153184485978e+03 8.160289805704707101e-17 1.108110575538806808e-16
3.153791006311288584e+03 3.759598740108293369e-16 1.174356053972803790e-16
3.159284859438091189e+03 -2.223191360374034053e-16 2.104144886033769447e-16
3.164778712564893794e+03 2.887817510973827400e-16 1.040964463636117395e-16
3.170272565691696400e+03 3.872913495775440130e-16 1.198981441417869548e-16
3.175766418818499005e+03 2.963130366317174882e-16 1.172613246546561109e-16
3.181260271945301611e+03 2.008778895432507512e-16 1.008981125220866187e-16
3.186754125072104216e+03 1.488250850592375296e-16 1.058278630184206896e-16
3.192247978198906821e+03 2.679908379946640454e-16 9.561578396214162935e-17
3.197741831325709427e+03 1.727393225994796459e-16 1.085567549848120368e-16
3.203235684452512032e+03 6.972440745338637888e-16 1.646699161275802377e-16
3.208729537579314638e+03 2.358956088491436926e-16 9.172163862574877716e-17
3.214223390706117243e+03 1.557542147183170702e-16 1.003970313639814216e-16
3.219717243832919849e+03 3.095767013303292581e-17 8.771930166387396449e-17
3.225211096959722454e+03 3.020073235216576431e-16 1.034461680730480582e-16
3.230704950086525059e+03 4.097515196738289047e-17 1.014528849183037035e-16
3.236198803213327665e+03 3.500207024344338630e-16 1.012977352140028548e-16
3.241692656340130270e+03 1.854156958507580868e-16 8.431002124077273536e-17
3.247186509466932876e+03 3.452755636602001882e-16 8.697323675932013786e-17
3.252680362593735481e+03 2.238416278269704773e-16 8.895034932123121062e-17
3.258174215720538086e+03 1.618142701384340998e-16 8.189282687162438462e-17
3.263668068847340692e+03 -7.299437180065949404e-19 9.224041146051927516e-17
3.269161921974143297e+03 3.467608038626630846e-16 8.893589743490090121e-17
3.274655775100945903e+03 2.155396612828233532e-16 8.153077078827346262e-17
3.280149628227748508e+03 2.644179877758960974e-16 8.228648880822799834e-17
3.285643481354551113e+03 8.748514664050217571e-16 9.518753718772367834e-17
3.291137334481353719e+03 7.843920479093805875e-16 9.032167711901342595e-17
3.296631187608156324e+03 2.321800611759496237e-16 7.784188107502652718e-17
3.302125040734958930e+03 1.932469448967096763e-16 7.791427847919163084e-17
3.307618893861761535e+03 2.538779508972655988e-16 7.692660090016679560e-17
3.313112746988564140e+03 2.475500064673266416e-16 7.967410715986079974e-17
3.318606600115366746e+03 2.680666266638043355e-16 7.839083119187749370e-17
3.324100453242169351e+03 3.423057068023143253e-16 8.075107279678527179e-17
3.329594306368971957e+03 2.754930596099001049e-16 7.798963229935526577e-17
3.335088159495774562e+03 3.288375391027906607e-16 7.540950139790693824e-17
3.340582012622577167e+03 1.701455490817176392e-16 7.517446677099754573e-17
3.346075865749379773e+03 7.871198574134020889e-16 1.852721374437712132e-16
3.351569718876182378e+03 2.696030802055639585e-16 7.246092125420579205e-17
3.357063572002984984e+03 3.141810544027438602e-16 7.546460934389851135e-17
3.362557425129787589e+03 1.975048091264067081e-16 7.191562112694975864e-17
3.368051278256590194e+03 3.616854915711262328e-16 7.183920342822444556e-17
3.373545131383392800e+03 2.251778350136610376e-16 6.987173021259399422e-17
3.379038984510195405e+03 3.187103754204120672e-16 7.050936098898419603e-17
3.384532837636998011e+03 1.791627130114948877e-16 7.617621854797297140e-17
3.390026690763800616e+03 -1.267321076150913603e-16 1.430540605970082429e-16
3.395520543890603221e+03 2.773806446081592447e-16 8.006547518201318754e-17
3.401014397017405827e+03 2.189626943976093898e-16 6.985290093048660637e-17
3.406508250144208432e+03 3.247356062020964014e-16 6.988947320733323657e-17
3.412002103271011038e+03 2.475989577697324587e-16 8.086247455066278926e-17
3.417495956397813643e+03 3.057794868446112089e-16 7.952613733376888841e-17
3.422989809524616248e+03 3.328963082012795165e-16 6.766020818601365633e-17
3.428483662651418854e+03 3.613953049837315411e-16 7.512850590405847079e-17
3.433977515778221459e+03 3.944373793476449015e-16 8.000701773955452461e-17
3.439471368905024065e+03 2.846869907287937788e-16 6.668751111752267778e-17
3.444965222031826670e+03 3.370903603181572224e-16 7.280398316359498765e-17
3.450459075158629275e+03 4.352480628397738562e-16 7.138038961524721118e-17
3.455952928285431881e+03 3.792775276038023347e-16 6.492842056504916245e-17
3.461446781412234486e+03 3.902070658549412886e-16 6.386647927069049609e-17
