# PTF12GZK obp005060 G230L MAMA z=0.014 a2center=499.6 extrsize=11 exptime=1279.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1568.6373 1590.5982 -1.731872e-14 1.419223e-14 -8.828179e-03 2580 0
1570.1596 1592.1418 2.435409e-15 1.002716e-14 1.417267e-03 2564 0
1571.6819 1593.6854 -8.863821e-16 4.840356e-15 -5.848912e-04 2564 0
1573.2042 1595.2291 3.654469e-15 5.970498e-15 2.738384e-03 2564 0
1574.7265 1596.7727 3.224032e-15 5.658886e-15 2.721863e-03 2048 0
1576.2488 1598.3163 -8.080779e-15 4.092563e-15 -7.688298e-03 0 0
1577.7712 1599.8600 -5.702940e-16 4.438848e-15 -6.063801e-04 0 0
1579.2935 1601.4036 -1.297014e-15 3.675697e-15 -1.539299e-03 0 0
1580.8159 1602.9473 -8.876895e-17 3.404083e-15 -1.166770e-04 0 0
1582.3383 1604.4910 -3.143840e-15 2.958738e-15 -4.569194e-03 0 0
1583.8606 1606.0347 -2.418372e-15 2.641031e-15 -3.859934e-03 0 0
1585.3830 1607.5784 1.405287e-15 2.732774e-15 2.460046e-03 0 0
1586.9054 1609.1221 1.567338e-15 2.511785e-15 2.991237e-03 0 0
1588.4278 1610.6658 -5.971957e-16 2.136410e-15 -1.241447e-03 0 0
1589.9502 1612.2095 -1.335113e-15 1.882641e-15 -3.006852e-03 0 0
1591.4726 1613.7532 2.270101e-15 2.039763e-15 5.534303e-03 0 0
1592.9951 1615.2970 -1.784057e-15 1.556456e-15 -4.685207e-03 0 0
1594.5175 1616.8407 -6.535212e-16 1.550612e-15 -1.846797e-03 0 0
1596.0399 1618.3845 1.368817e-15 1.635606e-15 4.144237e-03 0 0
1597.5624 1619.9283 -1.054872e-15 1.308234e-15 -3.417167e-03 0 0
1599.0848 1621.4720 -7.396092e-16 1.232921e-15 -2.553623e-03 0 0
1600.6073 1623.0158 1.908156e-15 1.399750e-15 7.010996e-03 0 0
1602.1298 1624.5596 -7.096074e-16 1.087771e-15 -2.765227e-03 0 0
1603.6523 1626.1034 -1.382211e-15 1.000807e-15 -5.702471e-03 0 0
1605.1748 1627.6472 -3.530165e-16 1.004441e-15 -1.537454e-03 0 0
1606.6973 1629.1910 9.916696e-16 1.053058e-15 4.550574e-03 0 0
1608.2198 1630.7349 1.042160e-17 9.228656e-16 5.026418e-05 0 0
