# PTF12GZK obp0060a0 G230L MAMA z=0.014 a2center=580.8 extrsize=11 exptime=797.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1567.6824 1589.6300 -7.423673e-16 1.416387e-14 -3.453685e-04 2564 0
1569.2052 1591.1741 -1.781859e-15 1.422173e-14 -9.574641e-04 2564 0
1570.7281 1592.7183 -2.968707e-15 6.558048e-15 -1.809917e-03 2564 0
1572.2509 1594.2624 -1.195436e-14 6.547197e-15 -8.297864e-03 2564 0
1573.7737 1595.8065 -9.885998e-15 7.062769e-15 -7.748153e-03 2048 0
1575.2965 1597.3507 -5.888463e-17 6.939305e-15 -5.213602e-05 0 0
1576.8194 1598.8949 -9.015497e-16 6.130219e-15 -8.950343e-04 0 0
1578.3422 1600.4390 7.038066e-16 5.079515e-15 7.818029e-04 0 0
1579.8651 1601.9832 1.071925e-14 5.568432e-15 1.323363e-02 0 0
1581.3880 1603.5274 -6.124395e-15 3.719263e-15 -8.378359e-03 0 0
1582.9109 1605.0716 1.991639e-15 4.162609e-15 3.001936e-03 0 0
1584.4338 1606.6158 3.966469e-15 3.896984e-15 6.567943e-03 0 0
1585.9567 1608.1601 1.536153e-15 3.404487e-15 2.781389e-03 0 0
1587.4796 1609.7043 -1.891178e-16 2.952825e-15 -3.734258e-04 0 0
1589.0025 1611.2485 3.657076e-15 3.088863e-15 7.845107e-03 0 0
1590.5254 1612.7928 3.254733e-15 2.833297e-15 7.565357e-03 0 0
1592.0484 1614.3370 2.776617e-15 2.580858e-15 6.970771e-03 0 0
1593.5713 1615.8813 4.916721e-15 2.635472e-15 1.329531e-02 0 0
1595.0943 1617.4256 -1.592174e-15 1.842804e-15 -4.624030e-03 0 0
1596.6172 1618.9699 3.441212e-15 2.175212e-15 1.070389e-02 0 0
1598.1402 1620.5142 7.439335e-16 1.839296e-15 2.471860e-03 0 0
1599.6632 1622.0585 1.783688e-15 1.844700e-15 6.313624e-03 0 0
1601.1862 1623.6028 2.578088e-15 1.792593e-15 9.697750e-03 0 0
1602.7092 1625.1471 -1.161010e-15 1.326905e-15 -4.628887e-03 0 0
1604.2322 1626.6914 -1.819945e-15 1.177333e-15 -7.673133e-03 0 0
1605.7552 1628.2358 -1.381136e-15 1.165434e-15 -6.142628e-03 0 0
1607.2782 1629.7801 4.682971e-16 1.308725e-15 2.192356e-03 0 0
1608.8013 1631.3245 -1.797247e-15 9.700726e-16 -8.836697e-03 0 0
1610.3243 1632.8689 -6.199342e-16 1.093895e-15 -3.194831e-03 0 0
1611.8474 1634.4133 -1.080703e-15 9.432771e-16 -5.825693e-03 0 0
1613.3705 1635.9576 8.859216e-17 1.044347e-15 4.986099e-04 0 0
1614.8935 1637.5020 -1.742486e-15 7.835372e-16 -1.022060e-02 0 0
1616.4166 1639.0465 -1.683114e-15 7.531848e-16 -1.027075e-02 0 0
1617.9397 1640.5909 -4.323467e-16 8.634677e-16 -2.740429e-03 0 0
1619.4628 1642.1353 -1.651121e-16 8.705185e-16 -1.085335e-03 0 0
