# obs_wvl flux error
1.138000000000000000e+03 -3.199530293012625968e-15 1.956224007878882982e-18
1.138583036267609941e+03 -2.757469229849824508e-15 1.363822647311279745e-18
1.139166072535219882e+03 -1.224941414846644536e-15 4.584083399453408245e-19
1.139749108802829824e+03 -7.944559028618439338e-16 2.870511521807303151e-19
1.140332145070439765e+03 -3.901113458467693077e-16 2.276327382175035537e-19
1.140915181338049706e+03 -2.604855747711071534e-16 1.992421006852889226e-19
1.141498217605659647e+03 -3.824106317562770947e-16 1.339351680721981067e-19
1.142081253873269588e+03 -2.300146451461735751e-16 1.188017726313221043e-19
1.142664290140879530e+03 -1.857001563534311885e-16 9.014442923558688864e-20
1.143247326408489471e+03 -2.192383842613540443e-16 6.405742019441100480e-20
1.143830362676099412e+03 -1.579106477374138454e-16 6.957979163873180169e-20
1.144413398943709353e+03 -1.335779752012320449e-16 5.665689336839534822e-20
1.144996435211319294e+03 -1.333810994792366871e-16 4.056432632979339590e-20
1.145579471478929236e+03 -6.647189236529941475e-17 4.119548280192656314e-20
1.146162507746539177e+03 -6.133333022664781861e-17 3.974272978522631594e-20
1.146745544014149118e+03 -7.952596677226080816e-17 2.894812640640027755e-20
1.147328580281759059e+03 -7.013341771643062680e-17 2.479296145612021888e-20
1.147911616549369000e+03 -6.707374855212484350e-17 2.346688435765912828e-20
1.148494652816978942e+03 -6.212772006524406213e-17 2.131735494496518314e-20
1.149077689084588883e+03 -6.787545326296141681e-17 1.810339550966662684e-20
1.149660725352198824e+03 -7.316864190841668952e-17 1.846483255889470778e-20
1.150243761619808765e+03 -8.495771559369333625e-17 2.121655729658360333e-20
1.150826797887418707e+03 -5.634111461185373991e-17 1.976076003809159450e-20
1.151409834155028648e+03 -3.000939770538835879e-17 1.660311454337216834e-20
1.151992870422638589e+03 -4.092541493415877213e-17 1.248059698860175249e-20
1.152575906690248530e+03 -3.470839720600288032e-17 1.313126932479699562e-20
1.153158942957858471e+03 -3.425843092702578228e-17 1.335759271057424085e-20
1.153741979225468413e+03 -5.351490506919769922e-17 1.092540040341742261e-20
1.154325015493078354e+03 -2.426078658408819141e-17 1.321774665032893988e-20
1.154908051760688295e+03 -2.651652812362962552e-17 1.337730277971327613e-20
1.155491088028298236e+03 -3.867558693473561090e-17 1.186733920337523668e-20
1.156074124295908177e+03 -4.308675862756330776e-17 9.110283246339230219e-21
1.156657160563518119e+03 -3.688290941790204728e-17 1.206063590609101145e-20
1.157240196831128060e+03 -3.612581910118081038e-17 1.157746742623908703e-20
1.157823233098738001e+03 -1.261830072200335202e-17 1.422440601554335901e-20
1.158406269366347942e+03 -2.046206100069309798e-17 1.035463216357247190e-20
1.158989305633957883e+03 -4.005106176418023317e-17 8.046892373496574189e-21
1.159572341901567825e+03 -3.747536074901841710e-17 8.619084389014928814e-21
1.160155378169177766e+03 -2.255559199669104093e-17 9.570677726237930415e-21
1.160738414436787707e+03 -1.849742931505693655e-17 8.907501489856062423e-21
1.161321450704397648e+03 -1.798169276251935245e-17 8.789431934658441617e-21
1.161904486972007589e+03 -3.316699085138000346e-17 6.903538206395732195e-21
1.162487523239617531e+03 -2.513411943390818401e-17 7.541361682154853737e-21
1.163070559507227472e+03 -2.094481689565389122e-17 8.149812798947988282e-21
1.163653595774837413e+03 -1.127041891541427206e-17 9.334494701218069774e-21
1.164236632042447354e+03 -2.864734145571871428e-17 8.085582960535523172e-21
1.164819668310057295e+03 -3.797744249086934900e-17 7.737425020209113401e-21
1.165402704577667237e+03 -2.740431851718566691e-17 7.231534389345568871e-21
1.165985740845277178e+03 -2.871570839065262354e-17 6.245861942235297129e-21
1.166568777112887119e+03 -2.589267600005946376e-17 6.012699414555997815e-21
1.167151813380497060e+03 -2.558123240210786618e-17 5.805961128326109286e-21
1.167734849648107001e+03 -1.601597428589738435e-17 7.042806286942769029e-21
1.168317885915716943e+03 -1.740136210241530662e-17 8.076886487922293265e-21
1.168900922183326884e+03 -5.312347981063861108e-18 8.929812658654937750e-21
1.169483958450936825e+03 -7.057923038842150069e-18 7.714748683915974327e-21
1.170066994718546766e+03 -2.347089692483843339e-17 5.073861511145935173e-21
1.170650030986156708e+03 -2.274233289985378491e-17 5.764178981262174984e-21
1.171233067253766649e+03 -3.492769399786591174e-17 6.368045387905290917e-21
1.171816103521376590e+03 -2.218717228580916227e-17 5.540762447699639825e-21
1.172399139788986531e+03 -2.580383028341711325e-17 5.157246121583831567e-21
1.172982176056596472e+03 -5.107112962091847116e-18 7.902657995641664394e-21
1.173565212324206414e+03 -5.028226466196383559e-18 7.852642252054032651e-21
1.174148248591816355e+03 -6.503155818498300622e-18 8.323414638776305440e-21
1.174731284859426296e+03 -6.399028677278438202e-18 7.982488479122035108e-21
1.175314321127036237e+03 -2.066283490008862221e-17 5.096567831205581863e-21
1.175897357394646178e+03 -2.581595511085463942e-17 4.893759400685721014e-21
1.176480393662256120e+03 -2.332421965786009281e-17 4.695908350136812307e-21
1.177063429929866061e+03 -1.566440102666107569e-17 5.408025834754727447e-21
1.177646466197476002e+03 -1.539706764653579035e-17 5.740760612838188736e-21
1.178229502465085943e+03 -2.836704816443903387e-17 6.335111743614332495e-21
1.178812538732695884e+03 -2.679366940985317395e-17 6.368019982374658034e-21
1.179395575000305826e+03 -2.502016645181388350e-17 4.581003653489594551e-21
1.179978611267915767e+03 -2.573506292029104653e-17 4.553914738477750040e-21
1.180561647535525708e+03 -2.741498911055055288e-17 8.318875987368472624e-21
1.181144683803135649e+03 -1.753262661686295342e-17 6.285491421773866577e-21
1.181727720070745590e+03 -6.735447436590224445e-18 4.901228151319769809e-21
1.182310756338355532e+03 -1.449178664090842707e-17 4.693497931585164947e-21
1.182893792605965473e+03 -6.813215994277009777e-18 5.843559893197126867e-21
1.183476828873575414e+03 -6.528179031028742750e-18 5.542818380662453526e-21
1.184059865141185355e+03 -1.483366982942692749e-17 4.698116540846366807e-21
1.184642901408795296e+03 -1.271863444433268551e-17 4.136926677697753112e-21
1.185225937676405238e+03 -5.684183917347284575e-18 4.896327368637354745e-21
1.185808973944015179e+03 -5.540143419973742617e-18 4.746621522720661946e-21
1.186392010211625120e+03 -1.358399812552096699e-17 4.612426459573079680e-21
1.186975046479235061e+03 -3.353430846284365456e-17 5.948715972435954759e-21
1.187558082746845002e+03 -8.444264355536526629e-18 6.657763487416976017e-21
1.188141119014454944e+03 -6.080934041186034296e-18 5.034763921295717129e-21
1.188724155282064885e+03 -1.778173527350771605e-17 4.950348873308134466e-21
1.189307191549674826e+03 -4.868612523487897138e-18 6.116547603060297191e-21
1.189890227817284767e+03 -5.026913312548601564e-18 5.711899907157293282e-21
1.190473264084894709e+03 -7.427700347764976853e-18 7.822246903141339755e-21
1.191056300352504650e+03 -1.643158218535027526e-17 5.169719355282593352e-21
1.191639336620114591e+03 -1.251994689180376183e-17 4.158627953900876809e-21
1.192222372887724532e+03 -1.644382715446851420e-17 4.963277935124861982e-21
1.192805409155334473e+03 -1.861391266308426259e-17 4.931626637206742680e-21
1.193388445422944415e+03 -9.876353142430333183e-18 1.318628071827775352e-18
1.193971481690554356e+03 -1.417064873559074490e-17 4.784276184135333896e-21
1.194554517958164297e+03 -1.637843089283094504e-17 5.670841553155574678e-21
1.195137554225774238e+03 -1.742803215581173516e-17 3.589241354071332578e-21
1.195720590493384179e+03 -1.943790726789243493e-17 3.684888360799972194e-21
1.196303626760994121e+03 -2.461146473073733272e-17 4.256708015850486441e-21
1.196886663028604062e+03 -2.987322883873595886e-17 4.566425191410160892e-21
1.197469699296214003e+03 -1.669366554879871055e-17 3.190574738127886213e-21
1.198052735563823944e+03 -2.439215449640650763e-17 4.061225473181295480e-21
1.198635771831433885e+03 -6.612584977716070882e-18 6.936719231575258065e-21
1.199218808099043827e+03 9.214900220685157283e-18 1.484481340873523831e-17
1.199801844366653768e+03 4.135732979248649835e-17 1.789339342320667422e-17
1.200384880634263709e+03 1.039188112795350941e-17 7.178312199469869430e-18
1.200967916901873650e+03 -5.166834079917112163e-18 3.892276987243999485e-21
1.201550953169483591e+03 -6.257400524945307993e-18 6.397578123238187128e-21
1.202133989437093533e+03 -1.713481323085110949e-17 4.312668421077293141e-21
1.202717025704703474e+03 -2.520319940764406129e-17 5.570905641688164817e-21
1.203300061972313415e+03 -5.883678827807379192e-18 4.367341121704218719e-21
1.203883098239923356e+03 -1.451872311414269021e-17 3.165361775561933827e-21
1.204466134507533297e+03 -5.767844732365987785e-18 4.300761304956160802e-21
1.205049170775143239e+03 -9.805177724856989687e-18 8.857768577397581192e-19
1.205632207042753180e+03 -8.336721847868867521e-18 6.168552307760366077e-19
1.206215243310363121e+03 -5.017344777046010221e-18 3.704593670640774930e-21
1.206798279577973062e+03 -5.884639006637768875e-18 5.977725583294577170e-21
1.207381315845583003e+03 -3.270121707690363909e-17 2.053591262994382255e-19
1.207964352113192945e+03 -1.031030694521765862e-17 2.829692092934928564e-21
1.208547388380802886e+03 -1.926148590562929736e-18 3.783327609089221829e-21
