# SN-2005IP od8701010 G140L MAMA z=0.007 a2center=305.9 extrsize=11 exptime=453.0 mode=fixed flags=low_detect,center_mismatch(306vs413)
# rest_wvl obs_wvl flux error net dq mask
1112.3335 1120.1198 0.000000e+00 0.000000e+00 -7.003375e-05 2564 0
1112.9129 1120.7033 0.000000e+00 0.000000e+00 2.153304e-03 2564 0
1113.4922 1121.2867 0.000000e+00 0.000000e+00 -7.003373e-05 2564 0
1114.0716 1121.8701 0.000000e+00 0.000000e+00 -7.003373e-05 2564 0
1114.6510 1122.4536 0.000000e+00 0.000000e+00 -7.098715e-06 3584 0
1115.2304 1123.0370 0.000000e+00 0.000000e+00 1.834727e-06 512 0
1115.8097 1123.6204 0.000000e+00 0.000000e+00 1.842636e-07 512 0
1116.3891 1124.2038 0.000000e+00 0.000000e+00 2.856548e-06 512 0
1116.9685 1124.7872 0.000000e+00 0.000000e+00 -7.164053e-07 512 0
1117.5478 1125.3707 0.000000e+00 0.000000e+00 2.961824e-07 512 0
1118.1272 1125.9541 0.000000e+00 0.000000e+00 -3.269975e-04 512 0
1118.7066 1126.5375 0.000000e+00 0.000000e+00 -3.285592e-04 512 0
1119.2859 1127.1209 0.000000e+00 0.000000e+00 -3.289045e-04 512 0
1119.8653 1127.7043 0.000000e+00 0.000000e+00 -3.327726e-04 512 0
1120.4446 1128.2877 0.000000e+00 0.000000e+00 -3.273742e-04 512 0
1121.0240 1128.8712 0.000000e+00 0.000000e+00 -3.329991e-04 512 0
1121.6033 1129.4546 0.000000e+00 0.000000e+00 -3.293821e-04 512 0
1122.1827 1130.0380 0.000000e+00 0.000000e+00 -3.322443e-04 512 0
1122.7620 1130.6214 0.000000e+00 0.000000e+00 -3.320505e-04 512 0
1123.3414 1131.2048 0.000000e+00 0.000000e+00 4.150316e-03 512 0
1123.9207 1131.7882 0.000000e+00 0.000000e+00 -3.337500e-04 512 0
1124.5001 1132.3716 0.000000e+00 0.000000e+00 -3.343421e-04 512 0
1125.0794 1132.9550 0.000000e+00 0.000000e+00 -3.373367e-04 512 0
1125.6588 1133.5384 0.000000e+00 0.000000e+00 -3.356898e-04 512 0
1126.2381 1134.1218 0.000000e+00 0.000000e+00 -3.359947e-04 512 0
1126.8174 1134.7052 0.000000e+00 0.000000e+00 -3.344613e-04 512 0
1127.3968 1135.2886 0.000000e+00 0.000000e+00 -3.362373e-04 512 0
1127.9761 1135.8719 0.000000e+00 0.000000e+00 -3.364837e-04 512 0
1128.5554 1136.4553 0.000000e+00 0.000000e+00 -3.372457e-04 512 0
1129.1348 1137.0387 0.000000e+00 0.000000e+00 -3.378767e-04 512 0
1129.7141 1137.6221 0.000000e+00 0.000000e+00 -3.391970e-04 512 0
1130.2934 1138.2055 0.000000e+00 0.000000e+00 1.827529e-03 512 0
1130.8728 1138.7889 -6.220727e-15 2.442083e-18 -3.380727e-04 0 0
1131.4521 1139.3723 -2.985500e-15 1.209716e-18 -3.406829e-04 0 0
1132.0314 1139.9556 -1.962276e-15 7.965441e-19 -3.413456e-04 0 0
1132.6107 1140.5390 -1.457407e-15 5.859163e-19 -3.412048e-04 0 0
1133.1901 1141.1224 6.252361e-15 7.417009e-15 1.841886e-03 0 0
1133.7694 1141.7058 -9.019997e-16 3.535354e-19 -3.405213e-04 0 0
1134.3487 1142.2891 -7.382103e-16 3.122163e-19 -3.460499e-04 0 0
1134.9280 1142.8725 -5.831415e-16 2.306589e-19 -3.420796e-04 0 0
1135.5073 1143.4559 -4.809635e-16 1.939314e-19 -3.438196e-04 0 0
1136.0866 1144.0392 -3.976699e-16 1.630167e-19 -3.453800e-04 0 0
1136.6659 1144.6226 -3.344320e-16 1.360794e-19 -3.453591e-04 0 0
1137.2452 1145.2060 1.460729e-15 1.743746e-15 1.771088e-03 0 0
1137.8246 1145.7893 -2.479024e-16 1.018540e-19 -3.468723e-04 0 0
1138.4039 1146.3727 -2.162509e-16 8.473855e-20 -3.441822e-04 0 0
1138.9832 1146.9560 -1.939271e-16 7.824415e-20 -3.465186e-04 0 0
1139.5625 1147.5394 -1.756122e-16 7.233391e-20 -3.483239e-04 0 0
1140.1418 1148.1228 -1.593644e-16 6.457175e-20 -3.476051e-04 0 0
1140.7211 1148.7061 -1.463555e-16 5.983806e-20 -3.485783e-04 0 0
1141.3004 1149.2895 -1.341875e-16 5.303039e-20 -3.467461e-04 0 0
1141.8797 1149.8728 -1.244974e-16 5.002338e-20 -3.482181e-04 0 0
1142.4589 1150.4562 -1.157584e-16 4.685531e-20 -3.490958e-04 0 0
1143.0382 1151.0395 -1.068499e-16 4.182405e-20 -3.472397e-04 0 0
1143.6175 1151.6229 -1.006001e-16 4.165567e-20 -3.513328e-04 0 0
1144.1968 1152.2062 -9.291929e-17 3.640561e-20 -3.479980e-04 0 0
1144.7761 1152.7895 -8.739587e-17 3.507957e-20 -3.499370e-04 0 0
1145.3554 1153.3729 -8.159615e-17 3.159854e-20 -3.479647e-04 0 0
1145.9347 1153.9562 -7.765632e-17 3.157027e-20 -3.514935e-04 0 0
1146.5140 1154.5396 3.797006e-16 4.524024e-16 1.814168e-03 0 0
1147.0932 1155.1229 -6.969756e-17 2.747235e-20 -3.501519e-04 0 0
1147.6725 1155.7062 -6.655671e-17 2.583287e-20 -3.494482e-04 0 0
1148.2518 1156.2896 -6.386215e-17 2.451136e-20 -3.490151e-04 0 0
1148.8311 1156.8729 -6.183582e-17 2.403075e-20 -3.501294e-04 0 0
1149.4103 1157.4562 -6.002368e-17 2.353952e-20 -3.510303e-04 0 0
1149.9896 1158.0395 -5.807030e-17 2.222275e-20 -3.497340e-04 0 0
