# SN-2005IP od8701070 G140L MAMA z=0.007 a2center=385.0 extrsize=11 exptime=634.0 mode=fixed flags=low_detect
# rest_wvl obs_wvl flux error net dq mask
1111.8484 1119.6313 0.000000e+00 0.000000e+00 -7.002483e-05 2564 0
1112.4281 1120.2151 0.000000e+00 0.000000e+00 -7.002483e-05 2564 0
1113.0079 1120.7990 0.000000e+00 0.000000e+00 -7.002483e-05 2564 0
1113.5877 1121.3828 0.000000e+00 0.000000e+00 -7.002483e-05 2564 0
1114.1674 1121.9666 0.000000e+00 0.000000e+00 7.808849e-07 2560 0
1114.7472 1122.5504 0.000000e+00 0.000000e+00 -7.873823e-07 512 0
1115.3269 1123.1342 0.000000e+00 0.000000e+00 -3.126099e-04 528 0
1115.9067 1123.7181 0.000000e+00 0.000000e+00 -1.743494e-06 512 0
1116.4865 1124.3019 0.000000e+00 0.000000e+00 2.154411e-07 512 0
1117.0662 1124.8857 0.000000e+00 0.000000e+00 -1.633693e-06 512 0
1117.6460 1125.4695 0.000000e+00 0.000000e+00 -5.505867e-04 512 0
1118.2257 1126.0533 0.000000e+00 0.000000e+00 -5.557908e-04 512 0
1118.8055 1126.6371 0.000000e+00 0.000000e+00 -5.601907e-04 512 0
1119.3852 1127.2209 0.000000e+00 0.000000e+00 -5.673725e-04 512 0
1119.9650 1127.8047 0.000000e+00 0.000000e+00 -5.661651e-04 512 0
1120.5447 1128.3885 0.000000e+00 0.000000e+00 -5.747859e-04 512 0
1121.1245 1128.9723 0.000000e+00 0.000000e+00 -5.757143e-04 512 0
1121.7042 1129.5561 0.000000e+00 0.000000e+00 1.018587e-03 512 0
1122.2839 1130.1399 0.000000e+00 0.000000e+00 -5.855283e-04 512 0
1122.8637 1130.7237 0.000000e+00 0.000000e+00 -3.771197e-04 512 0
1123.4434 1131.3075 0.000000e+00 0.000000e+00 -5.926670e-04 512 0
1124.0232 1131.8913 0.000000e+00 0.000000e+00 -5.962827e-04 512 0
1124.6029 1132.4751 0.000000e+00 0.000000e+00 -6.005781e-04 512 0
1125.1826 1133.0589 0.000000e+00 0.000000e+00 -6.049470e-04 512 0
1125.7624 1133.6427 0.000000e+00 0.000000e+00 2.736567e-03 512 0
1126.3421 1134.2265 0.000000e+00 0.000000e+00 -6.104659e-04 512 0
1126.9218 1134.8103 0.000000e+00 0.000000e+00 -6.144138e-04 512 0
1127.5016 1135.3941 0.000000e+00 0.000000e+00 -6.184264e-04 512 0
1128.0813 1135.9779 0.000000e+00 0.000000e+00 -6.219795e-04 512 0
