# obs_wvl flux error
1.586000000000000000e+03 -9.395778768483549832e-15 4.821078418139257109e-15
1.589096307022264909e+03 4.579590742397809772e-16 2.836138776426512356e-15
1.592192614044529819e+03 -3.020996776081734658e-16 2.027592592407497978e-15
1.595288921066794728e+03 -1.487192827735547848e-15 1.518408279025769867e-15
1.598385228089059638e+03 -1.300478124566509223e-15 1.228967866731315513e-15
1.601481535111324547e+03 -5.292568828557086380e-16 1.014450421382592007e-15
1.604577842133589456e+03 -2.871331946524504271e-16 8.172478969358842859e-16
1.607674149155854366e+03 2.841444318290578345e-16 6.989709477001941852e-16
1.610770456178119275e+03 3.539795400599088277e-16 5.851496873011358667e-16
1.613866763200384185e+03 -1.145216279633845753e-16 4.879211343193333806e-16
1.616963070222649094e+03 -1.285598597255426082e-16 4.206573167813408678e-16
1.620059377244914003e+03 -2.807160234712349759e-16 3.628179790768313010e-16
1.623155684267178913e+03 -5.268407782105262834e-16 3.144575266849814408e-16
1.626251991289443822e+03 -2.273321568225525771e-16 2.810922402502269642e-16
1.629348298311708731e+03 -2.792469274254301744e-16 2.538191558217223902e-16
1.632444605333973641e+03 2.191366993325415830e-17 2.386473983514124157e-16
1.635540912356238550e+03 -5.630185246164402678e-17 2.148977961567880018e-16
1.638637219378503460e+03 -4.606999328510397345e-16 1.836125028938914464e-16
1.641733526400768369e+03 -3.532639477052556167e-16 1.728307028677073080e-16
1.644829833423033278e+03 -1.641089168170135624e-16 1.659039192821471796e-16
1.647926140445298188e+03 2.179503985402853207e-16 1.688365023384329906e-16
1.651022447467563097e+03 -1.415665515596531790e-16 1.475471937841080419e-16
1.654118754489828007e+03 -1.670251890101646038e-16 1.391489042128046542e-16
1.657215061512092916e+03 -7.248101568120203621e-17 1.343517984756464543e-16
1.660311368534357825e+03 -9.462310604884338310e-17 1.269859131495738946e-16
1.663407675556622735e+03 -9.224122525027288651e-17 1.213757156368707488e-16
1.666503982578887644e+03 1.532400412741715185e-18 1.192286339706117474e-16
1.669600289601152554e+03 1.134823713786535147e-16 1.178626142546371599e-16
1.672696596623417463e+03 1.298974296891334763e-17 1.089448458950746699e-16
1.675792903645682372e+03 7.199601501806898384e-17 1.066549244415388084e-16
1.678889210667947282e+03 -1.026384667870323034e-16 9.785240316783936379e-17
1.681985517690212191e+03 1.792430670613140693e-17 9.918960751348327192e-17
1.685081824712477101e+03 -6.211051579311935484e-17 9.335118037381417717e-17
1.688178131734742010e+03 8.877520975435878152e-17 9.691526057129014194e-17
1.691274438757006919e+03 3.141944696449256132e-17 9.159760511656428063e-17
1.694370745779271829e+03 -2.671483520988513867e-17 8.652801360558483455e-17
1.697467052801536738e+03 -9.641684472761150429e-17 8.178216078248686006e-17
1.700563359823801648e+03 -1.238642068577102762e-16 7.939784237483264795e-17
1.703659666846066557e+03 -6.065031595557820384e-17 7.863107032883680379e-17
1.706755973868331466e+03 4.298257369390744416e-17 8.049602718114678733e-17
1.709852280890596376e+03 -1.235896921692078989e-17 7.666095683302274900e-17
1.712948587912861285e+03 -1.968893329607549463e-18 7.608945305230732520e-17
1.716044894935126194e+03 -1.415614909583099333e-16 6.937343404320589614e-17
1.719141201957391104e+03 -8.579526418305860322e-17 6.904863659785076207e-17
1.722237508979656013e+03 -5.463743764049763520e-17 6.822427131959080425e-17
1.725333816001920923e+03 6.705091290138160727e-17 6.942594786115763432e-17
1.728430123024185832e+03 -1.271720702498112760e-18 6.578607319625849299e-17
1.731526430046450741e+03 -8.319276959172341997e-17 6.209818655376022920e-17
1.734622737068715651e+03 2.307555489364514368e-17 6.414708768313778049e-17
1.737719044090980560e+03 -2.034186571858580899e-17 6.138841125376904203e-17
1.740815351113245470e+03 -2.949841289491078975e-17 6.066809635470212360e-17
1.743911658135510379e+03 -9.464745458947075447e-17 5.784186675862045089e-17
1.747007965157775288e+03 5.659743885726151869e-17 6.142412767483949884e-17
1.750104272180040198e+03 -1.730775762728329248e-16 5.286545436498847547e-17
