# obs_wvl flux error
1.595000000000000000e+03 -1.542322544906825981e-15 1.722692139782106958e-15
1.596548097793211127e+03 8.554039479347437448e-16 1.396051992000284928e-15
1.598096195586422255e+03 1.958613311492433557e-16 1.195971821118702833e-15
1.599644293379633382e+03 5.267879381279510333e-16 1.081610751021189021e-15
1.601192391172844509e+03 -7.053437582224495190e-16 9.346423981438123603e-16
1.602740488966055636e+03 -3.303635823329792175e-16 8.080999875435829467e-16
1.604288586759266764e+03 1.804374153014955150e-17 7.932053636994847709e-16
1.605836684552477891e+03 -5.130272882880203457e-16 6.733445088641301166e-16
1.607384782345689018e+03 -8.369272794669537394e-16 5.846042476427922035e-16
1.608932880138900146e+03 -4.834607798630092042e-16 5.623809423615247444e-16
1.610480977932111273e+03 -5.740697744107493216e-16 5.071369983938331875e-16
1.612029075725322400e+03 4.781870771935456891e-17 5.154899310796241224e-16
1.613577173518533527e+03 2.953351839848956232e-16 4.744691989893958585e-16
1.615125271311744655e+03 -2.681235548563075079e-17 4.244407185897583087e-16
1.616673369104955782e+03 -3.513512920430114910e-16 3.857093171506771412e-16
1.618221466898166909e+03 -1.372284397440440935e-16 3.571596974499800308e-16
1.619769564691378037e+03 -3.414686005318004332e-16 3.225497034181546549e-16
1.621317662484589164e+03 -9.179564453779934312e-16 2.701129155023956155e-16
1.622865760277800291e+03 2.717111907342759539e-17 3.099263073615445706e-16
1.624413858071011418e+03 2.103649067749351483e-16 3.031088742726023188e-16
1.625961955864222546e+03 -6.768417437068386107e-16 2.275594765756311217e-16
1.627510053657433673e+03 -2.996658737628060224e-16 2.414759638305873364e-16
1.629058151450644800e+03 -9.184522442929141715e-17 2.392215790939625159e-16
1.630606249243855927e+03 -1.292771840139066313e-17 2.352404739805177940e-16
1.632154347037067055e+03 2.606029468328214342e-17 2.277475326460778147e-16
1.633702444830278182e+03 -3.148361282481786199e-16 1.903890752503736215e-16
1.635250542623489309e+03 1.538703506436261987e-16 2.171426398880109464e-16
1.636798640416700437e+03 -2.510067830668127792e-16 1.784313695496977068e-16
1.638346738209911564e+03 -3.159412197619506605e-16 1.755465182773137059e-16
1.639894836003122691e+03 2.503234547244827480e-16 1.941431911390038958e-16
1.641442933796333818e+03 -1.429697895412488341e-16 1.730048532352011466e-16
1.642991031589544946e+03 1.524940111006913168e-16 1.805781250285533728e-16
1.644539129382756073e+03 1.902838341298804631e-16 1.730186843600559071e-16
