# SN-MRK1309 ocb301040 G750L CCD z=0.0057239598736002 a2center=511.2 extrsize=25 exptime=400.0 mode=adaptive_clamphi flags=no_defringe(no_flat)
# rest_wvl obs_wvl flux error net dq mask
5226.9992 5256.9183 8.625443e-15 4.190764e-16 6.566183e+00 528 0
5231.8402 5261.7870 6.929617e-15 1.644817e-16 6.464303e+00 512 0
5236.6812 5266.6557 7.243567e-15 1.599927e-16 8.091952e+00 528 0
5241.5223 5271.5245 8.063471e-15 1.403442e-16 1.054700e+01 512 0
5246.3634 5276.3934 8.148192e-15 1.452957e-16 1.217631e+01 528 0
5251.2047 5281.2623 8.439215e-15 1.405946e-16 1.420453e+01 528 0
5256.0459 5286.1313 9.449697e-15 1.240958e-16 1.773651e+01 528 0
5260.8873 5291.0004 9.251996e-15 1.186433e-16 1.909546e+01 528 0
5265.7287 5295.8695 9.826018e-15 1.131240e-16 2.217057e+01 528 0
5270.5701 5300.7386 9.332420e-15 1.054540e-16 2.268917e+01 528 0
5275.4116 5305.6079 9.706817e-15 1.041479e-16 2.467953e+01 16 0
5280.2532 5310.4772 9.643858e-15 1.025358e-16 2.550537e+01 16 0
5285.0948 5315.3465 1.010638e-14 1.029618e-16 2.702058e+01 16 0
5289.9365 5320.2159 9.864220e-15 1.013105e-16 2.660659e+01 16 0
5294.7783 5325.0854 9.827541e-15 1.029030e-16 2.620998e+01 16 0
5299.6201 5329.9549 9.595824e-15 1.005570e-16 2.528771e+01 0 0
5304.4619 5334.8245 9.935102e-15 1.033694e-16 2.564603e+01 0 0
5309.3039 5339.6941 9.696923e-15 1.053874e-16 2.445496e+01 16 0
5314.1458 5344.5638 9.753694e-15 1.055121e-16 2.401581e+01 0 0
5318.9879 5349.4335 9.738045e-15 1.072524e-16 2.338741e+01 0 0
5323.8300 5354.3034 9.386544e-15 1.078144e-16 2.206993e+01 16 0
5328.6721 5359.1732 9.357148e-15 1.071123e-16 2.157411e+01 0 0
5333.5143 5364.0432 9.478289e-15 1.099625e-16 2.156940e+01 16 0
5338.3566 5368.9131 9.268223e-15 1.084935e-16 2.083448e+01 0 0
5343.1989 5373.7832 9.457146e-15 1.121990e-16 2.115447e+01 16 0
5348.0413 5378.6533 9.640529e-15 1.188567e-16 2.151452e+01 16 0
5352.8838 5383.5235 9.351385e-15 1.226033e-16 2.089551e+01 16 0
5357.7263 5388.3937 9.629004e-15 1.111207e-16 2.164084e+01 16 0
5362.5688 5393.2639 9.213049e-15 1.327891e-16 2.086303e+01 16 0
5367.4114 5398.1343 9.433922e-15 1.109407e-16 2.162643e+01 16 0
5372.2541 5403.0047 8.865634e-15 1.057485e-16 2.058297e+01 16 0
5377.0968 5407.8751 9.505820e-15 1.073174e-16 2.249368e+01 16 0
5381.9396 5412.7456 9.075400e-15 1.039460e-16 2.186008e+01 16 0
5386.7824 5417.6162 8.922724e-15 1.017671e-16 2.194663e+01 16 0
5391.6253 5422.4868 9.390078e-15 1.035110e-16 2.364563e+01 16 0
5396.4683 5427.3575 9.274985e-15 1.023954e-16 2.390050e+01 16 0
5401.3113 5432.2282 9.240950e-15 1.003327e-16 2.436834e+01 16 0
5406.1544 5437.0990 9.279996e-15 9.820161e-17 2.504855e+01 16 0
5410.9975 5441.9698 8.862401e-15 9.436458e-17 2.444051e+01 0 0
5415.8406 5446.8407 9.362215e-15 9.970782e-17 2.643217e+01 16 0
5420.6839 5451.7117 9.890197e-15 1.068310e-16 2.856492e+01 16 0
5425.5272 5456.5827 8.834549e-15 9.091502e-17 2.596404e+01 0 0
5430.3705 5461.4537 9.278509e-15 9.207688e-17 2.784049e+01 0 0
5435.2139 5466.3249 9.401414e-15 9.242890e-17 2.871639e+01 16 0
5440.0574 5471.1960 9.494975e-15 9.130490e-17 2.950533e+01 0 0
5444.9009 5476.0673 9.078983e-15 8.870307e-17 2.858128e+01 0 0
5449.7444 5480.9385 9.527673e-15 9.054559e-17 3.044414e+01 0 0
5454.5880 5485.8099 9.298446e-15 1.121763e-16 2.999213e+01 0 0
5459.4317 5490.6813 8.877863e-15 1.104887e-16 2.888835e+01 16 0
5464.2754 5495.5527 9.857858e-15 9.198027e-17 3.234830e+01 16 0
5469.1192 5500.4242 9.423522e-15 8.877665e-17 3.107275e+01 0 0
5473.9631 5505.2958 8.847789e-15 8.866945e-17 2.924254e+01 0 0
5478.8069 5510.1674 9.014473e-15 8.608528e-17 2.991294e+01 16 0
5483.6509 5515.0391 9.045929e-15 8.645854e-17 3.010918e+01 0 0
5488.4949 5519.9108 9.263449e-15 9.168664e-17 3.093833e+01 16 0
5493.3389 5524.7826 8.989363e-15 8.583859e-17 3.006908e+01 0 0
5498.1830 5529.6544 8.926264e-15 8.619286e-17 2.991430e+01 16 0
5503.0272 5534.5263 8.802383e-15 8.496438e-17 2.953093e+01 16 0
5507.8714 5539.3983 8.444020e-15 8.357539e-17 2.833343e+01 16 0
5512.7157 5544.2703 8.954576e-15 8.504472e-17 3.012391e+01 0 0
5517.5600 5549.1423 9.105082e-15 8.614350e-17 3.067891e+01 0 0
5522.4044 5554.0144 8.890435e-15 8.855538e-17 2.999100e+01 16 0
5527.2488 5558.8866 8.724506e-15 8.410960e-17 2.947951e+01 0 0
5532.0933 5563.7588 8.679925e-15 8.439373e-17 2.939766e+01 16 0
5536.9378 5568.6310 8.640849e-15 8.382910e-17 2.934404e+01 16 0
5541.7824 5573.5034 8.555023e-15 8.345241e-17 2.913363e+01 16 0
5546.6271 5578.3757 8.377086e-15 8.227635e-17 2.860692e+01 0 0
5551.4717 5583.2481 8.180968e-15 8.106285e-17 2.801877e+01 0 0
5556.3165 5588.1206 8.230862e-15 8.118889e-17 2.830060e+01 0 0
5561.1613 5592.9931 7.847707e-15 7.946649e-17 2.705956e+01 0 0
5566.0061 5597.8657 8.051949e-15 8.019574e-17 2.790269e+01 0 0
5570.8510 5602.7384 7.761188e-15 8.414230e-17 2.699287e+01 16 0
5575.6960 5607.6110 8.115176e-15 8.059388e-17 2.839459e+01 16 0
5580.5410 5612.4838 7.946118e-15 1.019075e-16 2.792871e+01 16 0
5585.3861 5617.3566 7.698865e-15 7.766342e-17 2.718278e+01 16 0
5590.2312 5622.2294 7.777587e-15 7.825786e-17 2.761393e+01 16 0
5595.0763 5627.1023 7.576190e-15 7.738022e-17 2.702784e+01 0 0
5599.9215 5631.9753 7.425500e-15 7.626283e-17 2.662022e+01 16 0
5604.7668 5636.8483 7.571187e-15 7.959459e-17 2.729963e+01 16 0
5609.6121 5641.7213 7.343724e-15 7.491685e-17 2.659885e+01 0 0
5614.4575 5646.5944 7.441421e-15 7.514250e-17 2.709422e+01 0 0
5619.3029 5651.4676 7.255315e-15 7.410765e-17 2.652945e+01 16 0
5624.1484 5656.3408 7.690635e-15 7.647571e-17 2.828424e+01 16 0
5628.9939 5661.2140 7.456503e-15 7.720100e-17 2.752175e+01 16 0
5633.8395 5666.0873 7.338771e-15 7.498386e-17 2.718146e+01 16 0
5638.6851 5670.9607 7.202823e-15 7.400778e-17 2.676767e+01 0 0
5643.5307 5675.8341 7.415592e-15 7.417501e-17 2.767274e+01 0 0
5648.3765 5680.7075 7.295359e-15 7.848624e-17 2.730487e+01 16 0
5653.2222 5685.5811 7.233794e-15 7.349290e-17 2.715156e+01 16 0
5658.0681 5690.4546 7.607958e-15 7.487997e-17 2.867595e+01 16 0
5662.9139 5695.3282 8.271531e-15 1.175523e-16 3.132275e+01 16 0
5667.7599 5700.2019 7.282169e-15 8.176202e-17 2.756676e+01 16 0
5672.6058 5705.0756 7.396322e-15 7.378348e-17 2.807722e+01 16 0
5677.4519 5709.9494 7.400320e-15 7.798106e-17 2.815863e+01 16 0
5682.2979 5714.8232 7.208882e-15 7.238221e-17 2.747544e+01 0 0
5687.1440 5719.6970 7.326945e-15 7.523291e-17 2.799920e+01 16 0
5691.9902 5724.5709 7.357944e-15 7.752149e-17 2.818452e+01 16 0
5696.8364 5729.4449 7.556999e-15 7.373123e-17 2.903188e+01 0 0
5701.6827 5734.3189 7.402583e-15 7.342048e-17 2.849288e+01 16 0
5706.5290 5739.1930 7.594199e-15 7.434199e-17 2.932097e+01 16 0
5711.3754 5744.0671 7.289406e-15 7.329814e-17 2.819136e+01 16 0
5716.2218 5748.9412 7.409477e-15 7.758744e-17 2.874830e+01 16 0
5721.0683 5753.8154 7.497574e-15 7.362079e-17 2.918565e+01 16 0
