# SN-MRK1309 ocb301020 G230L MAMA z=0.0057239598736002 a2center=523.2 extrsize=11 exptime=1311.0 mode=fixed flags=none
# rest_wvl obs_wvl flux error net dq mask
1563.0730 1572.0200 0.000000e+00 0.000000e+00 -1.640480e-04 2564 0
1564.6079 1573.5636 0.000000e+00 0.000000e+00 1.686966e-03 2564 0
1566.1427 1575.1073 0.000000e+00 0.000000e+00 -2.697864e-03 2564 0
1567.6776 1576.6509 0.000000e+00 0.000000e+00 3.070340e-03 2564 0
1569.2124 1578.1945 0.000000e+00 0.000000e+00 5.126868e-03 2560 0
1570.7473 1579.7382 -5.890804e-13 3.838753e-13 -5.362406e-03 0 0
1572.2822 1581.2819 -3.310733e-14 4.819018e-14 -2.659199e-03 0 0
1573.8171 1582.8256 2.290501e-14 2.894244e-14 3.475232e-03 0 0
1575.3520 1584.3692 -1.917502e-14 1.721365e-14 -4.282023e-03 0 0
1576.8869 1585.9129 2.410756e-14 1.550574e-14 7.113835e-03 0 0
1578.4218 1587.4566 -4.673541e-15 1.080083e-14 -1.715415e-03 0 0
1579.9567 1589.0004 -3.880152e-15 8.919130e-15 -1.704144e-03 0 0
1581.4917 1590.5441 -1.333611e-14 6.598877e-15 -6.822006e-03 0 0
1583.0266 1592.0878 -1.476241e-15 6.915600e-15 -8.622980e-04 0 0
1584.5616 1593.6316 1.368028e-15 6.245184e-15 9.059834e-04 0 0
1586.0966 1595.1753 -4.091140e-15 4.992543e-15 -3.077292e-03 0 0
1587.6315 1596.7191 3.125675e-15 4.996517e-15 2.648718e-03 0 0
1589.1665 1598.2628 9.796700e-15 5.068203e-15 9.357375e-03 0 0
1590.7015 1599.8066 -2.283319e-15 3.626554e-15 -2.437250e-03 0 0
1592.2365 1601.3504 -1.254762e-15 3.273876e-15 -1.495158e-03 0 0
1593.7715 1602.8942 -8.657234e-16 3.030053e-15 -1.142482e-03 0 0
1595.3065 1604.4380 -2.643628e-15 2.566794e-15 -3.858118e-03 0 0
1596.8416 1605.9818 1.214805e-15 2.644295e-15 1.946973e-03 0 0
1598.3766 1607.5256 -4.089077e-16 2.296182e-15 -7.188551e-04 0 0
1599.9116 1609.0695 2.909003e-15 2.366231e-15 5.575335e-03 0 0
1601.4467 1610.6133 1.795991e-15 2.060239e-15 3.749642e-03 0 0
1602.9818 1612.1572 -1.860136e-15 1.642740e-15 -4.207412e-03 0 0
1604.5168 1613.7010 -1.055626e-15 1.557469e-15 -2.584842e-03 0 0
1606.0519 1615.2449 -7.826642e-16 1.493381e-15 -2.064460e-03 0 0
1607.5870 1616.7888 -1.383143e-15 1.276509e-15 -3.926114e-03 0 0
1609.1221 1618.3326 -1.816032e-15 1.160267e-15 -5.522889e-03 0 0
1610.6572 1619.8765 -3.501158e-15 8.880981e-16 -1.139313e-02 0 0
1612.1923 1621.4204 -2.522766e-16 1.155868e-15 -8.749936e-04 0 0
