# obs_wvl flux error
1.579000000000000000e+03 -1.048315523968651847e-13 1.184060476607210998e-13
1.580548353751114519e+03 -9.027924870690375179e-14 7.888780541498538113e-14
1.582096707502229037e+03 -7.813457853641640047e-15 1.757524023320925612e-14
1.583645061253343556e+03 3.629787178629312245e-15 9.916009412005548774e-15
1.585193415004458075e+03 -2.031366419383249973e-15 7.028679637785955888e-15
1.586741768755572593e+03 8.496175576456798650e-16 5.630068952902865137e-15
1.588290122506687112e+03 -5.259110190997916483e-15 4.273296647549307407e-15
1.589838476257801631e+03 -4.728437276027730031e-15 3.563407789172917658e-15
1.591386830008916149e+03 -2.518503784501080494e-15 3.189894015679294750e-15
1.592935183760030668e+03 3.842708968212694182e-16 2.915473560377207816e-15
1.594483537511145187e+03 -4.321779401757035613e-16 2.490330473271002172e-15
1.596031891262259705e+03 1.263610876198022622e-15 2.268404321694595056e-15
1.597580245013374224e+03 3.323438801795607600e-15 2.092402394135205122e-15
1.599128598764488743e+03 2.186687625862365065e-15 1.854646380521069581e-15
1.600676952515603261e+03 1.980202695619640153e-16 1.602498780708636246e-15
1.602225306266717780e+03 8.095869963910536108e-16 1.435407109214536833e-15
1.603773660017832299e+03 -3.844207289994925057e-16 1.291483198035507625e-15
1.605322013768946817e+03 -1.068253824836203737e-15 1.101701053810683463e-15
1.606870367520061336e+03 7.987521265469597105e-16 1.079115550624090821e-15
1.608418721271175855e+03 1.161245292895485500e-15 1.026963076199227399e-15
1.609967075022290373e+03 1.601513872667810037e-17 8.644830891338728645e-16
1.611515428773404892e+03 -5.997143771174249802e-17 7.920242431121143760e-16
1.613063782524519411e+03 -4.854794105495162269e-16 7.405809870005409176e-16
1.614612136275633929e+03 -8.093860463564085065e-16 6.524470012234204452e-16
1.616160490026748448e+03 -2.266970931803943023e-16 6.299435638061596843e-16
1.617708843777862967e+03 -3.557786582335057269e-16 5.792588215425862267e-16
1.619257197528977485e+03 -1.340508907118332886e-15 4.980225589990847907e-16
1.620805551280092004e+03 -6.415284362019654501e-16 4.975357151376292856e-16
1.622353905031206523e+03 -4.710067280820234821e-16 4.692605907477687947e-16
1.623902258782321042e+03 -6.146189466965001126e-16 4.317256639360358920e-16
1.625450612533435560e+03 -5.189712009490992734e-16 4.079761463327081499e-16
1.626998966284550079e+03 -3.915718163202077715e-16 3.950893523118327567e-16
1.628547320035664598e+03 1.467830416346995679e-16 3.885791223085183681e-16
1.630095673786779116e+03 4.417097816257934883e-16 3.875963708205339565e-16
1.631644027537893635e+03 -2.965846295234186909e-17 3.504452026023815542e-16
1.633192381289008154e+03 -2.734797217492481299e-17 3.343888735867874910e-16
1.634740735040122672e+03 1.661419785429269336e-16 3.250089254651279461e-16
1.636289088791237191e+03 1.044987152275000591e-16 3.141008052954996718e-16
1.637837442542351710e+03 -1.631232753229938252e-16 2.826326550557803395e-16
1.639385796293466228e+03 2.794278534682027412e-16 2.947320327875926908e-16
1.640934150044580747e+03 1.302467196988039531e-16 2.768540323637564897e-16
1.642482503795695266e+03 -4.601439484559294154e-16 2.417792068319346544e-16
1.644030857546809784e+03 -4.861910194145718581e-16 2.262817927680942046e-16
1.645579211297924303e+03 -2.000864321042793551e-16 2.302606136304966017e-16
1.647127565049038822e+03 -1.384004545599928511e-17 2.340001967596838890e-16
1.648675918800153340e+03 3.640841222917475140e-16 2.418814235404046746e-16
1.650224272551267859e+03 2.606050605062376419e-16 2.339090933566347601e-16
1.651772626302382378e+03 -5.680627831065553935e-17 2.114936209830462402e-16
1.653320980053496896e+03 -2.918728215327818175e-16 1.940013732039677092e-16
1.654869333804611415e+03 -1.177078655877401109e-16 2.000270790602637534e-16
1.656417687555725934e+03 -1.410247176866343686e-16 1.911033762063263160e-16
1.657966041306840452e+03 8.687318415947666853e-17 1.987128904970599260e-16
1.659514395057954971e+03 -1.222562653145875928e-16 1.797101298116468289e-16
1.661062748809069490e+03 7.071377328741979728e-17 1.883606772247320351e-16
1.662611102560184008e+03 2.339573265469240869e-16 1.926423925317828841e-16
1.664159456311298527e+03 -2.761630592091477459e-17 1.761459100118546413e-16
1.665707810062413046e+03 -5.783609160306834681e-19 1.737692584797874035e-16
1.667256163813527564e+03 6.679289960876138178e-17 1.719717966646196306e-16
1.668804517564642083e+03 -2.399393759760302088e-16 1.538877799156206788e-16
1.670352871315756602e+03 -1.396097365398101542e-16 1.564538341692691514e-16
1.671901225066871120e+03 1.266300227100171331e-17 1.570296255196891429e-16
1.673449578817985639e+03 1.013139945524065929e-16 1.630083722828023672e-16
1.674997932569100158e+03 9.465513507841218939e-17 1.566695023039682431e-16
1.676546286320214676e+03 1.515888374389651921e-16 1.585222559556938179e-16
1.678094640071329195e+03 -1.545567592273914364e-16 1.396427954658443065e-16
1.679642993822443714e+03 -2.346893982488115547e-16 1.361401884104756173e-16
1.681191347573558232e+03 -1.840184779904288427e-16 1.344152892421122963e-16
1.682739701324672751e+03 8.778784230280996705e-17 1.457288567507993352e-16
1.684288055075787270e+03 1.647465039322107007e-16 1.443646774760099893e-16
1.685836408826901788e+03 3.354189317225773242e-17 1.386557378682179578e-16
1.687384762578016307e+03 7.742563968194487018e-17 1.386684134365258631e-16
1.688933116329130826e+03 -1.355438416719701600e-17 1.303539675274517813e-16
1.690481470080245344e+03 -2.495431287027911978e-16 1.187291567446159725e-16
1.692029823831359863e+03 -5.439682812439386789e-18 1.318416296754727220e-16
1.693578177582474382e+03 1.790328839287393354e-16 1.365778196558841468e-16
1.695126531333588900e+03 2.719159670973171011e-16 1.361636921527253139e-16
1.696674885084703419e+03 3.269168510217591900e-16 1.383254118280032755e-16
1.698223238835817938e+03 2.302990504927165443e-16 1.307030208845514413e-16
1.699771592586932456e+03 3.240863417922971904e-17 1.220464335050663383e-16
1.701319946338046975e+03 2.812981016782438681e-17 1.199776961022726804e-16
1.702868300089161494e+03 2.053583313344738169e-16 1.268851685667648524e-16
1.704416653840276012e+03 -6.129699615416264802e-17 1.131380490680755275e-16
1.705965007591390531e+03 -8.281537510406049309e-17 1.121788326674911385e-16
1.707513361342505050e+03 1.990405184855369022e-16 1.246495721189620066e-16
1.709061715093619569e+03 -4.259064498147614085e-17 1.102552841122644910e-16
1.710610068844734087e+03 -1.062615017521742100e-16 1.086609007814143149e-16
1.712158422595848606e+03 1.427991130760239689e-17 1.116880134174049855e-16
1.713706776346963125e+03 -8.770209676432742967e-17 1.047732285693504804e-16
1.715255130098077643e+03 -8.832836441040080731e-17 1.025867921877016203e-16
